policy_id,entry_alpha,exit_alpha,weight_power,volatility_window,entry_confirm,cooldown,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp,min_year_trades,eligible
e0.001_x0.3_p0_w480_c3_d0,0.001,0.3,0.0,480,3,0,92,11.552774518402188,-17.50263425481402,0.4673913043478261,1.1800510874949308,307.82608695652175,0.010869565217391304,0.42850364581204237,0.09560561561553649,0.048585523166120526,0.14360344546543746,1062.8552556930013,41.0,False
e0.001_x0.05_p2_w120_c3_d0,0.001,0.05,2.0,120,3,0,84,11.370285669560682,-27.275971689030285,0.42857142857142855,1.1528111841505129,482.9166666666667,0.0,0.3606711201061363,0.08252481165822534,0.04206182362976607,0.16146646585910485,955.1039962430973,41.0,False
e0.001_x0.05_p1_w120_c3_d5,0.001,0.05,1.0,120,3,5,75,11.350644643714567,-19.857183112637067,0.48,1.1544050706506075,542.6533333333333,0.0,0.327597305273029,0.07271955387283402,0.037146845784919114,0.14952576054430622,851.2983482785926,37.0,False
e0.01_x0.3_p0_w120_c3_d5,0.01,0.3,0.0,120,3,5,164,11.32320652852224,-2.6004538951140965,0.49390243902439024,1.1954508595235325,271.0609756097561,0.006097560975609756,0.6137585581453809,0.17834350034766522,0.08901033925694213,0.19426633667293525,1857.0058706776474,79.0,False
e0.01_x0.05_p1_w480_c1_d0,0.01,0.05,1.0,480,1,0,143,11.276639670869086,-18.99150587091558,0.4825174825174825,1.1211900239914403,630.5524475524476,0.0,0.3748622967526411,0.11983091822697634,0.06056919133368388,0.2631628580412845,1612.5594729342793,70.0,False
e0.01_x0.05_p2_w480_c3_d5,0.01,0.05,2.0,480,3,5,132,10.97674583358404,-19.00722058105875,0.4696969696969697,1.122201430044494,556.1742424242424,0.0,0.37107665853810284,0.11029898776932501,0.055868983922588544,0.28547317426396646,1448.9304500330934,63.0,False
e0.001_x0.3_p2_w120_c3_d0,0.001,0.3,2.0,120,3,0,89,10.73129058431886,-2.286349977262958,0.4943820224719101,1.2073929929216132,210.17977528089887,0.0,0.46438941698424974,0.09018421627858553,0.04588631130382215,0.08924933801753199,955.0848620043785,43.0,False
e0.001_x0.3_p0_w240_c1_d5,0.001,0.3,0.0,240,1,5,105,10.539125414072286,-10.01344364881529,0.45714285714285713,1.1642256399411988,296.34285714285716,0.009523809523809525,0.43126780794478775,0.09877927394155228,0.05016265035720435,0.15510400064117225,1106.60816847759,49.0,False
e0.001_x0.3_p0_w120_c3_d5,0.001,0.3,0.0,120,3,5,82,10.53023000724225,0.8245146597596342,0.5121951219512195,1.186148002689746,290.7560975609756,0.0,0.399105859553845,0.07913292811563877,0.04036403894465068,0.08113408406016354,863.4788605938645,41.0,False
e0.05_x0.05_p0_w240_c1_d5,0.05,0.05,0.0,240,1,5,177,10.390131481146861,-22.841632226368034,0.4519774011299435,1.1212976649758053,536.6045197740114,0.005649717514124294,0.41367245960068066,0.13990589728078295,0.0704057395091473,0.20249669758676325,1839.0532721629943,88.0,False
