sequence,global_trade,direction,first_booking,last_booking,entry_signal_label,entry_fill_bar_label,exit_signal_label,exit_fill_bar_label,entry_price,exit_price,fragment_start_price,fragment_end_price,inherited_at_peak,continues_after_trough,fragment_bars,full_trade_bars,fragment_log_pnl,fragment_geometric_pct,peak_nav_contribution_pp,cumulative_drawdown_pct,fragment_mfe_log_bp,fragment_giveback_log_bp,overnight_gap_log_bp,full_trade_log_pnl,full_trade_geometric_pct,full_trade_mfe_log_bp,entry_threshold_log_bp,observed_shape_not_causal_verdict
130,250,1,2021-05-10 10:32:00,2021-05-10 13:12:00,2021-05-10 10:22:00,2021-05-10 10:27:00,2021-05-10 13:07:00,2021-05-10 13:12:00,1258.9200000000001,1257.3199999999999,1258.9200000000001,1257.3199999999999,False,False,14,14,-0.0012717389562542487,-0.12709306389603295,-0.10910147598119924,14.265332637069461,44.700250377455077,57.417639939997564,0,-0.0012717389562542478,-0.12709306389603287,44.700250377455077,23.149504407379435,有顺向开盘浮盈但全部回吐并倒亏
131,251,-1,2021-05-10 13:17:00,2021-05-11 10:52:00,2021-05-10 13:07:00,2021-05-10 13:12:00,2021-05-11 10:47:00,2021-05-11 10:52:00,1257.3199999999999,1247.5,1257.3199999999999,1247.5,False,False,37,37,0.0078409229494660199,0.7871743486973517,0.67488130942199298,13.590451327647468,129.19931569345641,50.79008619879621,103.63617638204377,0.0078409229494660216,0.78717434869735192,129.19931569345641,22.528219006393865,顺向开盘浮盈超过后续回吐
132,252,1,2021-05-11 10:57:00,2021-05-11 14:37:00,2021-05-11 10:47:00,2021-05-11 10:52:00,2021-05-11 14:32:00,2021-05-11 14:37:00,1247.5,1255.8499999999999,1247.5,1255.8499999999999,False,False,26,26,0.0066710855189354296,0.66933867735469577,0.57837253019168422,13.012078797455784,99.701723198499465,32.990868009145167,0,0.0066710855189354296,0.66933867735469577,99.701723198499465,13.465920419504823,顺向开盘浮盈超过后续回吐
133,253,-1,2021-05-11 14:42:00,2021-05-12 10:32:00,2021-05-11 14:32:00,2021-05-11 14:37:00,2021-05-12 10:27:00,2021-05-12 10:32:00,1255.8499999999999,1260.21,1255.8499999999999,1260.21,False,False,16,16,-0.0034657395802353422,-0.3459740836844814,-0.30095566329668699,13.313034460752471,29.345879546043712,64.003275348397139,44.531793479946167,-0.0034657395802353435,-0.34597408368448157,29.345879546043712,14.051424266521188,有顺向开盘浮盈但全部回吐并倒亏
134,254,1,2021-05-12 10:37:00,2021-05-12 11:02:00,2021-05-12 10:27:00,2021-05-12 10:32:00,2021-05-12 10:57:00,2021-05-12 11:02:00,1260.21,1258.0599999999999,1260.21,1258.0599999999999,False,False,6,6,-0.0017075218482402869,-0.17060648622056609,-0.14789358591773549,13.460928046670206,23.539772856745607,40.614991339148474,0,-0.0017075218482402869,-0.17060648622056609,23.539772856745607,16.019116464731638,有顺向开盘浮盈但全部回吐并倒亏
135,255,-1,2021-05-12 11:07:00,2021-05-12 13:12:00,2021-05-12 10:57:00,2021-05-12 11:02:00,2021-05-12 13:07:00,2021-05-12 13:12:00,1258.0599999999999,1263.9100000000001,1258.0599999999999,1263.9100000000001,False,False,7,7,-0.0046392387635320279,-0.46284941174606969,-0.40054558546650521,13.861473632136711,13.681198443245266,60.07358607856554,0,-0.0046392387635320279,-0.46284941174606969,13.681198443245266,16.337749421983791,有顺向开盘浮盈但全部回吐并倒亏
136,256,1,2021-05-12 13:17:00,2021-05-12 13:32:00,2021-05-12 13:07:00,2021-05-12 13:12:00,2021-05-12 13:27:00,2021-05-12 13:32:00,1263.9100000000001,1259.3499999999999,1263.9100000000001,1259.3499999999999,False,False,4,4,-0.0036143758187501185,-0.36078518248926111,-0.31077503954984875,14.17224867168656,0,36.143758187501184,0,-0.0036143758187501185,-0.36078518248926111,0,15.991063849988128,窗口内未获顺向开盘浮盈
137,257,-1,2021-05-12 13:37:00,2021-05-12 13:52:00,2021-05-12 13:27:00,2021-05-12 13:32:00,2021-05-12 13:47:00,2021-05-12 13:52:00,1259.3499999999999,1264.1900000000001,1259.3499999999999,1264.1900000000001,False,False,4,4,-0.0038358860447262636,-0.38285384317232962,-0.32859484446884357,14.500843516155404,0,38.358860447262636,0,-0.0038358860447262636,-0.38285384317232962,0,16.143613824743568,窗口内未获顺向开盘浮盈
138,258,1,2021-05-12 13:57:00,2021-05-13 09:47:00,2021-05-12 13:47:00,2021-05-12 13:52:00,2021-05-13 09:42:00,2021-05-13 09:47:00,1264.1900000000001,1268.79,1264.1900000000001,1268.79,False,False,16,16,0.0036320895206126422,0.36386935508111973,0.31110522929755913,14.189738286857844,71.253779409498719,34.932884203372303,-82.466070512306473,0.0036320895206126439,0.36386935508111995,71.253779409498719,16.282760080264978,顺向开盘浮盈超过后续回吐
139,259,-1,2021-05-13 09:52:00,2021-05-13 10:37:00,2021-05-13 09:42:00,2021-05-13 09:47:00,2021-05-13 10:32:00,2021-05-13 10:37:00,1268.79,1270.23,1268.79,1270.23,False,False,10,10,-0.0011342960310634725,-0.11336529604875448,-0.097279057231303145,14.287017344089147,47.718080385631652,59.061040696266382,0,-0.0011342960310634716,-0.11336529604875438,47.718080385631652,19.529531686373979,有顺向开盘浮盈但全部回吐并倒亏
