sequence,global_trade,direction,first_booking,last_booking,entry_signal_label,entry_fill_bar_label,exit_signal_label,exit_fill_bar_label,entry_price,exit_price,fragment_start_price,fragment_end_price,inherited_at_peak,continues_after_trough,fragment_bars,full_trade_bars,fragment_log_pnl,fragment_geometric_pct,peak_nav_contribution_pp,cumulative_drawdown_pct,fragment_mfe_log_bp,fragment_giveback_log_bp,overnight_gap_log_bp,full_trade_log_pnl,full_trade_geometric_pct,full_trade_mfe_log_bp,entry_threshold_log_bp,observed_shape_not_causal_verdict
11,1266,1,2022-10-26 10:00:00,2022-10-26 13:45:00,2022-10-26 09:50:00,2022-10-26 09:55:00,2022-10-26 13:40:00,2022-10-26 13:45:00,980.45000000000005,1002.8099999999999,980.45000000000005,1002.8099999999999,False,False,28,28,0.022549688367072745,2.2805854454587142,2.0748485139109984,6.946384694316265,287.43012833412058,61.933244663393111,0,0.022549688367072745,2.2805854454587142,287.43012833412058,28.61940247201419,顺向开盘浮盈超过后续回吐
12,1267,-1,2022-10-26 13:50:00,2022-10-26 15:00:00,2022-10-26 13:40:00,2022-10-26 13:45:00,2022-10-26 14:55:00,2022-10-26 15:00:00,1002.8099999999999,1003.35,1002.8099999999999,1003.35,False,False,15,15,-0.00053834191992852345,-0.05381970399166415,-0.050081180311067897,6.9964658746273329,21.762576971515241,27.145996170800476,0,-0.00053834191992852345,-0.05381970399166415,21.762576971515241,20.402187463926406,有顺向开盘浮盈但全部回吐并倒亏
13,1268,1,2022-10-27 09:35:00,2022-10-27 10:40:00,2022-10-26 14:55:00,2022-10-26 15:00:00,2022-10-27 10:35:00,2022-10-27 10:40:00,1003.35,1009.59,1003.35,1009.59,False,False,14,14,0.0061999065925310145,0.6219165794587912,0.5784043982083098,6.4180614764190231,134.83216855869335,72.83310263338322,54.275566149944694,0.0061999065925310145,0.6219165794587912,134.83216855869335,19.66480189077777,顺向开盘浮盈超过后续回吐
14,1269,-1,2022-10-27 10:45:00,2022-10-27 13:40:00,2022-10-27 10:35:00,2022-10-27 10:40:00,2022-10-27 13:35:00,2022-10-27 13:40:00,1009.59,1003.91,1009.59,1003.91,False,False,18,18,0.0056419320256801018,0.56578776982002355,0.52947516292691787,5.8885863134921053,133.91699571814635,77.497675461345338,0,0.0056419320256801036,0.56578776982002366,133.91699571814635,25.287331639390398,顺向开盘浮盈超过后续回吐
15,1270,1,2022-10-27 13:45:00,2022-10-27 14:30:00,2022-10-27 13:35:00,2022-10-27 13:40:00,2022-10-27 14:25:00,2022-10-27 14:30:00,1003.91,1009.49,1003.91,1009.49,False,False,10,10,0.0055428770104434854,0.55582671753443935,0.52309638151897264,5.3654899319731335,172.2290579770723,116.80028787263745,0,0.0055428770104434862,0.55582671753443935,172.2290579770723,26.704812117195825,顺向开盘浮盈超过后续回吐
16,1271,-1,2022-10-27 14:35:00,2022-10-28 09:55:00,2022-10-27 14:25:00,2022-10-27 14:30:00,2022-10-28 09:50:00,2022-10-28 09:55:00,1009.49,1014.05,1009.49,1014.05,False,False,11,11,-0.0045069607903194149,-0.44968196834473378,-0.42555432760730261,5.7910442595804357,128.41011896864458,173.47972687183872,82.937443313718333,-0.0045069607903194149,-0.44968196834473378,128.41011896864458,30.602927373319947,有顺向开盘浮盈但全部回吐并倒亏
17,1272,1,2022-10-28 10:00:00,2022-10-28 10:15:00,2022-10-28 09:50:00,2022-10-28 09:55:00,2022-10-28 10:10:00,2022-10-28 10:15:00,1014.05,1005.14,1014.05,1005.14,False,False,4,4,-0.0088253783262071412,-0.87865489867363433,-0.82777160460246746,6.6188158641829027,0,88.253783262071408,0,-0.0088253783262071412,-0.87865489867363433,0,27.752874228939476,窗口内未获顺向开盘浮盈
18,1273,-1,2022-10-28 10:20:00,2022-10-28 11:25:00,2022-10-28 10:10:00,2022-10-28 10:15:00,2022-10-28 11:20:00,2022-10-28 11:25:00,1005.14,1008.99,1005.14,1008.99,False,False,14,14,-0.0038229952277874001,-0.38156968850036638,-0.35631429342498633,6.9751301576078895,19.917547963244843,58.147500241118848,0,-0.0038229952277874001,-0.38156968850036638,19.917547963244843,27.834572597003117,有顺向开盘浮盈但全部回吐并倒亏
19,1274,1,2022-10-28 11:30:00,2022-10-28 13:25:00,2022-10-28 11:20:00,2022-10-28 11:25:00,2022-10-28 13:20:00,2022-10-28 13:25:00,1008.99,1004.66,1008.99,1004.66,False,False,6,6,-0.0043006547054733899,-0.42914201330044449,-0.39920879931176767,7.3743389569196571,13.172818361930686,56.179365416664588,0,-0.0043006547054733899,-0.42914201330044449,13.172818361930686,28.217768360231865,有顺向开盘浮盈但全部回吐并倒亏
20,1275,-1,2022-10-28 13:30:00,2022-10-31 09:40:00,2022-10-28 13:20:00,2022-10-28 13:25:00,2022-10-31 09:35:00,2022-10-31 09:40:00,1004.66,1015.02,1004.66,1015.02,False,False,21,21,-0.01025914091900729,-1.0206695434572925,-0.94540191169270038,8.3197408686123566,132.25850564970457,234.84991483977751,18.432627939391399,-0.01025914091900729,-1.0206695434572925,132.25850564970457,28.363421614092651,有顺向开盘浮盈但全部回吐并倒亏
21,1276,1,2022-10-31 09:45:00,2022-10-31 10:25:00,2022-10-31 09:35:00,2022-10-31 09:40:00,2022-10-31 10:20:00,2022-10-31 10:25:00,1015.02,1006.27,1015.02,1006.27,False,False,9,9,-0.0086578914036053965,-0.86205197927134125,-0.79033148844322998,9.1100723570555875,16.832783598013414,103.41169763406738,0,-0.0086578914036053983,-0.86205197927134136,16.832783598013414,40.342785451669336,有顺向开盘浮盈但全部回吐并倒亏
22,1277,-1,2022-10-31 10:30:00,2022-10-31 10:45:00,2022-10-31 10:20:00,2022-10-31 10:25:00,2022-10-31 10:40:00,2022-10-31 10:45:00,1006.27,1016.8200000000001,1006.27,1016.8200000000001,False,False,4,4,-0.010429684921685334,-1.0375484353179443,-0.94302702212097911,10.053099379176567,0,104.29684921685333,0,-0.010429684921685334,-1.0375484353179443,0,39.370517797729903,窗口内未获顺向开盘浮盈
23,1278,1,2022-10-31 10:50:00,2022-10-31 13:40:00,2022-10-31 10:40:00,2022-10-31 10:45:00,2022-10-31 13:35:00,2022-10-31 13:40:00,1016.8200000000001,1013.74,1016.8200000000001,1013.74,False,False,17,17,-0.0030336482173475938,-0.30290513561890736,-0.27245378131051101,10.325553160487077,40.828401008805614,71.164883182281557,0,-0.0030336482173475947,-0.30290513561890742,40.828401008805614,40.273877869370644,有顺向开盘浮盈但全部回吐并倒亏
24,1279,-1,2022-10-31 13:45:00,2022-11-01 09:40:00,2022-10-31 13:35:00,2022-10-31 13:40:00,2022-11-01 09:35:00,2022-11-01 09:40:00,1013.74,1014.28,1013.74,1014.28,False,False,18,18,-0.00053253913941849048,-0.053239736561880011,-0.047742439260678449,10.373295599747756,68.396808209295571,73.72219960348049,-16.120342314740245,-0.00053253913941849048,-0.053239736561880011,68.396808209295571,40.632943759145654,有顺向开盘浮盈但全部回吐并倒亏
25,1280,1,2022-11-01 09:45:00,2022-11-01 10:00:00,2022-11-01 09:35:00,2022-11-01 09:40:00,2022-11-01 09:55:00,2022-11-01 10:00:00,1014.28,1004.9400000000001,1014.28,1004.9400000000001,False,False,4,4,-0.009251162936972885,-0.92085025831131462,-0.82532773898563727,11.198623338733393,2.7601979631481677,95.271827332877024,0,-0.009251162936972885,-0.92085025831131462,2.7601979631481677,23.925163957724109,有顺向开盘浮盈但全部回吐并倒亏
26,1281,-1,2022-11-01 10:05:00,2022-11-01 10:25:00,2022-11-01 09:55:00,2022-11-01 10:00:00,2022-11-01 10:20:00,2022-11-01 10:25:00,1004.9400000000001,1012.35,1004.9400000000001,1012.35,False,False,5,5,-0.0073465226390913062,-0.7319602904133834,-0.64999081450088925,11.848614153234283,5.5740251876180968,79.03925157853115,0,-0.0073465226390913062,-0.7319602904133834,5.5740251876180968,23.672577478743442,有顺向开盘浮盈但全部回吐并倒亏
27,1282,1,2022-11-01 10:30:00,2022-11-01 11:10:00,2022-11-01 10:20:00,2022-11-01 10:25:00,2022-11-01 11:05:00,2022-11-01 11:10:00,1012.35,1019.08,1012.35,1019.08,False,False,9,9,0.0066258986250922426,0.66478984540918551,0.58602146169677294,11.26259269153751,148.4457410540723,82.186754803149867,0,0.0066258986250922426,0.66478984540918551,148.4457410540723,23.683283094672714,顺向开盘浮盈超过后续回吐
28,1283,-1,2022-11-01 11:15:00,2022-11-01 14:15:00,2022-11-01 11:05:00,2022-11-01 11:10:00,2022-11-01 14:10:00,2022-11-01 14:15:00,1019.08,1016.51,1019.08,1016.51,False,False,19,19,0.0025250677842977402,0.25282584529417285,0.22435110011974624,11.038241591417764,103.37028839992534,78.119610556947933,0,0.0025250677842977402,0.25282584529417285,103.37028839992534,23.829772931843237,顺向开盘浮盈超过后续回吐
29,1284,1,2022-11-01 14:20:00,2022-11-02 14:40:00,2022-11-01 14:10:00,2022-11-01 14:15:00,2022-11-02 14:35:00,2022-11-02 14:40:00,1016.51,1037.76,1016.51,1037.76,False,False,53,53,0.020689352420633689,2.0904860749033602,1.8597331715205834,9.1785084198971809,286.07734110295826,79.183816896621352,-43.529578317779048,0.020689352420633689,2.0904860749033602,286.07734110295826,22.274565754996193,顺向开盘浮盈超过后续回吐
30,1285,-1,2022-11-02 14:45:00,2022-11-03 09:45:00,2022-11-02 14:35:00,2022-11-02 14:40:00,2022-11-03 09:40:00,2022-11-03 09:45:00,1037.76,1052.03,1037.76,1052.03,False,False,7,7,-0.013657086882363192,-1.3564251970000925,-1.2319255960838382,10.410434015981018,90.311766241111869,226.88263506474377,84.721242996045547,-0.013657086882363192,-1.3564251970000925,90.311766241111869,22.395695290013268,有顺向开盘浮盈但全部回吐并倒亏
31,1286,1,2022-11-03 09:50:00,2022-11-03 11:20:00,2022-11-03 09:40:00,2022-11-03 09:45:00,2022-11-03 11:15:00,2022-11-03 11:20:00,1052.03,1048.1900000000001,1052.03,1048.1900000000001,False,False,19,19,-0.0036567638428487968,-0.36500860241627398,-0.32700962270907352,10.737443638690092,9.5958811583595729,46.163519586847542,0,-0.0036567638428487968,-0.36500860241627398,9.5958811583595729,25.910904985371499,有顺向开盘浮盈但全部回吐并倒亏
32,1287,-1,2022-11-03 11:25:00,2022-11-03 13:55:00,2022-11-03 11:15:00,2022-11-03 11:20:00,2022-11-03 13:50:00,2022-11-03 13:55:00,1048.1900000000001,1047.46,1048.1900000000001,1047.46,False,False,13,13,0.00069668124880202693,0.069692398755048166,0.062209216718278615,10.675234421971814,47.240266868053887,40.27345438003362,0,0.00069668124880202693,0.069692398755048166,47.240266868053887,28.914796489919855,顺向开盘浮盈超过后续回吐
33,1288,1,2022-11-03 14:00:00,2022-11-07 10:05:00,2022-11-03 13:50:00,2022-11-03 13:55:00,2022-11-07 10:00:00,2022-11-07 10:05:00,1047.46,1072.03,1047.46,1072.03,False,False,68,68,0.023185861404133874,2.3456742978251772,2.0952680677563951,8.5799663542154185,302.40941442361685,70.550800382278084,-17.657350525743684,0.023185861404133867,2.3456742978251768,302.40941442361685,29.369183573321717,顺向开盘浮盈超过后续回吐
34,1289,-1,2022-11-07 10:10:00,2022-11-07 10:50:00,2022-11-07 10:00:00,2022-11-07 10:05:00,2022-11-07 10:45:00,2022-11-07 10:50:00,1072.03,1068.6300000000001,1072.03,1068.6300000000001,False,False,9,9,0.0031765930685336086,0.31816437869047842,0.29086598204773884,8.2891003721676793,102.66789976791702,70.901969082580933,0,0.0031765930685336077,0.31816437869047837,102.66789976791702,22.453395039037172,顺向开盘浮盈超过后续回吐
35,1290,1,2022-11-07 10:55:00,2022-11-07 13:15:00,2022-11-07 10:45:00,2022-11-07 10:50:00,2022-11-07 13:10:00,2022-11-07 13:15:00,1068.6300000000001,1063.3199999999999,1068.6300000000001,1063.3199999999999,False,False,11,11,-0.0049813653980549516,-0.49689789730782619,-0.45570953185278817,8.7448099040204674,35.216731165383749,85.030385145933266,0,-0.0049813653980549507,-0.49689789730782608,35.216731165383749,25.14492303691932,有顺向开盘浮盈但全部回吐并倒亏
36,1291,-1,2022-11-07 13:20:00,2022-11-07 14:30:00,2022-11-07 13:10:00,2022-11-07 13:15:00,2022-11-07 14:25:00,2022-11-07 14:30:00,1063.3199999999999,1061.8,1063.3199999999999,1061.8,False,False,15,15,0.0014305076976404653,0.14315313618386141,0.13063466655294231,8.6141752374675242,45.810673108417475,31.505596132012823,0,0.0014305076976404653,0.14315313618386141,45.810673108417475,23.828420063192617,顺向开盘浮盈超过后续回吐
37,1292,1,2022-11-07 14:35:00,2022-11-08 09:40:00,2022-11-07 14:25:00,2022-11-07 14:30:00,2022-11-08 09:35:00,2022-11-08 09:40:00,1061.8,1055.03,1061.8,1055.03,False,False,8,8,-0.0063963786247423953,-0.63759653418718731,-0.58267285142428182,9.1968480888918069,23.705164149373481,87.668950396797428,3.3913314126815188,-0.0063963786247423944,-0.63759653418718731,23.705164149373481,21.752299096087498,有顺向开盘浮盈但全部回吐并倒亏
38,1293,-1,2022-11-08 09:45:00,2022-11-08 10:50:00,2022-11-08 09:35:00,2022-11-08 09:40:00,2022-11-08 10:45:00,2022-11-08 10:50:00,1055.03,1048.7,1055.03,1048.7,False,False,14,14,0.0060179006844689976,0.60360446266807966,0.54809187717872465,8.6487562117130814,104.04354647964939,43.864539634959421,0,0.0060179006844689976,0.60360446266807966,104.04354647964939,21.588898879222779,顺向开盘浮盈超过后续回吐
39,1294,1,2022-11-08 10:55:00,2022-11-08 11:05:00,2022-11-08 10:45:00,2022-11-08 10:50:00,2022-11-08 11:00:00,2022-11-08 11:05:00,1048.7,1043.3699999999999,1048.7,1043.3699999999999,False,False,3,3,-0.0050954428218300618,-0.50824830742825122,-0.46429115036862312,9.113047362081705,0,50.95442821830062,0,-0.0050954428218300618,-0.50824830742825122,0,19.631095672274405,窗口内未获顺向开盘浮盈
40,1295,-1,2022-11-08 11:10:00,2022-11-08 13:40:00,2022-11-08 11:00:00,2022-11-08 11:05:00,2022-11-08 13:35:00,2022-11-08 13:40:00,1043.3699999999999,1047.74,1043.3699999999999,1047.74,False,False,13,13,-0.004179604479591959,-0.41708820890679316,-0.37907876288746367,9.4921261249691682,18.32284200020781,60.118886796127398,0,-0.0041796044795919581,-0.4170882089067931,18.32284200020781,19.690152307273813,有顺向开盘浮盈但全部回吐并倒亏
41,1296,1,2022-11-08 13:45:00,2022-11-09 09:45:00,2022-11-08 13:35:00,2022-11-08 13:40:00,2022-11-09 09:40:00,2022-11-09 09:45:00,1047.74,1041.1099999999999,1047.74,1041.1099999999999,False,False,19,19,-0.0063480118383018227,-0.63279057781513859,-0.57272529806200456,10.064851423031174,37.439133761670071,100.9192521446883,-18.939489727007043,-0.0063480118383018227,-0.63279057781513859,37.439133761670071,19.44919293662609,有顺向开盘浮盈但全部回吐并倒亏
42,1297,-1,2022-11-09 09:50:00,2022-11-09 10:30:00,2022-11-09 09:40:00,2022-11-09 09:45:00,2022-11-09 10:25:00,2022-11-09 10:30:00,1041.1099999999999,1050.28,1041.1099999999999,1050.28,False,False,9,9,-0.0087693436091802798,-0.87310050653161708,-0.78522423777547257,10.850075660806645,4.0349697924707906,91.728405884273585,0,-0.0087693436091802798,-0.87310050653161708,4.0349697924707906,18.952236209261503,有顺向开盘浮盈但全部回吐并倒亏
43,1298,1,2022-11-09 10:35:00,2022-11-09 10:55:00,2022-11-09 10:25:00,2022-11-09 10:30:00,2022-11-09 10:50:00,2022-11-09 10:55:00,1050.28,1044.51,1050.28,1044.51,False,False,5,5,-0.005508919359377697,-0.54937730890812153,-0.48976945522828386,11.33984511603493,22.824980427201023,77.914174020977995,0,-0.005508919359377697,-0.54937730890812153,22.824980427201023,20.14726948443522,有顺向开盘浮盈但全部回吐并倒亏
44,1299,-1,2022-11-09 11:00:00,2022-11-10 09:50:00,2022-11-09 10:50:00,2022-11-09 10:55:00,2022-11-10 09:45:00,2022-11-10 09:50:00,1044.51,1039.97,1044.51,1039.97,False,False,35,35,0.004356009344107804,0.43655105435726682,0.38704684094073016,10.952798275094199,109.54846660623885,65.988373165160809,42.498591004563409,0.0043560093441078057,0.43655105435726699,109.54846660623885,19.561815243387016,顺向开盘浮盈超过后续回吐
45,1300,1,2022-11-10 09:55:00,2022-11-10 10:15:00,2022-11-10 09:45:00,2022-11-10 09:50:00,2022-11-10 10:10:00,2022-11-10 10:15:00,1039.97,1035.1400000000001,1039.97,1035.1400000000001,False,False,5,5,-0.0046551833131413091,-0.46443647412905953,-0.4135676840017477,11.366365959095948,20.652332648245686,67.20416577965878,0,-0.0046551833131413091,-0.46443647412905953,20.652332648245686,16.238404991330409,有顺向开盘浮盈但全部回吐并倒亏
46,1301,-1,2022-11-10 10:20:00,2022-11-10 14:10:00,2022-11-10 10:10:00,2022-11-10 10:15:00,2022-11-10 14:05:00,2022-11-10 14:10:00,1035.1400000000001,1027.9000000000001,1035.1400000000001,1027.9000000000001,False,False,29,29,0.0070187972334959433,0.70434867204977714,0.62428982435657199,10.742076134739376,126.18647969304502,55.998507358085583,0,0.0070187972334959398,0.7043486720497768,126.18647969304502,16.809364908305422,顺向开盘浮盈超过后续回吐
47,1302,1,2022-11-10 14:15:00,2022-11-10 14:50:00,2022-11-10 14:05:00,2022-11-10 14:10:00,2022-11-10 14:45:00,2022-11-10 14:50:00,1027.9000000000001,1023.77,1027.9000000000001,1023.77,False,False,8,8,-0.0040259940228870349,-0.40179005739861873,-0.35862946353104608,11.100705598270421,27.882097269678209,68.142037498548561,0,-0.0040259940228870349,-0.40179005739861873,27.882097269678209,15.355389953801124,有顺向开盘浮盈但全部回吐并倒亏
48,1303,-1,2022-11-10 14:55:00,2022-11-11 09:40:00,2022-11-10 14:45:00,2022-11-10 14:50:00,2022-11-11 09:35:00,2022-11-11 09:40:00,1023.77,1050.1400000000001,1023.77,1050.1400000000001,False,False,4,4,-0.025431596600814003,-2.5110937589273923,-2.2323446334523211,13.333050231722742,10.26147298189159,264.57743899003162,-296.61477696383878,-0.025431596600814003,-2.5110937589273923,10.26147298189159,17.095239535238051,有顺向开盘浮盈但全部回吐并倒亏
49,1304,1,2022-11-11 09:45:00,2022-11-11 10:45:00,2022-11-11 09:35:00,2022-11-11 09:40:00,2022-11-11 10:40:00,2022-11-11 10:45:00,1050.1400000000001,1042.0899999999999,1050.1400000000001,1042.0899999999999,False,False,13,13,-0.0076951766525247345,-0.76656445807229279,-0.66435803381897918,13.997408265541722,0,76.951766525247351,0,-0.0076951766525247345,-0.76656445807229279,0,41.322958505441733,窗口内未获顺向开盘浮盈
50,1305,-1,2022-11-11 10:50:00,2022-11-11 10:55:00,2022-11-11 10:40:00,2022-11-11 10:45:00,2022-11-14 10:00:00,2022-11-14 10:05:00,1042.0899999999999,1030.8199999999999,1042.0899999999999,1046.0599999999999,False,True,2,40,-0.0038024134121612549,-0.37951933923484615,-0.32639646787545606,14.323804733417179,0,38.024134121612548,0,0.010873709948395153,1.093304359636025,200.44286295012409,44.281021812826083,窗口内未获顺向开盘浮盈
