minutes,symbol,year,basis,threshold,observations,events,rate,up_events,down_events,mean_abs_tail_simple_bp,max_up_simple_bp,max_down_simple_bp,squared_return_share
1,000688.SH,2022,raw,0.0029036229356317,57596,733,0.0127265782345996,454,279,36.70561604804959,75.79243464747296,-64.70250911569191,0.2195589171998652
1,000688.SH,2023,raw,0.0029036229356317,57596,191,0.0033162025140634,119,72,35.42522725799768,71.92325093094847,-103.14987133411076,0.0887908615872699
1,000688.SH,2024,raw,0.0029036229356317,57596,1188,0.0206264323911382,694,494,43.26438050076142,302.85483854289924,-236.09680478925011,0.3993439867312625
1,000688.SH,2025,raw,0.0029036229356317,57834,1003,0.0173427395649617,570,433,38.84248076431888,148.23173671063913,-123.29975737078684,0.2969140266452373
1,000688.SH,2021,standardized,3.907314467102554,57834,294,0.0050835148874364,172,122,36.02979755803577,80.6420984669153,-99.3254954913997,0.1114477638825166
1,000688.SH,2022,standardized,3.907314467102554,57596,345,0.0059899993055073,225,120,39.74111612541142,75.79243464747296,-64.70250911569191,0.1226777104350033
1,000688.SH,2023,standardized,3.907314467102554,57596,209,0.0036287242169595,125,84,29.72548450511068,71.92325093094847,-103.14987133411076,0.0727075063324001
1,000688.SH,2024,standardized,3.907314467102554,57596,226,0.0039238836030279,163,63,49.80449187491338,302.85483854289924,-236.09680478925011,0.1309065983568779
1,000688.SH,2025,standardized,3.907314467102554,57834,216,0.003734827264239,133,83,40.89272007026238,148.23173671063913,-123.29975737078684,0.0833072732603746
1,000688.SH,2021,robust,5.147660747155379,57834,269,0.0046512432133347,159,110,36.53602910214795,80.6420984669153,-99.3254954913997,0.1045283108780804
1,000688.SH,2022,robust,5.147660747155379,57596,393,0.00682339051323,248,145,37.64733604941669,75.79243464747296,-64.70250911569191,0.1268184184757676
1,000688.SH,2023,robust,5.147660747155379,57596,146,0.0025348982568233,86,60,30.68480842474804,71.92325093094847,-103.14987133411076,0.05439040874057
1,000688.SH,2024,robust,5.147660747155379,57596,215,0.0037328981179248,153,62,53.12699322509549,302.85483854289924,-236.09680478925011,0.1386752546721976
1,000688.SH,2025,robust,5.147660747155379,57834,189,0.0032679738562091,113,76,43.76352523437034,148.23173671063913,-123.29975737078684,0.0819916871675801
5,000852.SH,2021,raw,0.0062545164773118,11178,19,0.0016997674002504,8,11,97.04257833031838,161.7918706460117,-209.2013234978733,0.1063015774101822
5,000852.SH,2022,raw,0.0062545164773118,11132,51,0.0045813869924541,35,16,85.33492983516257,185.18196586098796,-130.85833236830544,0.1249664057582427
5,000852.SH,2023,raw,0.0062545164773118,11132,1,8.983111749910169e-05,0,1,72.33861732698871,62.36927858167847,-72.33861732698871,0.0045721967141052
5,000852.SH,2024,raw,0.0062545164773118,11132,175,0.0157204455623427,87,88,90.31515138363169,359.8609095266108,-210.499695530794,0.3229568921066903
5,000852.SH,2025,raw,0.0062545164773118,11178,36,0.003220611916264,24,12,86.12779605327529,117.5718659888752,-269.05280348394683,0.1260366515082399
5,000852.SH,2021,standardized,3.732784112614984,11178,63,0.0056360708534621,24,39,58.43793305870956,161.7918706460117,-209.2013234978733,0.1460597400913693
5,000852.SH,2022,standardized,3.732784112614984,11132,52,0.0046712181099532,23,29,69.56090670674148,185.18196586098796,-130.85833236830544,0.0947726478176138
5,000852.SH,2023,standardized,3.732784112614984,11132,40,0.003593244699964,19,21,39.84938106294573,62.36927858167847,-72.33861732698871,0.0591178925217014
5,000852.SH,2024,standardized,3.732784112614984,11132,65,0.0058390226374416,45,20,89.69983466445204,359.8609095266108,-210.499695530794,0.1419844434936293
5,000852.SH,2025,standardized,3.732784112614984,11178,56,0.005009840758633,36,20,54.78568049312427,117.5718659888752,-269.05280348394683,0.0946216518858119
5,000852.SH,2021,robust,4.47061087196728,11178,60,0.0053676865271068,29,31,58.5102989486241,161.7918706460117,-209.2013234978733,0.141531734318491
