minutes,symbol,year,session,component,count,median_abs_bp,max_up_bp,max_down_bp,abs_over_50bp,abs_over_100bp
1,000688.SH,2023,0,gap,242,21.90575248362636,638.7867647058831,-95.13608145307106,43,8
1,000688.SH,2023,0,body,242,16.906089145336534,67.40444428780191,-54.10367170626373,16,0
1,000688.SH,2023,0,return_all,242,27.108747721066983,581.2270220588266,-118.05627541089623,58,7
1,000688.SH,2023,1,gap,242,1.1216805468794444,22.299585999248084,-10.662117496534895,0,0
1,000688.SH,2023,1,body,242,5.5106980625907465,32.183145321831304,-59.53291370080716,1,0
1,000688.SH,2023,1,return_all,242,5.994505908753243,36.22506586375784,-66.54517665040312,1,0
1,000688.SH,2024,0,gap,242,28.35309813715825,1979.4353313387655,-294.83285643134184,72,22
1,000688.SH,2024,0,body,242,20.86176283754071,129.47945142804952,-157.5801485238182,30,7
1,000688.SH,2024,0,return_all,242,36.531536363663605,1867.5561974850148,-447.7670244245496,82,26
1,000688.SH,2024,1,gap,242,1.2450840423600118,15.451998754947294,-4.767742814331122,0,0
1,000688.SH,2024,1,body,242,7.237797019759573,119.54048504356552,-59.97750843433569,8,2
1,000688.SH,2024,1,return_all,242,7.683200733897526,135.17719774112223,-59.563478840384725,9,2
1,000688.SH,2025,0,gap,243,29.944462864721636,356.30150038216345,-565.5799699431285,91,37
1,000688.SH,2025,0,body,243,19.581987729674346,170.85029516184403,-91.62689293500723,27,2
1,000688.SH,2025,0,return_all,243,35.946553151242256,359.9762793903113,-404.3926252615271,94,36
1,000688.SH,2025,1,gap,243,1.0650245923882196,14.428973378544097,-6.241547903879097,0,0
1,000688.SH,2025,1,body,243,6.901787562978434,93.92549236731718,-60.72895224635722,5,0
1,000688.SH,2025,1,return_all,243,7.193405397002505,100.6163617835925,-63.67992137270043,6,1
5,000852.SH,2021,0,gap,243,18.005946149659557,161.78797525307598,-174.79900302374563,30,11
5,000852.SH,2021,0,body,243,15.065530310736095,82.3998805724857,-116.3540190201684,14,1
5,000852.SH,2021,0,return_all,243,27.229145673935523,189.74848499244985,-150.7639694553086,46,8
5,000852.SH,2021,1,gap,243,0.3699210792507124,4.972637056628315,-2.8756348672753784,0,0
5,000852.SH,2021,1,body,243,7.573555191503489,37.07023569667456,-42.946812025107526,0,0
5,000852.SH,2021,1,return_all,243,7.796343233223852,37.05396652498312,-42.94681202512016,0,0
5,000852.SH,2022,0,gap,242,23.360820003339168,221.5113507277766,-251.4849415703113,54,16
5,000852.SH,2022,0,body,242,22.88149017584007,119.95769406841548,-121.27019200842138,49,4
5,000852.SH,2022,0,return_all,242,36.33653433346925,218.1858847210967,-290.6577096002766,83,29
5,000852.SH,2022,1,gap,242,0.6912691106097935,5.420817723220672,-3.611600635293754,0,0
5,000852.SH,2022,1,body,242,11.544791494588203,119.10426747222093,-112.49884706993063,8,2
5,000852.SH,2022,1,return_all,242,11.326203755381613,124.58964944783918,-112.83411797737558,8,2
5,000852.SH,2023,0,gap,242,14.238310434473432,552.9313509201361,-83.5416455182214,11,2
5,000852.SH,2023,0,body,242,16.072972880883384,69.98947450359117,-167.92121339114453,15,1
5,000852.SH,2023,0,return_all,242,23.84800239864716,375.7252471921325,-101.43323012893283,42,6
5,000852.SH,2023,1,gap,242,0.636426362021214,3.985893545477293,-2.9027703864636933,0,0
5,000852.SH,2023,1,body,242,8.180449982957416,53.94028194470879,-91.92216362695405,2,0
5,000852.SH,2023,1,return_all,242,8.319239709892983,52.28706061346424,-94.374814129756,2,0
5,000852.SH,2024,0,gap,242,21.546631364490757,1275.7079821960017,-240.76143302391608,49,13
5,000852.SH,2024,0,body,242,27.733415847717712,344.9547671638187,-179.96581950493362,68,12
5,000852.SH,2024,0,return_all,242,36.15600299374521,1087.3681647552955,-345.21177880003376,85,26
5,000852.SH,2024,1,gap,242,1.317317784969574,5.885783305679126,-3.5256389616922235,0,0
5,000852.SH,2024,1,body,242,13.21183728280606,196.102642197995,-69.80510020466512,13,3
5,000852.SH,2024,1,return_all,242,13.8283559267261,199.5659744559781,-66.12127946353974,14,3
5,000852.SH,2025,0,gap,243,18.331160904557777,202.00519077973263,-631.4744182897381,44,13
5,000852.SH,2025,0,body,243,19.10590302339532,183.4611851741519,-205.83985085987248,35,6
5,000852.SH,2025,0,return_all,243,28.903800671016768,221.961562753774,-523.6923811028306,69,13
5,000852.SH,2025,1,gap,243,1.3209423758320238,5.296902077733812,-3.987026562264351,0,0
5,000852.SH,2025,1,body,243,9.155217156482376,66.89580875186118,-72.38135039556504,4,0
