year,view,scenario,cost_bps,comparison,wins_removed_log,losses_avoided_log,gross_delta_log,cost_savings_log,net_delta_log,alpha
2023,1,delay_1m_observed,5,slow_vs_baseline,2.5981665531769753,2.6180463664291977,0.019879813252222434,0.12261760483275247,0.1424974180849749,
2023,1,delay_1m_observed,5,slow_vs_matched_constant,,,0.043240276579036875,0.005104780280177236,0.04834505685921413,0.8308281680440771
2023,1,literal_publication,0,slow_vs_baseline,2.3327622400275625,2.417773238354558,0.08501099832699532,0.0,0.08501099832699532,
2023,1,literal_publication,0,slow_vs_matched_constant,,,0.03267095792951885,0.0,0.03267095792951885,0.8409090909090909
2023,1,literal_publication,1,slow_vs_baseline,2.3327622400275625,2.417773238354558,0.08501099832699532,0.00430086765511086,0.08931186598210618,
2023,1,literal_publication,1,slow_vs_matched_constant,,,0.03267095792951885,0.00029103857260049705,0.03296199650211937,0.8409090909090909
2023,1,literal_publication,3,slow_vs_baseline,2.3327622400275625,2.417773238354558,0.08501099832699532,0.012907811689480459,0.09791881001647579,
2023,1,literal_publication,3,slow_vs_matched_constant,,,0.03267095792951885,0.0008738929479422076,0.033544850877461035,0.8409090909090909
2023,1,literal_publication,5,slow_vs_baseline,2.3327622400275625,2.417773238354558,0.08501099832699532,0.021521706902633185,0.10653270522962852,
2023,1,literal_publication,5,slow_vs_matched_constant,,,0.03267095792951885,0.0014577843861417036,0.03412874231566055,0.8409090909090909
2023,2,legacy_on_minute,0,slow_vs_baseline,2.6005162979288867,2.6478889401102874,0.04737264218140069,0.0,0.04737264218140069,
2023,2,legacy_on_minute,0,slow_vs_matched_constant,,,0.051803845969715566,0.0,0.051803845969715566,0.831232782369146
2023,2,legacy_on_minute,1,slow_vs_baseline,2.6005162979288867,2.6478889401102874,0.04737264218140069,0.024854769600359483,0.07222741178176018,
2023,2,legacy_on_minute,1,slow_vs_matched_constant,,,0.051803845969715566,0.0010542334799508413,0.0528580794496664,0.831232782369146
2023,2,legacy_on_minute,3,slow_vs_baseline,2.6005162979288867,2.6478889401102874,0.04737264218140069,0.07459294171787254,0.12196558389927323,
2023,2,legacy_on_minute,3,slow_vs_matched_constant,,,0.051803845969715566,0.0031651683348977023,0.054969014304613276,0.831232782369146
2023,2,legacy_on_minute,5,slow_vs_baseline,2.6005162979288867,2.6478889401102874,0.04737264218140069,0.12436932512057823,0.17174196730197894,
2023,2,legacy_on_minute,5,slow_vs_matched_constant,,,0.051803845969715566,0.005279395716516026,0.057083241686231606,0.831232782369146
2023,2,delay_1m,0,slow_vs_baseline,2.60344394147733,2.6299302504320647,0.026486308954734916,0.0,0.026486308954734916,
2023,2,delay_1m,0,slow_vs_matched_constant,,,0.04299762470619458,0.0,0.04299762470619458,0.831241391184573
2023,2,delay_1m,1,slow_vs_baseline,2.60344394147733,2.6299302504320647,0.026486308954734916,0.024854769600359483,0.0513410785550944,
2023,2,delay_1m,1,slow_vs_matched_constant,,,0.04299762470619458,0.0010554475247578497,0.04405307223095243,0.831241391184573
2023,2,delay_1m,3,slow_vs_baseline,2.60344394147733,2.6299302504320647,0.026486308954734916,0.07459294171787254,0.10107925067260745,
2023,2,delay_1m,3,slow_vs_matched_constant,,,0.04299762470619458,0.003168811680913867,0.046166436387108434,0.831241391184573
2023,2,delay_1m,5,slow_vs_baseline,2.60344394147733,2.6299302504320647,0.026486308954734916,0.12436932512057823,0.15085563407531316,
2023,2,delay_1m,5,slow_vs_matched_constant,,,0.04299762470619458,0.005285469980545623,0.04828309468674021,0.831241391184573
2023,2,delay_1m_observed,0,slow_vs_baseline,2.60344394147733,2.6299302504320647,0.026486308954734916,0.0,0.026486308954734916,
2023,2,delay_1m_observed,0,slow_vs_matched_constant,,,0.04299762470619458,0.0,0.04299762470619458,0.831241391184573
2023,2,delay_1m_observed,1,slow_vs_baseline,2.60344394147733,2.6299302504320647,0.026486308954734916,0.024854769600359483,0.0513410785550944,
2023,2,delay_1m_observed,1,slow_vs_matched_constant,,,0.04299762470619458,0.0010554475247578497,0.04405307223095243,0.831241391184573
2023,2,delay_1m_observed,3,slow_vs_baseline,2.60344394147733,2.6299302504320647,0.026486308954734916,0.07459294171787254,0.10107925067260745,
2023,2,delay_1m_observed,3,slow_vs_matched_constant,,,0.04299762470619458,0.003168811680913867,0.046166436387108434,0.831241391184573
2023,2,delay_1m_observed,5,slow_vs_baseline,2.60344394147733,2.6299302504320647,0.026486308954734916,0.12436932512057823,0.15085563407531316,
2023,2,delay_1m_observed,5,slow_vs_matched_constant,,,0.04299762470619458,0.005285469980545623,0.04828309468674021,0.831241391184573
2023,2,literal_publication,0,slow_vs_baseline,2.317109858420201,2.419178503483364,0.10206864506316293,0.0,0.10206864506316293,
2023,2,literal_publication,0,slow_vs_matched_constant,,,0.02138804095250381,0.0,0.02138804095250381,0.8429752066115702
2023,2,literal_publication,1,slow_vs_baseline,2.317109858420201,2.419178503483364,0.10206864506316293,0.004400892659695013,0.10646953772285794,
2023,2,literal_publication,1,slow_vs_matched_constant,,,0.02138804095250381,0.00025467397607611974,0.02164271492857995,0.8429752066115702
2023,2,literal_publication,3,slow_vs_baseline,2.317109858420201,2.419178503483364,0.10206864506316293,0.013208036813296813,0.11527668187645974,
2023,2,literal_publication,3,slow_vs_matched_constant,,,0.02138804095250381,0.0007647933909886519,0.022152834343492467,0.8429752066115702
2023,2,literal_publication,5,slow_vs_baseline,2.317109858420201,2.419178503483364,0.10206864506316293,0.02202233247606203,0.12409097753922496,
