year,view,scenario,cost_bps,rank,phase,mdd,start,end,minutes,days,baseline_net_log,slow_net_log,matched_net_log,slow_vs_matched_log,conflict_share,both_share,wins_removed_log,losses_avoided_log,gross_delta_log,cost_savings_log,net_delta_log
2023,4,delay_1m,0,5,recovery,0.029331706777169217,2023-01-19 10:11:00,2023-01-30 09:30:00,439,3,0.03685406282523118,0.036352975472476956,0.030600040042767708,0.005752935429709247,0.296127562642369,0.0,0.011482431161568218,0.010981343808813993,-0.0005010873527542259,0.0,-0.0005010873527542259
2023,4,delay_1m,0,6,decline,0.022302597459706138,2023-12-26 13:58:00,2023-12-28 09:30:00,302,3,-0.02255506117825057,-0.016108813319898996,-0.018727535644971684,0.0026187223250726892,0.6688741721854304,0.0,0.020135259680870377,0.02658150753922195,0.0064462478583515725,0.0,0.0064462478583515725
2023,4,delay_1m,0,6,recovery,0.022302597459706138,2023-12-28 09:30:00,2023-12-28 11:25:00,115,1,0.02292449482105141,0.013294270829778299,0.019034277518085115,-0.005740006688306813,0.6086956521739131,0.0,0.0199884556996639,0.010358231708390786,-0.009630223991273112,0.0,-0.009630223991273112
2023,4,delay_1m,0,7,decline,0.017721573633306942,2023-12-28 13:45:00,2023-12-29 14:35:00,290,2,-0.01788048090969596,-0.014473044288906056,-0.01484621748259604,0.0003731731936899843,0.25862068965517243,0.0,0.005628850606720359,0.009036287227510265,0.0034074366207899054,0.0,0.0034074366207899054
2023,4,delay_1m,0,7,recovery,0.017721573633306942,2023-12-29 14:35:00,2023-12-29 14:59:00,24,1,0.002807918053855829,0.002807918053855829,0.0023314228689590823,0.0004764951848967468,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2023,4,delay_1m,0,8,decline,0.015898332802102042,2023-01-30 09:31:00,2023-01-30 14:26:00,205,1,-0.016026066943993555,-0.01563882184614096,-0.013306491947437072,-0.0023323298987038867,0.4682926829268293,0.0,0.009040495316937847,0.009427740414790442,0.0003872450978525954,0.0,0.0003872450978525954
2023,4,delay_1m,0,8,recovery,0.015898332802102042,2023-01-30 14:26:00,2023-02-02 09:31:00,515,4,0.018379051900787147,0.012406937777722948,0.015260182487320239,-0.0028532447095972902,0.5106796116504855,0.0,0.028286710176963048,0.02231459605389885,-0.005972114123064198,0.0,-0.005972114123064198
2023,4,delay_1m,0,9,decline,0.015297740690497014,2023-02-20 09:40:00,2023-02-20 10:20:00,40,1,-0.015415958316975065,-0.01295101666902676,-0.0127999169056096,-0.00015109976341716013,0.5,0.0,0.0007644364327275,0.0032293780806758043,0.0024649416479483044,0.0,0.0024649416479483044
2023,4,delay_1m,0,9,recovery,0.015297740690497014,2023-02-20 10:20:00,2023-02-21 09:32:00,192,2,0.01631600574369685,0.008158002871848424,0.013547229011433144,-0.0053892261395847175,1.0,0.0,0.025041203331437334,0.01688320045958891,-0.008158002871848424,0.0,-0.008158002871848424
2023,4,delay_1m,0,10,decline,0.013038791559343893,2023-01-10 10:11:00,2023-01-11 10:52:00,281,2,-0.013124542812755102,-0.012844335095236747,-0.010897347668772418,-0.0019469874264643288,0.5160142348754448,0.0,0.012767486766940284,0.013047694484458638,0.0002802077175183548,0.0,0.0002802077175183548
2023,4,delay_1m,0,10,recovery,0.013038791559343893,2023-01-11 10:52:00,2023-01-11 14:42:00,140,1,0.013334872976292544,0.009988575980687475,0.011071985440921688,-0.0010834094602342136,0.6071428571428571,0.0,0.007040548892557563,0.003694251896952494,-0.003346296995605069,0.0,-0.003346296995605069
2023,4,delay_1m,3,1,decline,0.35580714507088174,2023-02-02 10:21:00,2023-10-20 13:00:00,41829,175,-0.43975713353257906,-0.33440426758470265,-0.36511810196825556,0.030713834383552914,0.33096655430442995,0.057687250472160466,1.9299856848904038,1.9786061335152945,0.04862044862489068,0.056732417322985895,0.10535286594787657
2023,4,delay_1m,3,1,recovery,0.35580714507088174,2023-10-20 13:00:00,2023-12-29 14:59:00,12119,51,0.059932336830781,0.045169674195381815,0.04976542725974793,-0.0045957530643661385,0.35143163627361995,0.06601204719861374,0.5395257140083358,0.509454406760228,-0.030071307248107804,0.015308644612708651,-0.014762662635399153
2023,4,delay_1m,3,2,decline,0.03629750147367332,2023-01-16 10:58:00,2023-01-19 10:11:00,673,4,-0.03697264348912923,-0.02647207797325853,-0.030698193360581282,0.004226115387322756,0.3491827637444279,0.05200594353640416,0.017463533121705233,0.02676340076387662,0.009299867642171389,0.0012006978736993157,0.010500565515870704
2023,4,delay_1m,3,2,recovery,0.03629750147367332,2023-01-19 10:11:00,2023-01-30 09:31:00,440,3,0.03895469693003922,0.038753767160579315,0.032344253666673775,0.006409513493905544,0.29545454545454547,0.0,0.011482431161568218,0.010981343808813993,-0.0005010873527542259,0.0003001575832943205,-0.00020092976945990538
2023,4,delay_1m,3,3,decline,0.01974414999638845,2023-01-30 09:31:00,2023-02-01 13:07:00,606,3,-0.019941669958478916,-0.024926156276579847,-0.016557425951323736,-0.00836873032525611,0.5924092409240924,0.0,0.037327205493900895,0.03174233646868929,-0.005584869025211603,0.0006003827071106747,-0.004984486318100928
2023,4,delay_1m,3,3,recovery,0.01974414999638845,2023-02-01 13:07:00,2023-02-02 10:11:00,154,2,0.02010113035477268,0.02010113035477268,0.016690029446083984,0.003411100908688697,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2023,4,delay_1m,3,4,decline,0.015806556058692384,2023-01-10 10:11:00,2023-01-11 10:56:00,285,2,-0.01593281187979432,-0.014887004701674499,-0.013228935082226211,-0.001658069619448286,0.512280701754386,0.0,0.012767486766940284,0.013062899986824306,0.000295413219884022,0.0007503939582358013,0.0010458071781198233
2023,4,delay_1m,3,4,recovery,0.015806556058692384,2023-01-11 10:56:00,2023-01-16 09:38:00,642,4,0.016467112853054758,0.008813768872126513,0.013672871366174531,-0.004859102494048019,0.40809968847352024,0.0,0.026623856296369208,0.018370129608330288,-0.00825372668803892,0.0006003827071106747,-0.007653343980928246
2023,4,delay_1m,3,5,decline,0.012985984101496512,2023-01-03 09:39:00,2023-01-03 10:03:00,24,1,-0.013071039144412296,-0.010580399962603963,-0.010852898030252033,0.0002724980676480681,0.3333333333333333,0.0,0.0004953147350246212,0.002835875125185794,0.0023405603901611727,0.00015007879164716026,0.002490639181808333
2023,4,delay_1m,3,5,recovery,0.012985984101496512,2023-01-03 10:03:00,2023-01-03 11:08:00,65,1,0.013378967922168443,0.011985506782578256,0.01110862298866652,0.0008768837939117335,0.18461538461538463,0.0,0.002234825506418403,0.0006912855751810554,-0.0015435399312373477,0.00015007879164716026,-0.0013934611395901874
2023,4,delay_1m,3,6,decline,0.010078598057666782,2023-01-09 09:32:00,2023-01-10 09:33:00,241,2,-0.010129730982652496,-0.008473608683151848,-0.00841067018936178,-6.293849379006679e-05,0.5726141078838174,0.0,0.012990480915926028,0.014196366840485197,0.001205885924559169,0.00045023637494148077,0.0016561222995006499
2023,4,delay_1m,3,6,recovery,0.010078598057666782,2023-01-10 09:33:00,2023-01-10 10:08:00,35,1,0.01062089114772391,0.01062089114772391,0.008818558104473791,0.001802333043250118,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2023,4,delay_1m,3,7,decline,0.006953621272378957,2023-01-04 09:31:00,2023-01-04 09:49:00,18,1,-0.00697791036034809,-0.0060309372439046926,-0.005793754736816903,-0.00023718250708778914,0.2222222222222222,0.0,0.0006188104719759835,0.0014157047967722214,0.0007968943247962379,0.00015007879164716026,0.0009469731164433982
