year,symbol,field,horizon,delta,rows,days,er_mean,er_variance,n_times_variance,cv2,var60_median,step5_mean,zero_share,top1_mean,nonoverlap_rows,nonoverlap_variance
2024,588000.SSE,mid,15,30,9442,238,0.2700000500861841,0.05862785543291358,1.7588356629874073,0.8042226842451444,0.03398329474183989,0.1845266436400775,0.6815258066793759,0.1827614477809038,3251,0.05859490476833287
2024,588000.SSE,mid,15,60,9442,238,0.32699665348557055,0.07550847276574667,1.1326270914862,0.7061696854477608,0.051232363086102045,0.21724670738767426,0.5483160347384028,0.24656031957958174,3251,0.07709238607965005
2024,588000.SSE,mid,15,300,9442,238,0.6460285917109482,0.15502520879406592,0.4650756263821978,0.3714487031245054,0.14659702277363512,0.30561130507235634,0.2786485914001271,0.6325848470292098,3251,0.155971178547159
2024,588000.SSE,mid,30,3,8487,238,0.11945898765158071,0.012007123550571914,7.204274130343149,0.8413976978389769,0.005570099407005686,0.06447185192323653,0.9422377361454775,0.05534412706015158,1552,0.012847609777162393
2024,588000.SSE,mid,30,15,8487,238,0.1469647954702447,0.016372300525157264,1.9646760630188718,0.7580242138078728,0.008378300046300805,0.0778889530117642,0.797800557715722,0.07048229526797876,1552,0.017298082124840658
2024,588000.SSE,mid,30,30,8487,238,0.1742243084305272,0.021681176852846668,1.3008706111708002,0.714274841337902,0.01196504815069549,0.09174256979148786,0.6910019245119987,0.09050593124527172,1552,0.02270833079015322
2024,588000.SSE,mid,30,60,8487,238,0.21390117960442942,0.030847981556642316,0.9254394466992696,0.6742180782903755,0.01794163591379426,0.11019809341733167,0.5599190919445426,0.12957797902451057,1552,0.03312090642451624
2024,588000.SSE,mid,30,300,8487,238,0.46432584817074685,0.11008670447652526,0.6605202268591516,0.5106098043728824,0.07838979336605256,0.19486223419594026,0.3140096618357488,0.3946883556305582,1552,0.11227280350973023
2024,588000.SSE,mid,60,3,5695,237,0.0848422190348643,0.0045498154678409695,5.459778561409163,0.6320766470836323,0.001771410777594175,0.0322995252760396,0.9433064091308166,0.025785831368417663,627,0.004793792325568642
2024,588000.SSE,mid,60,15,5695,237,0.10563450986187642,0.0068269374884102505,1.6384649972184602,0.611806776626813,0.0028405277091908395,0.03964411752226258,0.8006204272753877,0.03478783406904331,627,0.007823801057113156
2024,588000.SSE,mid,60,30,5695,237,0.12559739839183212,0.009281403725526377,1.1137684470631652,0.5883725149275132,0.004005056801007415,0.04691399725903783,0.6942903131401815,0.04736838786878422,627,0.010708921759884735
2024,588000.SSE,mid,60,60,5695,237,0.1546211764712299,0.013614556566298843,0.8168733939779306,0.5694630553796912,0.006237517930941845,0.057517911269822815,0.5630055604331284,0.07146249831279175,627,0.01626816795352227
2024,588000.SSE,mid,60,300,5695,237,0.3365415841568216,0.058232786614958634,0.6987934393795037,0.514150311810683,0.02597123337029842,0.11402718170200735,0.3196078431372549,0.23071825954270914,627,0.06021606134338676
2024,588080.SSE,last,15,3,7111,238,0.03194009871152138,0.0015200129222775723,0.4560038766832717,1.4899605583170217,0.00041095205571149013,0.023115964975775772,0.7068743261613463,0.01753977442580504,2439,0.0013401786217204885
2024,588080.SSE,last,15,15,7111,238,0.09856837457317337,0.008323188152096815,0.4993912891258089,0.8566719014342036,0.004538361456134903,0.07000636186241163,0.5647119486241972,0.05835153920047098,2439,0.00809775337413424
2024,588080.SSE,last,15,30,7111,238,0.15477684174711645,0.01767929649368522,0.5303788948105566,0.7379943181639834,0.011625616152091761,0.10986716385940375,0.4895279613743964,0.1076291649379435,2439,0.017586467903743307
2024,588080.SSE,last,15,60,7111,238,0.2302487998598827,0.03551037761677769,0.5326556642516653,0.6698237468575114,0.026929784543549773,0.16312936522596486,0.3951530492663948,0.18525609201221485,2439,0.03555898761029922
2024,588080.SSE,last,15,300,7111,238,0.5945909142355457,0.1470185430338686,0.4410556291016058,0.41584891945504593,0.14204284365321523,0.3186395845811727,0.22200346880420008,0.6015379329018067,2439,0.14835836709239486
2024,588080.SSE,last,30,3,5554,230,0.02250088865838293,0.0007026571118294423,0.42159426709766534,1.387855033931803,0.0001620201611618729,0.012239634399348368,0.7041885728003842,0.009763176955312435,994,0.00040688700651762816
2024,588080.SSE,last,30,15,5554,230,0.06993269435276178,0.004248575422918147,0.5098290507501776,0.8687259817494459,0.0017422737437867491,0.03729935147505986,0.5624234785740007,0.03357046028247837,994,0.003446849901810166
2024,588080.SSE,last,30,30,5554,230,0.10875896649255214,0.008319612985399872,0.4991767791239923,0.7033524105122722,0.0044514478283358624,0.05783327003965469,0.48703937102388667,0.061843132263170904,994,0.007654380625723614
2024,588080.SSE,last,30,60,5554,230,0.15938225805770956,0.01637348991986578,0.49120469759597335,0.6445569653349371,0.009827924254003341,0.08472541334110484,0.3914536070099628,0.10618917592171394,994,0.016079391554160966
2024,588080.SSE,last,30,300,5554,230,0.4134275699303158,0.08638080398651281,0.5182848239190768,0.505380373995884,0.06257561755107416,0.19170409953677378,0.23094466450606166,0.36291188279196057,994,0.09142175150379991
2024,588080.SSE,last,60,3,3148,179,0.017156470057524846,0.0003396193542722003,0.4075432251266404,1.153816004193836,5.996298894028606e-05,0.007028414468491801,0.6981962092333758,0.005555634462572935,343,0.00021755805423296373
