policy_id,entry_alpha,exit_alpha,weight_power,volatility_window,entry_confirm,cooldown,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp
e0.001_x0.15_p1_w120_c3_d0,0.001,0.15,1.0,120,3,0,18,0.8285988797241496,-39.70496504049681,0.4444444444444444,1.015673809223945,449.3888888888889,0.0,0.020849330369075846,-0.00039032334931743407,-0.00040644913508136593,0.08681966854932432,14.914779835034693
e0.001_x0.15_p1_w120_c3_d5,0.001,0.15,1.0,120,3,5,18,0.8285988797241496,-39.70496504049681,0.4444444444444444,1.015673809223945,449.3888888888889,0.0,0.020849330369075846,-0.00039032334931743407,-0.00040644913508136593,0.08681966854932432,14.914779835034693
e0.001_x0.15_p1_w240_c1_d0,0.001,0.15,1.0,240,1,0,25,-5.573951632809715,-56.415236527880275,0.36,0.9121961367271335,493.96,0.0,-0.12223360385540309,-0.016837850199325155,-0.01752749627400796,0.09502975403276315,-139.34879082024287
e0.001_x0.15_p1_w240_c1_d5,0.001,0.15,1.0,240,1,5,25,-8.771371737653988,-56.415236527880275,0.36,0.8618286674331556,484.16,0.0,-0.20615714153015557,-0.024565828576297077,-0.025567858464496718,0.10214311828712919,-219.2842934413497
e0.001_x0.15_p1_w240_c3_d0,0.001,0.15,1.0,240,3,0,19,39.54900722189882,-24.477304968881786,0.42105263157894735,2.0490530168651864,549.3684210526316,0.0,0.9109596450396659,0.0755640882272195,0.07880655858571606,0.05172085138070148,751.4311372160776
e0.001_x0.15_p1_w240_c3_d5,0.001,0.15,1.0,240,3,5,19,39.54900722189882,-24.477304968881786,0.42105263157894735,2.0490530168651864,549.3684210526316,0.0,0.9109596450396659,0.0755640882272195,0.07880655858571606,0.05172085138070148,751.4311372160776
e0.001_x0.15_p1_w480_c1_d0,0.001,0.15,1.0,480,1,0,29,-15.005266277932776,-2.654642644829286,0.4827586206896552,0.7931687936774724,501.2068965517241,0.0,-0.28246869446595113,-0.04642767315578944,-0.04829909186904324,0.14323973781613797,-435.1527220600505
e0.001_x0.15_p1_w480_c1_d5,0.001,0.15,1.0,480,1,5,28,-9.421248675403692,9.711191332944512,0.5,0.8701268599622229,500.89285714285717,0.0,-0.19596282485315333,-0.030366614202783304,-0.0316013979505132,0.12418117768142012,-263.7949629113034
e0.001_x0.15_p1_w480_c3_d0,0.001,0.15,1.0,480,3,0,24,-14.525888339812774,-5.652201099839993,0.5,0.8032179330058137,532.8333333333334,0.0,-0.252073299637287,-0.037734411098532594,-0.03926267310235043,0.15278611596720248,-348.62132015550657
e0.001_x0.15_p1_w480_c3_d5,0.001,0.15,1.0,480,3,5,24,-30.780555559098143,-5.652201099839993,0.5,0.5830161154724396,501.9583333333333,0.0,-0.8149570736671499,-0.07408954633440656,-0.07703009452650422,0.1615276944085018,-738.7333334183554
e0.001_x0.15_p2_w120_c1_d0,0.001,0.15,2.0,120,1,0,26,-11.97197954904664,-20.981558042718618,0.4230769230769231,0.7925664438465542,336.0,0.0,-0.4302241525227236,-0.03356472220996243,-0.03492719135166833,0.12991559697844024,-311.27146827521267
e0.001_x0.15_p2_w120_c1_d5,0.001,0.15,2.0,120,1,5,25,-13.838875322747901,-23.403465626443687,0.4,0.7694418366331232,339.32,0.0,-0.4783424505788685,-0.036906695923590305,-0.03840210842263814,0.12991559697844024,-345.97188306869754
e0.001_x0.15_p2_w120_c3_d0,0.001,0.15,2.0,120,3,0,18,20.851611345700913,-11.024243404771372,0.5,1.5428690729410581,377.55555555555554,0.0,0.7492863980168121,0.03656363908165683,0.038102966366432955,0.062072005716130696,375.32900422261645
e0.001_x0.15_p2_w120_c3_d5,0.001,0.15,2.0,120,3,5,18,20.851611345700913,-11.024243404771372,0.5,1.5428690729410581,377.55555555555554,0.0,0.7492863980168121,0.03656363908165683,0.038102966366432955,0.062072005716130696,375.32900422261645
e0.001_x0.15_p2_w240_c1_d0,0.001,0.15,2.0,240,1,0,27,10.73884252977847,-9.419412518391068,0.4444444444444444,1.2141651416305705,436.9259259259259,0.0,0.32156222878054247,0.026478453901521926,0.02758756318022937,0.07969366364838171,289.9487483040187
e0.001_x0.15_p2_w240_c1_d5,0.001,0.15,2.0,240,1,5,27,7.484485910738467,-9.419412518391068,0.4444444444444444,1.149263384825737,427.85185185185185,0.0,0.23296770571841238,0.017617263980372888,0.018351890366931523,0.08041670715492588,202.08111958993862
e0.001_x0.15_p2_w240_c3_d0,0.001,0.15,2.0,240,3,0,22,32.111452757604056,-36.71276723503702,0.4090909090909091,1.7689492896320542,455.3636363636364,0.0,0.8543003074454245,0.07054400955700313,0.07356378578743561,0.05580550441583498,706.4519606672892
e0.001_x0.15_p2_w240_c3_d5,0.001,0.15,2.0,240,3,5,22,32.111452757604056,-36.71276723503702,0.4090909090909091,1.7689492896320542,455.3636363636364,0.0,0.8543003074454245,0.07054400955700313,0.07356378578743561,0.05580550441583498,706.4519606672892
e0.001_x0.15_p2_w480_c1_d0,0.001,0.15,2.0,480,1,0,32,-17.302157409900126,-54.64685928938506,0.4375,0.7682344675562314,452.5625,0.0,-0.3747315246005494,-0.05810227854843675,-0.06042917916007795,0.15074309770948247,-553.669037116804
e0.001_x0.15_p2_w480_c1_d5,0.001,0.15,2.0,480,1,5,31,-14.111471882644738,-61.4163261089129,0.45161290322580644,0.8131363130176613,450.5483870967742,0.0,-0.34590414166086497,-0.04748947487963373,-0.049402574369617036,0.14120467002732573,-437.45562836198684
e0.001_x0.15_p2_w480_c3_d0,0.001,0.15,2.0,480,3,0,28,-0.9207619429207539,-10.006267297776317,0.4642857142857143,0.9868061626789941,474.17857142857144,0.0,0.010727726775772042,-0.006818207862905323,-0.00709894961805646,0.13559309466727965,-25.78133440178111
e0.001_x0.15_p2_w480_c3_d5,0.001,0.15,2.0,480,3,5,28,-15.404528857775762,-10.006267297776317,0.4642857142857143,0.7792645001035541,447.67857142857144,0.0,-0.4567001320978582,-0.045797424855979596,-0.04764407930346881,0.14658875711192043,-431.32680801772136
e0.001_x0.3_p0_w120_c1_d0,0.001,0.3,0.0,120,1,0,31,-30.490288153973907,-33.803558412212055,0.2903225806451613,0.45217999049640833,240.90322580645162,0.0,-1.4148670920131208,-0.0920683418673196,-0.09568482425733804,0.1360214455373776,-945.1989327731911
e0.001_x0.3_p0_w120_c1_d5,0.001,0.3,0.0,120,1,5,30,-32.5991134611715,-36.76388947501164,0.26666666666666666,0.4331845066611096,240.53333333333333,0.0,-1.4717978576521562,-0.09503431901965465,-0.0987608523065262,0.13884383930423216,-977.973403835145
e0.001_x0.3_p0_w120_c3_d0,0.001,0.3,0.0,120,3,0,17,3.327676278258,-23.673973669908754,0.4117647058823529,1.1093925845536057,257.11764705882354,0.0,0.15561708722288703,0.005158750977339643,0.005372494134272765,0.04353097192707478,56.570496730386
