symbol,horizon,phase,rows,events,alerts,hits,precision,recall,alert_time_share,false_positive_rate
000688.SH,15,14,6790,95,1,0,0.0,0.0,0.00014727540500736376,0.00014936519790888724
000688.SH,30,0,2910,390,381,317,0.8320209973753281,0.8128205128205128,0.1309278350515464,0.025396825396825397
000688.SH,30,1,2910,312,92,85,0.9239130434782609,0.2724358974358974,0.03161512027491409,0.0026943802925327174
000688.SH,30,2,2910,255,74,68,0.918918918918919,0.26666666666666666,0.02542955326460481,0.0022598870056497176
000688.SH,30,3,2910,201,57,49,0.8596491228070176,0.24378109452736318,0.01958762886597938,0.0029531192321889995
000688.SH,30,4,2910,149,36,28,0.7777777777777778,0.18791946308724833,0.012371134020618556,0.002897500905469033
000688.SH,30,5,2910,109,26,20,0.7692307692307693,0.1834862385321101,0.008934707903780068,0.0021420921099607284
000688.SH,30,6,2910,75,11,7,0.6363636363636364,0.09333333333333334,0.003780068728522337,0.0014109347442680777
000688.SH,30,7,2910,56,8,4,0.5,0.07142857142857142,0.0027491408934707906,0.001401541695865452
000688.SH,30,8,2910,38,4,1,0.25,0.02631578947368421,0.0013745704467353953,0.0010445682451253482
000688.SH,30,9,2910,27,4,1,0.25,0.037037037037037035,0.0013745704467353953,0.001040582726326743
000688.SH,30,10,2910,22,2,0,0.0,0.0,0.0006872852233676976,0.0006925207756232687
000688.SH,30,11,2910,21,1,0,0.0,0.0,0.0003436426116838488,0.00034614053305642093
000688.SH,30,12,2910,20,0,0,,0.0,0.0,0.0
000688.SH,30,13,2910,20,0,0,,0.0,0.0,0.0
000688.SH,30,14,2910,21,0,0,,0.0,0.0,0.0
000688.SH,30,15,2910,23,0,0,,0.0,0.0,0.0
000688.SH,30,16,2910,18,0,0,,0.0,0.0,0.0
000688.SH,30,17,2910,19,0,0,,0.0,0.0,0.0
000688.SH,30,18,2910,16,0,0,,0.0,0.0,0.0
000688.SH,30,19,2910,18,0,0,,0.0,0.0,0.0
000688.SH,30,20,2910,20,0,0,,0.0,0.0,0.0
000688.SH,30,21,2910,19,0,0,,0.0,0.0,0.0
000688.SH,30,22,2910,19,0,0,,0.0,0.0,0.0
000688.SH,30,23,2910,19,0,0,,0.0,0.0,0.0
000688.SH,30,24,2910,19,0,0,,0.0,0.0,0.0
000688.SH,30,25,2910,21,0,0,,0.0,0.0,0.0
000688.SH,30,26,2910,20,0,0,,0.0,0.0,0.0
000688.SH,30,27,2910,22,0,0,,0.0,0.0,0.0
000688.SH,30,28,2910,26,0,0,,0.0,0.0,0.0
000688.SH,30,29,2910,23,0,0,,0.0,0.0,0.0
