year,stage,first,last,days,n_trades,eligible,win_rate,mean_trade_log,marked_log_pnl,eff_1d,fast_share_1d,slow_work_velocity_5d,threshold_work_amplitude_5d
2021,38,2021-10-20,2021-10-26,5,11,True,0.54545454545454541,0.0016288337072424073,0.018133018459600744,0.1213141749821012,0.93172453648987918,0.25279497510943877,1.2036398534904833
2021,39,2021-10-27,2021-11-02,5,15,True,0.33333333333333331,-0.00028283514665018603,-0.0078518955724403913,0.15626468063231161,0.90701138992093289,0.36732363053558004,1.3153060669737999
2021,40,2021-11-03,2021-11-09,5,9,True,0.55555555555555558,0.0031721681701857691,0.025232662605614253,0.15015835012471151,0.9199772810446436,0.2642651931222631,1.097803966568905
2021,41,2021-11-10,2021-11-16,5,18,True,0.3888888888888889,-0.0011211399323225472,-0.015101564860926562,0.1179607349183061,0.89659466149228151,0.3067413082588818,1.0977996539126358
2021,42,2021-11-17,2021-11-23,5,11,True,0.45454545454545453,0.0015697178437878176,0.012634060463629648,0.2775864650068316,0.87419298491361297,0.3294472122166171,1.0042785375357191
2021,43,2021-11-24,2021-11-30,5,12,True,0.66666666666666663,0.0015713907683475496,0.020734223843045803,0.11380208118368269,0.91998815659087896,0.39089604619770701,1.168744091126487
2021,44,2021-12-01,2021-12-07,5,12,True,0.33333333333333331,0.0010724961015658454,0.013286985526804875,0.34938452917486246,0.88155435427444429,0.51181304633957636,0.9956744305599694
2021,45,2021-12-08,2021-12-14,5,9,True,0.55555555555555558,0.0017430366536117202,0.018351883832279703,0.19313149617169312,0.91838171958733206,0.49053542415548196,1.0852491270189866
2021,46,2021-12-15,2021-12-21,5,9,True,0.33333333333333331,0.0027431783552896464,0.023805313855065929,0.27828096821128645,0.87078365751487907,0.6396699887870172,1.0527872162562191
2021,47,2021-12-22,2021-12-28,5,18,True,0.33333333333333331,-6.0893377247832739e-05,0.0027422232683944215,0.12230894789246358,0.9208806029603297,0.41149786950992884,1.0660707746049911
2021,48,2021-12-29,2021-12-31,3,4,False,0.75,0.0025896472483437649,0.0093175370214775618,0.32683864820408709,0.85265836962352737,0.33695620057237008,0.91013582198516396
2022,0,2022-01-04,2022-01-10,5,11,True,0.72727272727272729,0.0044692397381940752,0.042758811950708783,0.29677205358517245,0.82403782092332634,0.5330408756228433,0.74818219790808815
2022,1,2022-01-11,2022-01-17,5,15,True,0.33333333333333331,-0.0017890410062565737,-0.025190867175089462,0.31145601868527556,0.89517870367041341,0.28086568042160331,0.92019766346401721
2022,2,2022-01-18,2022-01-24,5,13,True,0.46153846153846156,0.00032319219193738133,0.0023986410672269393,0.20931182319383984,0.90097883185454131,0.40105853797962771,1.191539105406157
2022,3,2022-01-25,2022-02-07,5,12,True,0.25,-0.0021283583113627363,-0.018217249794153463,0.18714251641561111,0.90516344486810352,0.47785804558542433,1.2826216984131009
2022,4,2022-02-08,2022-02-14,5,16,True,0.25,0.00011703432853810451,-0.00027981018093250175,0.20114912667764678,0.88808105675245186,0.41716310257592149,1.1507715027135543
2022,5,2022-02-15,2022-02-21,5,18,True,0.27777777777777779,-4.8644485042647232e-05,-0.0054972462647198093,0.20305586835260195,0.90933083417931981,0.36674674405411622,1.0442861026177555
2022,6,2022-02-22,2022-02-28,5,11,True,0.45454545454545453,0.005716831542388506,0.065527938717912459,0.24937864065314974,0.88451887550215358,0.31837716333265365,0.7758505410202704
2022,7,2022-03-01,2022-03-07,5,15,True,0.46666666666666667,0.00074830545895893574,0.016762596378471904,0.21656581134673356,0.87527328536686255,0.37531264821122051,0.94623017986292945
2022,8,2022-03-08,2022-03-14,5,14,True,0.6428571428571429,0.0038876119719844552,0.05699077148894631,0.17820004246123081,0.90390470571013659,0.36588792246621676,0.92498621136532455
2022,9,2022-03-15,2022-03-21,5,9,True,0.66666666666666663,0.011875352942968783,0.098088304113662594,0.13119318072794917,0.89066298700658864,0.22671743453036947,0.9967593659841375
