entry_i,exit_i,side,entry_time,exit_time,entry,exit,bars,gross_bp,net_bp,forced_year_end,year
35768,36728,-1,2021-08-13 09:38:00+08:00,2021-08-19 09:38:00+08:00,1568.05,1519.68,960,308.4723063677808,304.47310620781207,False,2021
36736,36965,1,2021-08-19 09:46:00+08:00,2021-08-20 09:35:00+08:00,1526.14,1530.72,229,30.010352916507443,25.999151015720923,False,2021
36967,36994,-1,2021-08-20 09:37:00+08:00,2021-08-20 10:04:00+08:00,1525.09,1552.01,27,-176.51417293405692,-180.51337309402447,False,2021
37688,38427,-1,2021-08-25 09:38:00+08:00,2021-08-30 09:57:00+08:00,1560.92,1495.25,739,420.7134254157807,416.71422525581204,False,2021
38432,38645,1,2021-08-30 10:02:00+08:00,2021-08-31 09:35:00+08:00,1503.2,1454.09,213,-326.7030335284737,-330.571578606047,False,2021
39379,40113,1,2021-09-03 09:49:00+08:00,2021-09-08 10:03:00+08:00,1414.39,1421.43,734,49.77410756580536,45.755001743943424,False,2021
41046,41286,1,2021-09-14 09:36:00+08:00,2021-09-15 09:36:00+08:00,1401.74,1384.35,240,-124.06009673691321,-128.00968278100956,False,2021
41287,42279,-1,2021-09-15 09:37:00+08:00,2021-09-23 10:09:00+08:00,1382.57,1371.86,992,77.46443218064947,73.4652320206819,False,2021
42723,42833,1,2021-09-27 09:33:00+08:00,2021-09-27 11:23:00+08:00,1390.66,1360.45,110,-217.23498195101664,-221.14730549352757,False,2021
43451,44708,1,2021-09-30 09:41:00+08:00,2021-10-14 10:38:00+08:00,1365.44,1340.07,1257,-185.80091399109543,-189.72580864656808,False,2021
45606,47903,1,2021-10-20 09:36:00+08:00,2021-11-02 13:23:00+08:00,1378.53,1403.49,2297,181.06243607320937,176.9908254209107,False,2021
47910,48242,-1,2021-11-02 13:30:00+08:00,2021-11-04 09:32:00+08:00,1396.72,1414.36,332,-126.29589323557954,-130.29509339554713,False,2021
48242,48757,1,2021-11-04 09:32:00+08:00,2021-11-08 10:07:00+08:00,1414.36,1382.48,515,-225.40230210130295,-229.3113593690088,False,2021
50659,50883,-1,2021-11-18 09:49:00+08:00,2021-11-19 09:33:00+08:00,1422.99,1437.14,224,-99.43850624389627,-103.43770640386384,False,2021
50886,52172,1,2021-11-19 09:36:00+08:00,2021-11-26 11:02:00+08:00,1438.44,1451.96,1286,93.99071216039667,89.95392323331686,False,2021
53050,53300,-1,2021-12-02 09:40:00+08:00,2021-12-03 09:50:00+08:00,1446.52,1438.46,250,55.71993473992731,51.72073457995863,False,2021
53528,54001,-1,2021-12-06 09:38:00+08:00,2021-12-08 09:31:00+08:00,1426.24,1402.68,473,165.18958940991647,161.19038924994777,False,2021
54002,55423,1,2021-12-08 09:32:00+08:00,2021-12-15 14:43:00+08:00,1406.48,1425.46,1421,134.9468175871671,130.8936494937507,False,2021
55704,56166,-1,2021-12-17 09:54:00+08:00,2021-12-21 09:36:00+08:00,1415.4,1377.64,462,266.77970891620714,262.7805087562396,False,2021
56645,57124,-1,2021-12-23 09:35:00+08:00,2021-12-27 09:34:00+08:00,1367.05,1368.07,479,-7.461321824366873,-11.460521984334449,False,2021
57124,58319,1,2021-12-27 09:34:00+08:00,2021-12-31 14:59:00+08:00,1368.07,1398.19,1195,220.1641728858905,216.07692466637963,True,2021
0,6,1,2022-01-04 09:30:00+08:00,2022-01-04 09:36:00+08:00,1403.39,1391.24,6,-86.57607650047416,-90.54065315454274,False,2022
10,993,-1,2022-01-04 09:40:00+08:00,2022-01-10 10:03:00+08:00,1387.21,1311.74,983,544.0416375314483,540.0424373714797,False,2022
994,1238,1,2022-01-10 10:04:00+08:00,2022-01-11 10:08:00+08:00,1312.05,1303.88,244,-62.2689684082145,-66.243265961341,False,2022
1241,1442,-1,2022-01-11 10:11:00+08:00,2022-01-12 09:32:00+08:00,1302.82,1303.56,201,-5.679986490843003,-9.679186650810578,False,2022
1684,1751,-1,2022-01-13 09:34:00+08:00,2022-01-13 10:41:00+08:00,1305.36,1310.12,67,-36.46503646503652,-40.46423662500409,False,2022
1955,2404,1,2022-01-14 10:05:00+08:00,2022-01-18 09:34:00+08:00,1311.01,1330.87,449,151.48625868605103,147.42647613908534,False,2022
2416,2646,1,2022-01-18 09:46:00+08:00,2022-01-19 09:36:00+08:00,1349.84,1332.59,230,-127.79292360576066,-131.7410168176758,False,2022
2647,3368,-1,2022-01-19 09:37:00+08:00,2022-01-24 09:38:00+08:00,1332.98,1300.44,721,244.11469039295363,240.11549023298608,False,2022
3370,3662,1,2022-01-24 09:40:00+08:00,2022-01-25 10:32:00+08:00,1306.94,1288.95,292,-137.6497773424945,-141.59392860130572,False,2022
3871,4565,-1,2022-01-26 10:01:00+08:00,2022-02-07 09:35:00+08:00,1266.15,1255.08,694,87.43039924179685,83.43119908182928,False,2022
4567,4807,1,2022-02-07 09:37:00+08:00,2022-02-08 09:37:00+08:00,1259.96,1222.28,240,-299.05711292422035,-302.9367141588035,False,2022
4811,6003,-1,2022-02-08 09:41:00+08:00,2022-02-15 09:33:00+08:00,1220.89,1179.26,1192,340.9807599374237,336.98155977745614,False,2022
6004,7201,1,2022-02-15 09:34:00+08:00,2022-02-22 09:31:00+08:00,1182.37,1179.2,1197,-26.810558454627433,-30.79903653562921,False,2022
7202,7443,-1,2022-02-22 09:32:00+08:00,2022-02-23 09:33:00+08:00,1180.26,1194.8,241,-123.19319471980617,-127.19239487977374,False,2022
7443,7793,1,2022-02-23 09:33:00+08:00,2022-02-24 11:23:00+08:00,1194.8,1222.38,350,230.83361232005385,226.74209717815418,False,2022
7795,7921,-1,2022-02-24 11:25:00+08:00,2022-02-25 09:31:00+08:00,1221.25,1240.94,126,-161.2282497441142,-165.22744990408177,False,2022
7921,8643,1,2022-02-25 09:31:00+08:00,2022-03-02 09:33:00+08:00,1240.94,1225.44,722,-124.90531371379787,-128.85456173870713,False,2022
8644,9758,-1,2022-03-02 09:34:00+08:00,2022-03-08 13:38:00+08:00,1224.1,1163.02,1114,498.97884159790794,494.97964143794036,False,2022
10009,10081,-1,2022-03-09 13:49:00+08:00,2022-03-10 09:31:00+08:00,1097.07,1165.7,72,-625.575396282827,-629.5745964427946,False,2022
10082,10322,1,2022-03-10 09:32:00+08:00,2022-03-11 09:32:00+08:00,1165.18,1134.54,240,-262.96366226677526,-266.8576979947235,False,2022
10322,10848,-1,2022-03-11 09:32:00+08:00,2022-03-15 10:18:00+08:00,1134.54,1132.72,526,16.041743790434772,12.042543630466085,False,2022
11524,11769,-1,2022-03-18 09:34:00+08:00,2022-03-21 09:39:00+08:00,1131.86,1152.51,245,-182.4430583287695,-186.44225848873708,False,2022
12288,12482,1,2022-03-23 10:18:00+08:00,2022-03-24 09:32:00+08:00,1148.56,1129.65,194,-164.64094170091093,-168.57429865284047,False,2022
12482,13454,-1,2022-03-24 09:32:00+08:00,2022-03-30 09:44:00+08:00,1129.65,1095.33,972,303.8109148851431,299.81171472517553,False,2022
13456,13688,1,2022-03-30 09:46:00+08:00,2022-03-31 09:38:00+08:00,1100.22,1101.7,232,13.451855083528308,9.447275257459253,False,2022
13932,13972,-1,2022-04-01 09:42:00+08:00,2022-04-01 10:22:00+08:00,1078.61,1090.48,40,-110.0490446037039,-114.04824476367148,False,2022
14163,14709,-1,2022-04-06 09:33:00+08:00,2022-04-08 10:39:00+08:00,1074.5,1034.22,546,374.8720335039546,370.872833343987,False,2022
14710,14882,1,2022-04-08 10:40:00+08:00,2022-04-11 09:32:00+08:00,1035.83,1014.05,172,-210.26616336657588,-214.1812738791271,False,2022
14883,15258,-1,2022-04-11 09:33:00+08:00,2022-04-12 13:18:00+08:00,1012.56,983.92,375,282.84743620131115,278.84823604134243,False,2022
15842,16109,-1,2022-04-15 09:32:00+08:00,2022-04-18 09:59:00+08:00,960.25,981.46,267,-220.87997917209057,-224.87917933205813,False,2022
16116,16595,1,2022-04-18 10:06:00+08:00,2022-04-20 10:05:00+08:00,987.02,981.27,479,-58.25616502198483,-62.23206737550502,False,2022
16814,17281,1,2022-04-21 09:44:00+08:00,2022-04-25 09:31:00+08:00,983.89,916.59,467,-684.0195550315575,-687.7452020801355,False,2022
17281,17583,-1,2022-04-25 09:31:00+08:00,2022-04-26 10:33:00+08:00,916.59,899.15,302,190.27045898384333,186.27125882387574,False,2022
17766,17850,-1,2022-04-27 09:36:00+08:00,2022-04-27 11:00:00+08:00,855.14,870.56,84,-180.3213508899115,-184.3205510498791,False,2022
17889,18003,1,2022-04-27 13:09:00+08:00,2022-04-28 09:33:00+08:00,886.73,893.71,114,78.71618192685447,74.68550159015041,False,2022
18006,18363,-1,2022-04-28 09:36:00+08:00,2022-04-29 13:03:00+08:00,892.25,929.77,357,-420.5099467637985,-424.5091469237661,False,2022
18363,18721,1,2022-04-29 13:03:00+08:00,2022-05-06 09:31:00+08:00,929.77,935.12,358,57.54111231810022,53.51890031557449,False,2022
18721,18984,-1,2022-05-06 09:31:00+08:00,2022-05-09 09:54:00+08:00,935.12,950.85,263,-168.21370519291668,-172.21290535288426,False,2022
19222,20882,1,2022-05-10 09:52:00+08:00,2022-05-19 09:32:00+08:00,963.85,1005.55,1660,432.6399335996256,428.4677120704927,False,2022
21124,21167,1,2022-05-20 09:34:00+08:00,2022-05-20 10:17:00+08:00,1047.61,1029.59,43,-172.0105764549784,-175.9409861424588,False,2022
21604,22139,-1,2022-05-24 09:34:00+08:00,2022-05-26 10:29:00+08:00,1032.46,1005.05,535,265.4824399976763,261.48323983770763,False,2022
22144,23804,1,2022-05-26 10:34:00+08:00,2022-06-07 10:14:00+08:00,1007.86,1106.19,1660,975.6315361260492,971.2421613865474,False,2022
24029,24096,1,2022-06-08 09:59:00+08:00,2022-06-08 11:06:00+08:00,1124.3,1104.32,67,-177.710575469181,-181.63870561296426,False,2022
24098,25203,-1,2022-06-08 11:08:00+08:00,2022-06-15 09:33:00+08:00,1100.86,1080.68,1105,183.31122940246524,179.31202924249766,False,2022
25203,25767,1,2022-06-15 09:33:00+08:00,2022-06-17 10:57:00+08:00,1080.68,1069.32,564,-105.11899914868562,-109.07616011683218,False,2022
26885,27366,1,2022-06-24 09:35:00+08:00,2022-06-28 09:36:00+08:00,1093.97,1092.09,481,-17.185114765487786,-21.177442254083356,False,2022
27367,27547,-1,2022-06-28 09:37:00+08:00,2022-06-28 14:07:00+08:00,1091.8,1111.4,180,-179.52005861879616,-183.51925877876374,False,2022
28324,28808,-1,2022-07-04 09:34:00+08:00,2022-07-06 09:38:00+08:00,1076.2,1095.28,484,-177.2904664560482,-181.28966661601575,False,2022
28812,29322,1,2022-07-06 09:42:00+08:00,2022-07-08 10:12:00+08:00,1102.87,1101.09,510,-16.139708215836546,-20.132453783436866,False,2022
29525,30271,-1,2022-07-11 09:35:00+08:00,2022-07-14 10:01:00+08:00,1090.97,1069.63,746,195.60574534588372,191.60654518591613,False,2022
30726,31202,-1,2022-07-18 09:36:00+08:00,2022-07-20 09:32:00+08:00,1061.86,1075.13,476,-124.96939332868884,-128.9685934886564,False,2022
31203,32897,1,2022-07-20 09:33:00+08:00,2022-07-29 09:47:00+08:00,1074.43,1099.42,1694,232.58844224379516,228.49622531028402,False,2022
33122,33722,-1,2022-08-01 09:32:00+08:00,2022-08-03 13:02:00+08:00,1074.61,1111.52,600,-343.4734461804756,-347.4726463404432,False,2022
33743,35525,1,2022-08-03 13:23:00+08:00,2022-08-15 09:35:00+08:00,1126.03,1138.94,1782,114.6505865740699,110.60553534968598,False,2022
36513,36968,-1,2022-08-19 10:03:00+08:00,2022-08-23 09:38:00+08:00,1132.89,1115.84,455,150.50004854840427,146.50084838843557,False,2022
37246,38177,-1,2022-08-24 10:16:00+08:00,2022-08-30 09:47:00+08:00,1090.14,1062.74,931,251.34386409085164,247.34466393088405,False,2022
38442,39450,-1,2022-08-31 10:12:00+08:00,2022-09-06 11:00:00+08:00,1032.36,1031.05,1008,12.689371924522463,8.690171764553778,False,2022
39468,40084,1,2022-09-06 11:18:00+08:00,2022-09-09 09:34:00+08:00,1038.58,1031.32,616,-69.90313697548545,-73.8743814717957,False,2022
40085,40330,-1,2022-09-09 09:35:00+08:00,2022-09-13 09:40:00+08:00,1033.03,1041.55,245,-82.4758235482026,-86.47502370817017,False,2022
40332,40573,1,2022-09-13 09:42:00+08:00,2022-09-14 09:43:00+08:00,1044.24,1021.43,241,-218.43637477974465,-222.34821786121682,False,2022
40576,41542,-1,2022-09-14 09:46:00+08:00,2022-09-20 09:52:00+08:00,1019.56,988.91,966,300.61987524029996,296.62067508033243,False,2022
41769,42018,-1,2022-09-21 09:39:00+08:00,2022-09-22 09:48:00+08:00,972.79,979.61,249,-70.10762857348584,-74.10682873345343,False,2022
42021,43682,1,2022-09-22 09:51:00+08:00,2022-10-10 09:32:00+08:00,981.92,925.26,1661,-577.0327521590345,-580.801185371529,False,2022
43682,44323,-1,2022-10-10 09:32:00+08:00,2022-10-12 13:43:00+08:00,925.26,891.76,641,362.06039383524626,358.0611936752787,False,2022
44327,45611,1,2022-10-12 13:47:00+08:00,2022-10-20 09:41:00+08:00,898.1,941.95,1284,488.25297851018854,484.05851621124543,False,2022
45612,45664,-1,2022-10-20 09:42:00+08:00,2022-10-20 10:34:00+08:00,941.03,951.9,52,-115.51172651243834,-119.51092667240593,False,2022
45675,46323,1,2022-10-20 10:45:00+08:00,2022-10-25 09:33:00+08:00,958.95,957.98,648,-10.115230199697622,-14.110385076642196,False,2022
46438,48726,1,2022-10-25 11:28:00+08:00,2022-11-08 09:36:00+08:00,980.18,1050.13,2288,713.6444326552271,709.3598318023364,False,2022
48728,49441,-1,2022-11-08 09:38:00+08:00,2022-11-11 09:31:00+08:00,1050.67,1058.42,713,-73.76245633738509,-77.76165649735267,False,2022
49441,49682,1,2022-11-11 09:31:00+08:00,2022-11-14 09:32:00+08:00,1058.42,1014.27,241,-417.13119555564003,-420.96357660120873,False,2022
49682,49925,-1,2022-11-14 09:32:00+08:00,2022-11-15 09:35:00+08:00,1014.27,1029.7,243,-152.12911749336922,-156.12831765333678,False,2022
49927,50403,1,2022-11-15 09:37:00+08:00,2022-11-17 09:33:00+08:00,1030.58,1025.09,476,-53.27097362650135,-57.24886965784437,False,2022
51844,52801,-1,2022-11-25 09:34:00+08:00,2022-12-01 09:31:00+08:00,1004.64,1009.13,957,-44.69262621436654,-48.69182637433411,False,2022
52801,55445,1,2022-12-01 09:31:00+08:00,2022-12-16 09:35:00+08:00,1009.13,982.57,2644,-263.1970112869497,-267.0909536939536,False,2022
56883,58079,1,2022-12-26 09:33:00+08:00,2022-12-30 14:59:00+08:00,930.56,960.88,1196,325.82530949105904,321.6958052681074,True,2022
0,866,1,2023-01-03 09:30:00+08:00,2023-01-06 13:26:00+08:00,960.51,992.6,866,334.0933462431428,329.9605354668,False,2023
978,3604,1,2023-01-09 09:48:00+08:00,2023-01-31 09:34:00+08:00,999.98,1025.19,2626,252.10504210084306,248.0050200884043,False,2023
4082,4344,1,2023-02-02 09:32:00+08:00,2023-02-03 09:54:00+08:00,1032.96,1024.89,262,-78.12499999999889,-82.09295640871694,False,2023
4347,4591,-1,2023-02-03 09:57:00+08:00,2023-02-06 10:01:00+08:00,1023.49,1036.61,244,-128.18884405318977,-132.18804421315733,False,2023
5283,5315,-1,2023-02-09 09:33:00+08:00,2023-02-09 10:05:00+08:00,1006.16,1016.97,32,-107.43818080623413,-111.4373809662017,False,2023
6675,8184,-1,2023-02-16 14:15:00+08:00,2023-02-27 09:54:00+08:00,1011.9,995.85,1509,158.61251111769948,154.6133109577319,False,2023
9121,10323,1,2023-03-03 09:31:00+08:00,2023-03-10 09:33:00+08:00,998.9,991.91,1202,-69.97697467213904,-73.94818963927685,False,2023
11801,13041,1,2023-03-20 10:11:00+08:00,2023-03-27 10:51:00+08:00,1030.21,1056.08,1240,251.11385057415393,247.0142249590479,False,2023
13563,14480,1,2023-03-29 13:03:00+08:00,2023-04-04 10:50:00+08:00,1067.33,1126.84,917,557.5595176749459,553.3373383037499,False,2023
14575,14650,-1,2023-04-04 13:55:00+08:00,2023-04-06 09:40:00+08:00,1125.46,1147.13,75,-192.54349332717302,-196.54269348714058,False,2023
15164,15486,1,2023-04-10 10:14:00+08:00,2023-04-11 13:06:00+08:00,1171.0,1112.7,322,-497.8650725875311,-501.6651665397054,False,2023
16573,16699,-1,2023-04-18 09:43:00+08:00,2023-04-18 13:19:00+08:00,1122.75,1133.66,126,-97.17212202182246,-101.17132218179003,False,2023
16702,17401,1,2023-04-18 13:22:00+08:00,2023-04-21 13:01:00+08:00,1134.2,1123.01,699,-98.65984835126129,-102.61959246309793,False,2023
17529,19226,-1,2023-04-24 09:39:00+08:00,2023-05-08 09:56:00+08:00,1101.23,1057.29,1697,399.00838153700937,395.0091813770418,False,2023
19231,19759,1,2023-05-08 10:01:00+08:00,2023-05-10 10:49:00+08:00,1062.52,1019.23,528,-407.4276248917663,-411.2638865894702,False,2023
21366,21846,1,2023-05-19 09:36:00+08:00,2023-05-23 09:36:00+08:00,1043.78,1025.55,480,-174.6536626492179,-178.58301531362585,False,2023
22082,22178,-1,2023-05-24 09:32:00+08:00,2023-05-24 11:08:00+08:00,1010.17,1020.8,96,-105.22981280378652,-109.22901296375409,False,2023
22181,24242,1,2023-05-24 11:11:00+08:00,2023-06-06 09:32:00+08:00,1022.26,1042.07,2061,193.7863165926479,189.7096174058488,False,2023
26178,26408,1,2023-06-16 09:48:00+08:00,2023-06-19 09:38:00+08:00,1041.37,1046.27,230,47.05340080855214,43.03538305177934,False,2023
26896,27223,-1,2023-06-21 09:46:00+08:00,2023-06-26 11:13:00+08:00,1040.45,1024.01,327,158.0085539910625,154.00935383109493,False,2023
27227,27641,1,2023-06-26 11:17:00+08:00,2023-06-28 10:11:00+08:00,1027.47,998.45,414,-282.44133648670953,-286.3275827028722,False,2023
27642,28672,-1,2023-06-28 10:12:00+08:00,2023-07-04 11:22:00+08:00,996.14,1021.21,1030,-251.67145180396312,-255.67065196393068,False,2023
29301,29764,-1,2023-07-07 09:51:00+08:00,2023-07-11 09:34:00+08:00,994.35,998.1,463,-37.713078895760255,-41.712279055727834,False,2023
31206,35498,1,2023-07-19 09:36:00+08:00,2023-08-11 14:38:00+08:00,986.79,941.15,4292,-462.5097538483369,-466.3239871001468,False,2023
35521,36337,-1,2023-08-14 09:31:00+08:00,2023-08-17 11:07:00+08:00,932.72,913.21,816,209.17317094090393,205.17397078093634,False,2023
36482,36723,1,2023-08-18 09:32:00+08:00,2023-08-21 09:33:00+08:00,922.07,901.06,241,-227.85688722114506,-231.76496285113092,False,2023
36724,37147,-1,2023-08-21 09:34:00+08:00,2023-08-22 14:07:00+08:00,900.34,888.87,423,127.39631694693165,123.39711678696297,False,2023
37148,37221,1,2023-08-22 14:08:00+08:00,2023-08-23 09:51:00+08:00,889.63,888.65,73,-11.015815563774067,-15.010610278605174,False,2023
37683,37921,-1,2023-08-25 09:33:00+08:00,2023-08-28 09:31:00+08:00,877.54,920.92,238,-494.3364405041373,-498.33564066410486,False,2023
37921,38892,1,2023-08-28 09:31:00+08:00,2023-09-01 09:42:00+08:00,920.92,935.2,971,155.06232897537276,151.00111628632007,False,2023
39366,39842,1,2023-09-05 09:36:00+08:00,2023-09-07 09:32:00+08:00,947.69,926.47,476,-223.91288290474765,-227.82253582100287,False,2023
40804,41315,-1,2023-09-13 09:34:00+08:00,2023-09-15 10:05:00+08:00,898.2,885.96,511,136.27254509018027,132.27334493021158,False,2023
41315,43685,1,2023-09-15 10:05:00+08:00,2023-10-09 09:35:00+08:00,885.96,882.8,2370,-35.667524493205875,-39.65246049620785,False,2023
44182,44642,1,2023-10-11 09:52:00+08:00,2023-10-13 09:32:00+08:00,889.95,892.48,460,28.428563402438378,24.417994090939477,False,2023
44643,45220,-1,2023-10-13 09:33:00+08:00,2023-10-17 11:10:00+08:00,891.59,878.67,577,144.90965578348835,140.91045562351968,False,2023
45227,45371,1,2023-10-17 11:17:00+08:00,2023-10-18 09:41:00+08:00,881.93,875.03,144,-78.23750184254963,-82.20541325952956,False,2023
