year,label,fee_bps,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp
2022,V2,0.0,47,40.478777049779495,-4.717237875790925,0.48936170212765956,1.45554608399536,629.6170212765958,0.0,1.0800735129103207,0.19028170330498417,0.19888018104795724,0.13492872820716384,1902.5025213396361
2023,V2,0.0,29,9.119322876975763,-5.061264845396263,0.4827586206896552,1.1043407719159117,818.0,0.0,0.21101534033078193,0.019364879204642582,0.020173099430902175,0.13915733455894608,264.46036343229713
2024,V2,0.0,35,140.92294029845434,-31.007958265685254,0.45714285714285713,2.372251099373255,575.3714285714286,0.0,1.4010665006838179,0.48013549216362605,0.5043147839245063,0.13245388834522143,4932.302910445902
2025,V2,0.0,37,94.34322419645122,2.459923742363923,0.5135135135135135,2.420951520840108,714.972972972973,0.0,1.7511973412457695,0.38909958409700063,0.40611163807055983,0.10076231149269665,3490.699295268695
2021,V2,2.0,41,29.665136209622577,65.46535663614073,0.5609756097560976,1.4709268341234225,539.8048780487804,0.0,0.887477463654082,0.12126727184419805,0.12603068483460533,0.11783324230963921,1216.2705845945256
2022,V2,2.0,47,36.4752742465847,-8.714551517912117,0.46808510638297873,1.4012341214907127,629.6170212765958,0.0,0.9713332565198551,0.16817177323504118,0.17569925088195437,0.13943103303863347,1714.3378895894812
2023,V2,2.0,29,5.11320801625483,-9.060465005363838,0.4827586206896552,1.057166460536546,818.0,0.0,0.12755677346428534,0.007597394055756768,0.007912574805002182,0.14156982692668507,148.28303247139007
2024,V2,2.0,35,136.86256308214777,-35.00715842565283,0.45714285714285713,2.3054427290745236,575.3714285714286,0.0,1.3552129040221004,0.4595307086087861,0.48251435730627,0.13419013015709047,4790.189707875172
2025,V2,2.0,37,90.3124616996201,-1.5392764176036522,0.4864864864864865,2.3210403347751347,714.972972972973,0.0,1.6754859080310023,0.36871916190709464,0.3847233860731385,0.10184639317754662,3341.5610828859435
2021,V2,4.0,41,25.659085258089608,61.43997524773237,0.5609756097560976,1.396369399876177,539.8048780487804,0.0,0.7687357432593309,0.10304797884596262,0.10706207608915164,0.12173122783047552,1052.0224955816739
2022,V2,4.0,47,32.47337220420658,-12.710266873890985,0.46808510638297873,1.3491211075894942,629.6170212765958,0.0,0.8631394971543698,0.1464725619455387,0.15296655464399533,0.14390991222220173,1526.2484935977095
2023,V2,4.0,29,1.108694960756004,-13.058066124884693,0.4827586206896552,1.012118453973243,818.0,0.0,0.044620946374408076,-0.004034253976284985,-0.00420060807393563,0.14397556120085153,32.15215386192411
2024,V2,4.0,35,132.80380936732726,-39.004759545173684,0.45714285714285713,2.2413387365970756,575.3714285714286,0.0,1.3094382354706071,0.4392127482911572,0.4610298467963685,0.13592289848402872,4648.133327856454
2025,V2,4.0,37,86.28331086312355,-5.536877537124507,0.4864864864864865,2.225605251975348,714.972972972973,0.0,1.5998295759002739,0.34863776202877816,0.3636604767407532,0.10292917053529194,3192.4825019355712
2021,V2,7.0,41,19.65301126729801,55.40492008931697,0.5365853658536586,1.2917556149122464,539.8048780487804,0.0,0.5919600207184404,0.07627261878400726,0.07920661510267069,0.13010433646900166,805.7734619592184
2022,V2,7.0,47,26.473518467642716,-18.70084521762516,0.46808510638297873,1.2752684833044317,629.6170212765958,0.0,0.7019420521604524,0.11467718740966393,0.11968903070017967,0.15058457506075562,1244.2553679792077
2023,V2,7.0,29,-4.895073338599264,-19.0514717005974,0.4827586206896552,0.9482290747990421,818.0,0.0,-0.07875170091460994,-0.021230458375400052,-0.022097986087244004,0.15091210084584727,-141.95712681937866
2024,V2,7.0,35,126.71872073102723,-44.99816512088639,0.42857142857142855,2.1486796646741535,575.3714285714286,0.0,1.240933097311053,0.4092648796308833,0.42938542424550574,0.13874813224193505,4435.155225585953
2025,V2,7.0,37,80.24260435768146,-11.530283112837214,0.4864864864864865,2.0924357557055537,714.972972972973,0.0,1.4864835820835294,0.3190667458868026,0.332665321360603,0.10455089457577837,2968.976361234214
