quarter,policy,cost_bps,total_log_return,mdd
2022Q2,baseline,5,0.0795914128693805,0.1594799306452726
2022Q3,baseline,5,-0.145882032528228,0.1743552429682181
2022Q4,baseline,5,-0.0684498806996867,0.2113127952514514
2022Q1,constant_075,5,0.0033860137886428,0.1285976889159727
2022Q2,constant_075,5,0.0597094219047471,0.1221607826791087
2022Q3,constant_075,5,-0.1093935033753388,0.1338354946588608
2022Q4,constant_075,5,-0.0513224868668883,0.1630809621692638
2022Q1,constant_050,5,0.0022676010735186,0.0876779565306146
2022Q2,constant_050,5,0.0398168525781905,0.0831901711537467
2022Q3,constant_050,5,-0.072916992243096,0.0913348007771579
2022Q4,constant_050,5,-0.0342050454574378,0.1119061468366062
2022Q1,slow_conflict_half,5,0.0135471017151084,0.1306506345351225
2022Q2,slow_conflict_half,5,0.0821679572704685,0.1421737474233384
2022Q3,slow_conflict_half,5,-0.1058399805859764,0.1177686615289556
2022Q4,slow_conflict_half,5,-0.0338749709373101,0.1674885650614873
2022Q1,chop_half,5,0.001758029893447,0.1590313730854796
2022Q2,chop_half,5,0.0310871338725471,0.1830137733818099
2022Q3,chop_half,5,-0.1441458571760643,0.1602883708648403
2022Q4,chop_half,5,-0.0431733393241284,0.1850958287262678
2022Q1,slow_conflict_half_matched_constant,5,0.0037796569123828,0.1426467675886465
2022Q2,slow_conflict_half_matched_constant,5,0.0667521704529771,0.1355631870282981
2022Q3,slow_conflict_half_matched_constant,5,-0.122315149349738,0.1484079497103791
2022Q4,slow_conflict_half_matched_constant,5,-0.0573873003702096,0.1804907160758375
2022Q1,chop_half_matched_constant,5,0.00420590361457,0.1576555853585559
2022Q2,chop_half_matched_constant,5,0.0744028503449765,0.1498942339518056
2022Q3,chop_half_matched_constant,5,-0.1363566633802554,0.1639646373853594
2022Q4,chop_half_matched_constant,5,-0.0639783404979644,0.1989975720943829
2023Q1,baseline,0,0.1189556003666521,0.1187587283591421
2023Q2,baseline,0,-0.0088033504522006,0.1073086451489251
2023Q3,baseline,0,0.1053451912555944,0.073920064046567
2023Q4,baseline,0,0.0585963125499535,0.0431871771006416
2023Q1,constant_075,0,0.0892167002749891,0.0904614282378401
2023Q2,constant_075,0,-0.0066025128391505,0.0816124308450217
2023Q3,constant_075,0,0.0790088934416958,0.0559687816556318
2023Q4,constant_075,0,0.0439472344124651,0.032568464102103
2023Q1,constant_050,0,0.059477800183326,0.0612554811660108
2023Q2,constant_050,0,-0.0044016752261003,0.0551765483165254
2023Q3,constant_050,0,0.0526725956277972,0.0376695287202878
2023Q4,constant_050,0,0.0292981562749767,0.0218319045790962
2023Q1,slow_conflict_half,0,0.0913978851624401,0.1064482298169435
2023Q2,slow_conflict_half,0,0.0068584056103217,0.0976677506012196
2023Q3,slow_conflict_half,0,0.1184581944132503,0.0598087800892267
2023Q4,slow_conflict_half,0,0.0441730426535021,0.0353211929726156
2023Q1,chop_half,0,0.1226822610954977,0.0953700124213509
2023Q2,chop_half,0,-0.003276756773094,0.1039802153931929
2023Q3,chop_half,0,0.0823118235347783,0.0813393423968247
2023Q4,chop_half,0,0.0564943341297227,0.0448164663699516
2023Q1,slow_conflict_half_matched_constant,0,0.0987917249257139,0.0996701047847421
2023Q2,slow_conflict_half_matched_constant,0,-0.0073111158585038,0.0899655625908253
2023Q3,slow_conflict_half_matched_constant,0,0.0874883832681404,0.0617862116709951
2023Q4,slow_conflict_half_matched_constant,0,0.0486637936612776,0.0360001686593833
2023Q1,chop_half_matched_constant,0,0.1101947088279408,0.1105152483635721
2023Q2,chop_half_matched_constant,0,-0.0081549976360972,0.0998143241719897
2023Q3,chop_half_matched_constant,0,0.0975866847887245,0.0686674923084835
2023Q4,chop_half_matched_constant,0,0.0542807869484998,0.0400711395962918
2023Q1,baseline,1,0.0853522399185849,0.1299678461745654
2023Q2,baseline,1,-0.0448069509322727,0.1168987908158946
2023Q3,baseline,1,0.0671413707461847,0.0878914248921585
2023Q4,baseline,1,0.0239928520885509,0.0486943868680073
2023Q1,constant_075,1,0.0640148100859678,0.0991518694607819
2023Q2,constant_075,1,-0.0336045380416733,0.0890218771060415
2023Q3,constant_075,1,0.0503567444767966,0.0666704249142561
2023Q4,constant_075,1,0.0179952879678182,0.036747599790398
2023Q1,constant_050,1,0.0426769601273218,0.0672445600493263
2023Q2,constant_050,1,-0.0224025752861048,0.0602650979375733
2023Q3,constant_050,1,0.0335716405641257,0.0449558814121272
2023Q4,constant_050,1,0.0119972912173057,0.0246508642333985
2023Q1,slow_conflict_half,1,0.062195414874068,0.1165335850143917
2023Q2,slow_conflict_half,1,-0.0221939033904178,0.1059765092322276
2023Q3,slow_conflict_half,1,0.0875557416469671,0.0697449555979353
2023Q4,slow_conflict_half,1,0.0160208161620137,0.0390764017728555
2023Q1,chop_half,1,0.0888793832380293,0.1062956147440531
2023Q2,chop_half,1,-0.0392799071684015,0.1140047960896986
2023Q3,chop_half,1,0.0438084806166343,0.0951532919612578
2023Q4,chop_half,1,0.0215912312370821,0.0505401333021649
2023Q1,slow_conflict_half_matched_constant,1,0.0708848617631595,0.1091909805593898
2023Q2,slow_conflict_half_matched_constant,1,-0.0372113263898121,0.0980921265855417
2023Q3,slow_conflict_half_matched_constant,1,0.0557609376488077,0.073556270840899
2023Q4,slow_conflict_half_matched_constant,1,0.0199263690950758,0.0406103806507726
2023Q1,chop_half_matched_constant,1,0.079066411941039,0.1210008193715512
2023Q2,chop_half_matched_constant,1,-0.0415067443006348,0.10877624443615
2023Q3,chop_half_matched_constant,1,0.0621967758280207,0.0816904666913124
2023Q4,chop_half_matched_constant,1,0.0222260526542498,0.0451904091838543
2023Q1,baseline,3,0.0181253482652063,0.1519666821425254
2023Q2,baseline,3,-0.1168357634180354,0.1506523469262348
2023Q3,baseline,3,-0.0092892025025969,0.1152130607887792
2023Q4,baseline,3,-0.0452348399116543,0.0651990945208297
2023Q1,constant_075,3,0.0135996851702662,0.116288258691233
2023Q2,constant_075,3,-0.0876207433084964,0.1152579467647106
2023Q3,constant_075,3,-0.0069604511118879,0.0877158235073591
2023Q4,constant_075,3,-0.033920287094184,0.0493038201605527
2023Q1,constant_050,3,0.0090702386709857,0.0791101013281702
