year,view,scope,cost_bps,policy,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
2025,2,cumulative,3,slow_conflict_half,0.0474693189860263,0.231885413171962,0.4478931869818853,0.4437730425879853,567,0.8305980054527192,5661.0,1.6987114595438402,0.2121105253588561
2025,2,cumulative,3,chop_half,-0.0014642730378409,-0.0073267306663498,0.5359425944366443,0.5313611900795303,571,0.935383484000574,6833.0,2.050443558111564,-0.0059908758251864
2025,2,cumulative,3,slow_conflict_half_matched_constant,0.0087564831438881,0.0435918374490418,0.4920945401346831,0.4862068058055301,572,0.8305980054527196,5674.747358791771,1.7028485031649885,0.0414454402416415
2025,2,cumulative,3,chop_half_matched_constant,0.0098544252716079,0.0490309353525229,0.5337094115061362,0.5276177219484429,572,0.9353834840005736,6390.654589155352,1.917734503136952,0.0413944851608958
2025,2,cumulative,5,baseline,-0.2312760196000277,-1.3151165353420102,0.7537136971491336,0.7500518803493217,1211,0.9999820634237336,6832.0,3.4177088892711307,-1.0154250693036346
2025,2,cumulative,5,constant_075,-0.1789763510531556,-0.986016824467994,0.650324155007255,0.646432154236835,1211,0.7499865475678003,5124.0,2.562961089914835,-1.015102192742341
2025,2,cumulative,5,constant_050,-0.1231559991340712,-0.6571309028909055,0.5035974215151606,0.4999208734832488,1211,0.4999910317118668,3416.0,1.7084270798554662,-1.0147794192545012
2025,2,cumulative,5,slow_conflict_half,-0.1649045630230515,-0.90104632440885,0.6379791616386148,0.6343255285181091,1211,0.8305980054527192,5661.0,2.8316431971246523,-0.8076753811867563
2025,2,cumulative,5,chop_half,-0.2404116881817828,-1.374893437237596,0.7528281624441012,0.7493219346971728,1211,0.935383484000574,6833.0,3.418010264682809,-1.1002125013831214
2025,2,cumulative,5,slow_conflict_half_matched_constant,-0.1962141811325167,-1.0921121986795104,0.6876895321211793,0.6838374771891702,1211,0.8305980054527196,5674.747358791771,2.8385525392935405,-1.0152062935487791
2025,2,cumulative,5,chop_half_matched_constant,-0.2180866928045407,-1.2300570247307654,0.7303623103205314,0.7266140909657776,1211,0.9353834840005736,6390.654589155352,3.19682246322024,-1.0153416284593677
2025,3,cumulative,0,baseline,0.5681173322300893,2.249378741785112,0.17492919632128,0.1554917060529471,144,0.9999820634237336,6728.0,0.0,1.8289735650557488
2025,3,cumulative,0,constant_075,0.4013090160965255,1.687034056338834,0.1342980127889466,0.1190465932641135,144,0.7499865475678003,5046.0,0.0,1.828973565055749
2025,3,cumulative,0,constant_050,0.2522449170310452,1.1246893708925558,0.0916659184646213,0.081028676210703,144,0.4999910317118668,3364.0,0.0,1.8289735650557488
2025,3,cumulative,0,slow_conflict_half,0.4993879140260721,2.0252848375708514,0.143733694217119,0.1224550232550308,87,0.8310195149949777,5573.0,0.0,1.8977524552066305
