rank,phase,bars,trading_days,pnl_log,mean_pnl_bps,long_log_pnl,short_log_pnl,negative_log_sum,positive_log_sum,joint_share,joint_log_pnl,slow_only_share,slow_only_log_pnl,chop_only_share,chop_only_log_pnl,neither_share,neither_log_pnl,overnight_gap_log_pnl
6,decline,660,15,-0.10954482071067774,-1.6597700107678446,-0.07565598261459891,-0.03388883809607884,-0.49688442570495683,0.3873396049942791,0.06212121212121212,-0.021191691468356068,0.31666666666666665,-0.04283728774843977,0.06060606060606061,-0.004625828330328301,0.5606060606060606,-0.04089001316355362,-0.018971330862436995
6,recovery,1096,24,0.11579280852395149,1.0565037274083167,0.02444495859112865,0.09134784993282283,-0.762020935832873,0.8778137443568245,0.028284671532846715,-0.003391154295773104,0.25364963503649635,0.042130659758463196,0.09306569343065693,0.006180183171318708,0.625,0.07087311988994269,0.06818321450877377
7,decline,1507,32,-0.10852410943951896,-0.7201334402091503,-0.09950474125418368,-0.009019368185335271,-0.9018253157836431,0.7933012063441243,0.08427339084273391,0.0055098139617770865,0.27670869276708693,-0.05556765571975896,0.1366954213669542,0.019054587207355693,0.5023224950232249,-0.07752085488889277,0.02120513640411706
7,recovery,2354,50,0.10916962738209844,0.4637622233734004,0.045270433370235556,0.06389919401186289,-1.2164681701290683,1.3256377975111668,0.06159728122344945,-0.01094171263146765,0.2901444350042481,0.06263589801501293,0.0637213254035684,0.012316883298940665,0.5845369583687341,0.0451585586996125,0.022755701313843593
8,decline,511,11,-0.09739057018873859,-1.9058819997796201,-0.004309637663273169,-0.09308093252546545,-0.7759019954900743,0.6785114253013356,0.07827788649706457,-0.023763084896007695,0.39921722113502933,-0.06931784762945775,0.12720156555772993,0.0186937936908865,0.3953033268101761,-0.02300343135415966,-0.023816679389364805
8,recovery,160,5,0.10861659055320258,6.7885369095751615,0.055844353217294494,0.05277223733590808,-0.16771814402621685,0.2763347345794194,0.01875,0.0058795110967608,0.375,0.04689272623914728,0.0,0.0,0.60625,0.055844353217294494,0.011027195054911999
9,decline,227,6,-0.09677250592490474,-4.263105987881266,-0.057915822663192396,-0.03885668326171236,-0.25626128790621694,0.15948878198131222,0.17180616740088106,-0.006359047884104256,0.23348017621145375,-0.010532797006633425,0.2555066079295154,-0.030779967613890187,0.3392070484581498,-0.0491006934202769,0.0211996489573979
9,recovery,1068,23,0.09745676036173964,0.9125164827878244,0.017611905087384756,0.07984485527435489,-0.8662990230230903,0.96375578338483,0.024344569288389514,0.012109759217894,0.28745318352059923,-0.0006578364409015949,0.06554307116104868,0.018352515575783802,0.6226591760299626,0.06765232200896341,0.0363660574112049
10,decline,383,9,-0.09639216541646267,-2.516766721056467,-0.054871851160500314,-0.04152031425596238,-0.6789228340158231,0.5825306685993605,0.10182767624020887,-0.009274688916067197,0.39425587467362927,-0.028266845353526773,0.08877284595300261,0.03964094323093845,0.4151436031331593,-0.09849157437780715,-0.0415791309919476
10,recovery,257,6,0.10124182830043466,3.9393707509896756,0.05334012301533532,0.04790170528509934,-0.27656196252505294,0.3778037908254876,0.0,0.0,0.377431906614786,0.029415211404948148,0.01556420233463035,0.0043704601639425,0.6070038910505836,0.06745615673154402,-0.0195758782438343
