a,b,c,year,start,peak,end,bars,sigma,net_log,capture,peak_fraction,time_mass_skew,motion_concentration,half_height_width,negative_area_share,amplitude,net_trend_normalized
1873,1874,1878,2021,2021-03-05 09:40:00,2021-03-05 09:45:00,2021-03-05 10:05:00,5,0.002158664331263294,-0.002697925606839845,-0.16040356963481986,0.2,0.48739454409489436,1.246144117329677,0.3333333333333333,0.22270558044794866,0.007076118337172588,-0.43222698663149967
1878,1891,1900,2021,2021-03-05 10:05:00,2021-03-05 11:10:00,2021-03-05 13:25:00,22,0.002300903645255733,-0.004399988421968181,-0.14780364123260295,0.5909090909090909,-0.3235710840709036,1.4182276331691548,0.30434782608695654,0.004224412047130455,0.012209186043715903,0.46373523095710006
1900,1909,1918,2021,2021-03-05 13:25:00,2021-03-05 14:10:00,2021-03-05 14:55:00,18,0.00244701205497688,-0.00878892897660436,-0.3678905205966179,0.5,0.20789654224031723,1.6423797087862346,0.42105263157894735,0.0023904900527763236,0.011758874713593492,0.45257457140916935
1918,1921,1973,2021,2021-03-05 14:55:00,2021-03-08 09:40:00,2021-03-09 10:00:00,55,0.0016284896183630768,0.07014349833200219,0.7100543133357844,0.05454545454545454,-0.536856456178211,2.2905196929672584,0.5178571428571429,0.0,0.08340701495487135,-0.9577112106080268
1973,1978,1982,2021,2021-03-09 10:00:00,2021-03-09 10:25:00,2021-03-09 10:45:00,9,0.004016641957163529,-0.016360582397253225,-0.3078845127964397,0.5555555555555556,0.20706014855093674,1.8572145590805278,0.6,0.0,0.02836335126739087,0.5319780052055852
1982,1991,2013,2021,2021-03-09 10:45:00,2021-03-09 11:30:00,2021-03-09 14:50:00,31,0.0042963298683699105,0.002261290104987171,0.03602145673204336,0.2903225806451613,0.1771544845458092,1.369109068432424,0.625,0.0,0.02786615065934761,-0.46090747171311935
2013,2019,2025,2021,2021-03-09 14:50:00,2021-03-10 09:50:00,2021-03-10 10:20:00,12,0.004406652226447678,-0.016731251388280993,-0.34370686996877425,0.5,0.3132594253671985,2.448146175346336,0.3076923076923077,0.026852079653795127,0.021188666025839353,0.0559505416519617
2025,2035,2048,2021,2021-03-10 10:20:00,2021-03-10 11:10:00,2021-03-10 13:45:00,23,0.003999602218998368,-0.012293126772591301,-0.34345457205386026,0.43478260869565216,0.15540871284189536,1.6709204181709822,0.4583333333333333,0.0,0.012331746193891213,0.06183513762696034
2048,2053,2063,2021,2021-03-10 13:45:00,2021-03-10 14:10:00,2021-03-10 15:00:00,15,0.003920887191146527,0.002463734125722647,0.14964405827529656,0.3333333333333333,0.2840624409239117,1.71098447123414,0.3125,0.03915424060659726,0.006418138439790333,-0.058129454358272103
2063,2081,2084,2021,2021-03-10 15:00:00,2021-03-11 11:00:00,2021-03-11 11:15:00,21,0.0021150885936273706,0.0007280585384368042,0.014471909826660878,0.8571428571428571,-0.12866054485650175,1.9247465158647332,0.5909090909090909,0.12730759312659648,0.024454362146300035,0.6604013673152148
2084,2090,2092,2021,2021-03-11 11:15:00,2021-03-11 13:15:00,2021-03-11 13:25:00,8,0.002716352314858211,-0.016080936909144604,-0.7033125970364081,0.75,0.4990790027201742,2.655893658971414,0.2222222222222222,0.18110566783201149,0.01689230694268673,0.47065023534572215
2092,2096,2104,2021,2021-03-11 13:25:00,2021-03-11 13:45:00,2021-03-11 14:25:00,12,0.00285113670266081,-0.006475435058359088,-0.44640536272712034,0.3333333333333333,0.04809315434896278,1.511890497652747,0.6153846153846154,0.0,0.008534090883538958,-0.5757871370245056
2104,2110,2119,2021,2021-03-11 14:25:00,2021-03-11 14:55:00,2021-03-12 10:10:00,15,0.0028602446954371433,-0.009488930755723674,-0.40666319438091136,0.4,0.032533914672480395,1.31918155067617,0.5625,0.0,0.012162354996462454,-0.30415809400565436
2119,2121,2126,2021,2021-03-12 10:10:00,2021-03-12 10:20:00,2021-03-12 10:45:00,7,0.002673664891299018,-0.000948687255504487,-0.07358818582760356,0.2857142857142857,1.0429064074840897,1.5174852254110816,0.375,0.0,0.006298117455660446,0.2331796983534414
2126,2136,2143,2021,2021-03-12 10:45:00,2021-03-12 13:05:00,2021-03-12 13:40:00,17,0.002619868711227724,-0.006169016547718104,-0.3435389774730572,0.5882352941176471,0.00454767179794542,1.6481299107303546,0.5555555555555556,0.017381454391555404,0.006750738278684665,0.2891716102770327
2143,2149,2164,2021,2021-03-12 13:40:00,2021-03-12 14:10:00,2021-03-15 09:55:00,21,0.0015703334085000059,0.008218468646861469,0.22214389201639348,0.2857142857142857,-0.1989765491633142,4.106018019625859,0.5454545454545454,0.0112120332199417,0.019642438567847975,-0.7618663357721968
2164,2167,2169,2021,2021-03-15 09:55:00,2021-03-15 10:10:00,2021-03-15 10:20:00,5,0.002804865196161889,-0.002668678492513625,-0.23511971856924826,0.6,0.43981717985252733,1.9188179960867855,0.3333333333333333,0.0,0.006643954102678151,0.30980092879035526
2169,2171,2199,2021,2021-03-15 10:20:00,2021-03-15 10:30:00,2021-03-15 14:20:00,30,0.002814871226127165,0.018897700987847304,0.507665014846279,0.06666666666666667,-0.06570641068338634,1.4472809173161105,0.3548387096774194,0.0,0.025080602266519314,-0.8408528144351779
2199,2211,2221,2021,2021-03-15 14:20:00,2021-03-16 09:50:00,2021-03-16 10:40:00,22,0.0020558932059567565,0.008898371081728956,0.18590108918541734,0.5454545454545454,-0.03838144273822738,1.5911030864877924,0.43478260869565216,0.0014345280875204074,0.014491169145261829,-0.056284657386918624
2221,2228,2231,2021,2021-03-16 10:40:00,2021-03-16 11:15:00,2021-03-16 11:30:00,10,0.0020508949254007046,-0.004563016294795168,-0.3412925825995104,0.7,-0.2324780743426101,1.6628092580488865,0.36363636363636365,0.0023738164428326242,0.00797935522943316,0.5606536810521888
2231,2238,2243,2021,2021-03-16 11:30:00,2021-03-16 13:35:00,2021-03-16 14:00:00,12,0.0020659283653790424,0.00022149393648370212,0.021714431516013297,0.5833333333333334,-0.48012520561508204,1.583198754001559,0.5384615384615384,0.039802580380865135,0.003514884510109617,0.18202754073954103
2243,2245,2248,2021,2021-03-16 14:00:00,2021-03-16 14:10:00,2021-03-16 14:25:00,5,0.002062705521960024,-0.0002625167164393165,-0.03869990353873474,0.4,1.0512012461020237,1.4368355864851257,0.16666666666666666,0.010750498280974623,0.004228301460865502,-0.33768202988672935
2248,2253,2254,2021,2021-03-16 14:25:00,2021-03-16 14:50:00,2021-03-16 14:55:00,6,0.001974674340281625,-0.0023839206662879375,-0.5455041115167726,0.8333333333333334,-0.4923721373005013,1.173156340901119,0.42857142857142855,0.0,0.0032874945064014227,0.5814474498706742
2254,2269,2277,2021,2021-03-16 14:55:00,2021-03-17 10:40:00,2021-03-17 11:20:00,23,0.001935095070779502,-0.00608559371043695,-0.15719078190458213,0.6521739130434783,0.17304200346282944,1.7780497944401055,0.625,0.050129566042123236,0.01569063016107375,0.37498889220974174
2277,2280,2283,2021,2021-03-17 11:20:00,2021-03-17 13:05:00,2021-03-17 13:20:00,6,0.001863413864489651,-0.0005609642227547783,-0.0721046025111877,0.5,0.24154644388816093,1.6007027850604498,0.5714285714285714,0.0,0.004252332787942237,0.5072235965074392
2283,2309,2317,2021,2021-03-17 13:20:00,2021-03-18 10:00:00,2021-03-18 10:40:00,34,0.0017489898837062263,0.005140246976558538,0.14622831632517486,0.7647058823529411,-1.0800960971372375,2.351507989554071,0.22857142857142856,0.005791652078703949,0.0163308105518416,0.5762876183155967
2317,2322,2341,2021,2021-03-18 10:40:00,2021-03-18 11:05:00,2021-03-18 14:10:00,24,0.0014184143079414783,-0.0017080699918853126,-0.09680443104203001,0.20833333333333334,0.2593472090728181,1.3712645351669293,0.56,0.018134243221603535,0.006131927669493109,-0.21160984990433915
2341,2347,2353,2021,2021-03-18 14:10:00,2021-03-18 14:40:00,2021-03-19 09:40:00,12,0.0014115591099680281,-0.011715203001892466,-0.5441938335245511,0.5,-0.4626003444672584,3.787384792596766,0.5384615384615384,0.17146120198424966,0.009622222971443328,-0.28367606567276965
2353,2355,2359,2021,2021-03-19 09:40:00,2021-03-19 09:50:00,2021-03-19 10:10:00,6,0.0017304445065442558,-0.0028383537151914487,-0.2481128227100603,0.3333333333333333,0.44421068739361236,1.4745335016372154,0.42857142857142855,0.13215236037109884,0.004399023784316114,-0.49135853006677027
2359,2368,2390,2021,2021-03-19 10:10:00,2021-03-19 10:55:00,2021-03-19 14:15:00,31,0.0018633630761439551,-0.0009909159740863068,-0.025809061996989673,0.2903225806451613,0.5816052528812476,1.5255009735115481,0.46875,0.0,0.014318466082015924,-0.5711592438655108
