quarter,policy,cost_bps,total_log_return,mdd
2024Q3,slow_conflict_half_matched_constant,3,0.10304865716801642,0.10492356699697848
2024Q4,slow_conflict_half_matched_constant,3,0.3089776450715147,0.08923083189357446
2024Q1,chop_half_matched_constant,3,0.33145372116557403,0.054073751455228816
2024Q2,chop_half_matched_constant,3,-0.03112811182305543,0.08836743932675414
2024Q3,chop_half_matched_constant,3,0.11597022990783723,0.11728130215266355
2024Q4,chop_half_matched_constant,3,0.3477269372335433,0.09984554896014697
2024Q1,baseline,5,0.29419989011171216,0.06616418149568323
2024Q2,baseline,5,-0.10420297234956727,0.14792281491331688
2024Q3,baseline,5,0.05657017035395457,0.13364346051859546
2024Q4,baseline,5,0.29962165289338866,0.12216872470140881
2024Q1,constant_075,5,0.22066418422527634,0.050043249083652284
2024Q2,constant_075,5,-0.07813561613359574,0.1131182366551101
2024Q3,constant_075,5,0.04244349001817764,0.10200280529981583
2024Q4,constant_075,5,0.2247333220960387,0.09309568796588133
2024Q1,constant_050,5,0.14711896407249533,0.03364541008489027
2024Q2,constant_050,5,-0.05207933903040765,0.07690124961082394
2024Q3,constant_050,5,0.028306231320477552,0.06921013932086556
2024Q4,constant_050,5,0.14983359921661765,0.06306435103130315
2024Q1,slow_conflict_half,5,0.2828436101405605,0.04425776978379796
2024Q2,slow_conflict_half,5,-0.0998565178192683,0.1514590877732778
2024Q3,slow_conflict_half,5,0.11331818944685114,0.09906622927070437
2024Q4,slow_conflict_half,5,0.2060886938479704,0.11690399977782008
2024Q1,chop_half,5,0.2603743971498159,0.07636737024312276
2024Q2,chop_half,5,-0.1285212012506692,0.163790664632797
2024Q3,chop_half,5,0.06782710625002333,0.12578628608637762
2024Q4,chop_half,5,0.28986501117120694,0.13062500835867533
2024Q1,slow_conflict_half_matched_constant,5,0.24405027967065065,0.055199665421624064
2024Q2,slow_conflict_half_matched_constant,5,-0.08642408506801978,0.12433693791854797
2024Q3,slow_conflict_half_matched_constant,5,0.046937057939778204,0.11218781114689799
2024Q4,slow_conflict_half_matched_constant,5,0.24854976897956577,0.10244364181352801
2024Q1,chop_half_matched_constant,5,0.2746520705670942,0.06190534717222302
2024Q2,chop_half_matched_constant,5,-0.0972721391647064,0.13880506084739816
2024Q3,chop_half_matched_constant,5,0.052815763124001006,0.12534221831369755
2024Q4,chop_half_matched_constant,5,0.2797144345432581,0.11453172282699409
