year,view,scenario,cost_bps,policy,alpha,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
2022,1,literal_publication,5,constant_050,0.5,-0.13940094356351426,-0.1501265549801843,0.1706135977432452,0.16475248727176423,242,0.5,128.0,0.06401600533533414,-1.0791234749642364
2022,1,literal_publication,5,matched_constant,0.8429838154269973,-0.22363074904584263,-0.2531270331158769,0.2705102772257954,0.2617982203444176,242,0.8429838154269973,215.8038567493113,0.10794743373961366,-1.0792021072009654
2022,2,legacy_on_minute,0,baseline,1.0,0.5083089631769658,0.41098913134350745,0.1745255727409463,0.15543134429358846,69,1.0,1320.0,0.0,1.5349859722923889
2022,2,legacy_on_minute,0,slow_conflict_half,1.0,0.4894590503499292,0.39841300058108287,0.14262487818917952,0.12504069379837415,140,0.8392648071625345,1099.0,0.0,1.7805952470845492
2022,2,legacy_on_minute,0,constant_075,0.75,0.36103011223804143,0.3082418485076306,0.1339804069802653,0.11899936866356096,69,0.75,990.0,0.0,1.5349859722923889
2022,2,legacy_on_minute,0,constant_050,0.5,0.22813230686964905,0.20549456567175373,0.09144376769566227,0.08099583477200085,69,0.5,660.0,0.0,1.5349859722923889
2022,2,legacy_on_minute,0,matched_constant,0.8392648071625345,0.41188926823062727,0.34492871406290626,0.14868108525379803,0.13218469847986034,69,0.8392648071625342,1107.8295454545455,0.0,1.534985972292389
2022,2,legacy_on_minute,1,baseline,1.0,0.32177552779881496,0.27897592958324346,0.21483418405674118,0.20224245355924303,140,1.0,1320.0,0.13201320176026404,1.0290952072437853
2022,2,legacy_on_minute,1,slow_conflict_half,1.0,0.3344297934313921,0.28850407958487145,0.1853063564918884,0.17809713930194462,140,0.8392648071625345,1099.0,0.10990892099621155,1.274348463036166
2022,2,legacy_on_minute,1,constant_075,0.75,0.23273394556113683,0.20923442276504733,0.16589324455176913,0.15588077738278364,140,0.75,990.0,0.09900742574258353,1.029107701707331
2022,2,legacy_on_minute,1,constant_050,0.5,0.14968876366221257,0.13949126545173707,0.11390253708182989,0.10682561457396007,140,0.5,660.0,0.06600330022001649,1.0291201953454863
2022,2,legacy_on_minute,1,matched_constant,0.8392648071625345,0.26381694197963257,0.23413646085339998,0.1837086055511092,0.1727359556788666,140,0.8392648071625342,1107.8295454545455,0.11079225320950632,1.0291032405385603
2022,2,legacy_on_minute,3,baseline,1.0,0.014981396548477242,0.014870283802113471,0.3226176663630767,0.31147899968981674,140,1.0,1320.0,0.39611884754139426,0.05351768697605663
2022,2,legacy_on_minute,3,slow_conflict_half,1.0,0.07104273612043008,0.06863269367644542,0.281416370939432,0.2747757709811546,140,0.8392648071625345,1099.0,0.32978030690463755,0.29614496218576525
2022,2,legacy_on_minute,3,constant_075,0.75,0.011237677046087748,0.011175003453362142,0.2533263733793311,0.24413664470597898,140,0.75,990.0,0.29706684505426845,0.0536247994134504
