year,view,scenario,cost_bps,cell,minutes,base_gross_log,base_net_log,slow_gross_log,slow_net_log
2022,0,delay_1m_observed,3,both,2660,-0.0842780484518908,-0.10528435097302533,-0.0421390242259454,-0.058492614043929844
2022,0,delay_1m_observed,5,neither,34405,0.3585023543926278,-0.030692275371366845,0.3585023543926278,0.02761080288390079
2022,0,delay_1m_observed,5,chop_only,4918,0.10662715476356244,0.05760263841796927,0.10662715476356244,0.06535942564723023
2022,0,delay_1m_observed,5,slow_only,16097,0.14354513981272277,-0.06756043057340284,0.07177256990636138,-0.09553792871974918
2022,0,delay_1m_observed,5,both,2660,-0.0842780484518908,-0.1192955601273145,-0.0421390242259454,-0.06939899792142784
2022,0,literal_publication,0,neither,36721,-0.09908696013386642,-0.09908696013386642,-0.09908696013386642,-0.09908696013386642
2022,0,literal_publication,0,chop_only,3360,0.08091229053625071,0.08091229053625071,0.08091229053625071,0.08091229053625071
2022,0,literal_publication,0,slow_only,15359,-0.1386390815886802,-0.1386390815886802,-0.0693195407943401,-0.0693195407943401
2022,0,literal_publication,0,both,2640,-0.0913736248708128,-0.0913736248708128,-0.0456868124354064,-0.0456868124354064
2022,0,literal_publication,1,neither,36721,-0.09908696013386642,-0.11488854034456472,-0.09908696013386642,-0.11268811776921796
2022,0,literal_publication,1,chop_only,3360,0.08091229053625071,0.0797121705202483,0.08091229053625071,0.07986219677487413
2022,0,literal_publication,1,slow_only,15359,-0.1386390815886802,-0.14603982168736174,-0.0693195407943401,-0.07536996458563636
2022,0,literal_publication,1,both,2640,-0.0913736248708128,-0.09277376488948227,-0.0456868124354064,-0.04683689369336562
2022,0,literal_publication,3,neither,36721,-0.09908696013386642,-0.14650118582442712,-0.09908696013386642,-0.13989738128934187
2022,0,literal_publication,3,chop_only,3360,0.08091229053625071,0.07731121010405623,0.08091229053625071,0.07776144647899771
2022,0,literal_publication,3,slow_only,15359,-0.1386390815886802,-0.1608457442538795,-0.0693195407943401,-0.08747335565958769
2022,0,literal_publication,3,both,2640,-0.0913736248708128,-0.09557488537503969,-0.0456868124354064,-0.049137543900353436
2022,0,literal_publication,5,neither,36721,-0.09908696013386642,-0.17812648648696564,-0.09908696013386642,-0.16711591456192226
2022,0,literal_publication,5,chop_only,3360,0.08091229053625071,0.0749092885347495,0.08091229053625071,0.07565994536338766
2022,0,literal_publication,5,slow_only,15359,-0.1386390815886802,-0.175657593931271,-0.0693195407943401,-0.09958013970867415
2022,0,literal_publication,5,both,2640,-0.0913736248708128,-0.09837712720589754,-0.0456868124354064,-0.051438844680754055
2022,1,legacy_on_minute,0,neither,34904,0.3421438369419052,0.3421438369419052,0.3421438369419052,0.3421438369419052
2022,1,legacy_on_minute,0,chop_only,4305,0.06759670917038374,0.06759670917038374,0.06759670917038374,0.06759670917038374
2022,1,legacy_on_minute,0,slow_only,16629,0.05766672406999174,0.05766672406999174,0.02883336203499587,0.02883336203499587
2022,1,legacy_on_minute,0,both,2242,-0.053641892206628405,-0.053641892206628405,-0.026820946103314203,-0.026820946103314203
2022,1,legacy_on_minute,1,neither,34904,0.3421438369419052,0.2669363159390881,0.3421438369419052,0.27838841006019577
2022,1,legacy_on_minute,1,chop_only,4305,0.06759670917038374,0.058595809050365724,0.06759670917038374,0.05999606159504034
2022,1,legacy_on_minute,1,slow_only,16629,0.05766672406999174,0.01626258351790892,0.02883336203499587,-0.004319019449655348
2022,1,legacy_on_minute,1,both,2242,-0.053641892206628405,-0.06004253229197454,-0.026820946103314203,-0.03172130863940158
2022,1,legacy_on_minute,3,neither,34904,0.3421438369419052,0.1164761298577171,0.3421438369419052,0.15084498363118115
2022,1,legacy_on_minute,3,chop_only,4305,0.06759670917038374,0.040588605928925076,0.06759670917038374,0.04479087963556758
2022,1,legacy_on_minute,3,slow_only,16629,0.05766672406999174,-0.06657055084071822,0.02883336203499587,-0.0706380755520073
2022,1,legacy_on_minute,3,both,2242,-0.053641892206628405,-0.0728476545116657,-0.026820946103314203,-0.04152420957789263
2022,1,legacy_on_minute,5,neither,34904,0.3421438369419052,-0.034044288485503484,0.3421438369419052,0.02325810168591662
2022,1,legacy_on_minute,5,chop_only,4305,0.06759670917038374,0.02257419415912472,0.06759670917038374,0.029580512247417597
2022,1,legacy_on_minute,5,slow_only,16629,0.05766672406999174,-0.14943684498179977,0.02883336203499587,-0.13697619855955398
2022,1,legacy_on_minute,5,both,2242,-0.053641892206628405,-0.08565790288130148,-0.026820946103314203,-0.05133001311626559
2022,1,delay_1m,0,neither,34904,0.32365140061633735,0.32365140061633735,0.32365140061633735,0.32365140061633735
2022,1,delay_1m,0,chop_only,4305,0.04377431154001332,0.04377431154001332,0.04377431154001332,0.04377431154001332
2022,1,delay_1m,0,slow_only,16629,0.019319086896421922,0.019319086896421922,0.009659543448210961,0.009659543448210961
2022,1,delay_1m,0,both,2242,-0.05574797945945953,-0.05574797945945953,-0.027873989729729765,-0.027873989729729765
2022,1,delay_1m,1,neither,34904,0.32365140061633735,0.24844387961352027,0.32365140061633735,0.2598959737346279
2022,1,delay_1m,1,chop_only,4305,0.04377431154001332,0.03477341141999531,0.04377431154001332,0.03617366396466993
2022,1,delay_1m,1,slow_only,16629,0.019319086896421922,-0.022085053655660877,0.009659543448210961,-0.02349283803644027
2022,1,delay_1m,1,both,2242,-0.05574797945945953,-0.06214861954480566,-0.027873989729729765,-0.03277435226581714
2022,1,delay_1m,3,neither,34904,0.32365140061633735,0.09798369353214928,0.32365140061633735,0.1323525473056133
2022,1,delay_1m,3,chop_only,4305,0.04377431154001332,0.016766208298554658,0.04377431154001332,0.020968482005197152
2022,1,delay_1m,3,slow_only,16629,0.019319086896421922,-0.10491818801428802,0.009659543448210961,-0.08981189413879223
2022,1,delay_1m,3,both,2242,-0.05574797945945953,-0.07495374176449682,-0.027873989729729765,-0.04257725320430819
2022,1,delay_1m,5,neither,34904,0.32365140061633735,-0.05253672481107132,0.32365140061633735,0.0047656653603488225
2022,1,delay_1m,5,chop_only,4305,0.04377431154001332,-0.0012482034712456985,0.04377431154001332,0.005758114617047186
2022,1,delay_1m,5,slow_only,16629,0.019319086896421922,-0.18778448215536955,0.009659543448210961,-0.1561500171463389
2022,1,delay_1m,5,both,2242,-0.05574797945945953,-0.08776399013413261,-0.027873989729729765,-0.05238305674268115
2022,1,delay_1m_observed,0,neither,34904,0.32365140061633735,0.32365140061633735,0.32365140061633735,0.32365140061633735
2022,1,delay_1m_observed,0,chop_only,4305,0.04377431154001332,0.04377431154001332,0.04377431154001332,0.04377431154001332
2022,1,delay_1m_observed,0,slow_only,16629,0.019319086896421922,0.019319086896421922,0.009659543448210961,0.009659543448210961
2022,1,delay_1m_observed,0,both,2242,-0.05574797945945953,-0.05574797945945953,-0.027873989729729765,-0.027873989729729765
2022,1,delay_1m_observed,1,neither,34904,0.32365140061633735,0.24844387961352027,0.32365140061633735,0.2598959737346279
2022,1,delay_1m_observed,1,chop_only,4305,0.04377431154001332,0.03477341141999531,0.04377431154001332,0.03617366396466993
2022,1,delay_1m_observed,1,slow_only,16629,0.019319086896421922,-0.022085053655660877,0.009659543448210961,-0.02349283803644027
2022,1,delay_1m_observed,1,both,2242,-0.05574797945945953,-0.06214861954480566,-0.027873989729729765,-0.03277435226581714
2022,1,delay_1m_observed,3,neither,34904,0.32365140061633735,0.09798369353214928,0.32365140061633735,0.1323525473056133
2022,1,delay_1m_observed,3,chop_only,4305,0.04377431154001332,0.016766208298554658,0.04377431154001332,0.020968482005197152
2022,1,delay_1m_observed,3,slow_only,16629,0.019319086896421922,-0.10491818801428802,0.009659543448210961,-0.08981189413879223
2022,1,delay_1m_observed,3,both,2242,-0.05574797945945953,-0.07495374176449682,-0.027873989729729765,-0.04257725320430819
2022,1,delay_1m_observed,5,neither,34904,0.32365140061633735,-0.05253672481107132,0.32365140061633735,0.0047656653603488225
2022,1,delay_1m_observed,5,chop_only,4305,0.04377431154001332,-0.0012482034712456985,0.04377431154001332,0.005758114617047186
2022,1,delay_1m_observed,5,slow_only,16629,0.019319086896421922,-0.18778448215536955,0.009659543448210961,-0.1561500171463389
