symbol,horizon,sampling,model,rows,log_sigma_rmse,median_absolute_factor_error,spearman,bucket_accuracy,balanced_accuracy,actual_high_share,high_precision,high_recall,predicted_high_time_share
000852.SH,15,nonoverlap,clock_only,6790,0.4796752795877778,1.3590400340427307,0.4173157411774938,0.6687776141384388,0.358756731923483,0.709278350515464,0.7400343642611684,0.8943106312292359,0.8571428571428571
000852.SH,30,dense,multiscale,87300,0.2818389165150881,1.2058538139328885,0.8207396427152694,0.7786483390607102,0.5688385660485792,0.7158533791523483,0.862160076000475,0.9294012225173617,0.7716838487972508
000852.SH,30,dense,persistence,87300,0.36626832299653983,1.2679679771030594,0.7239615554131266,0.7539747995418099,0.5510308011280105,0.7158533791523483,0.8430964519821038,0.9076231318206548,0.7706414662084765
000852.SH,30,dense,clock_only,87300,0.45593411791225075,1.3311234343193503,0.36960337874965554,0.6819816723940435,0.35937541113540755,0.7158533791523483,0.7461290958040581,0.9091112746823695,0.8722222222222222
000852.SH,30,nonoverlap,multiscale,2910,0.2930746209100533,1.2105304473775205,0.8206011302311509,0.8,0.5729060431298363,0.7604810996563574,0.8846987429562202,0.9222774514234071,0.7927835051546391
000852.SH,30,nonoverlap,persistence,2910,0.558579560937672,1.3459858047997957,0.43908640759539597,0.6941580756013745,0.5271469593161905,0.7604810996563574,0.8607968519429414,0.7907817442385902,0.6986254295532646
000852.SH,30,nonoverlap,clock_only,2910,0.4448411860521419,1.320857511859888,0.44257916746631676,0.7604810996563574,0.3333333333333333,0.7604810996563574,0.7604810996563574,1.0,1.0
000688.SH,5,dense,multiscale,111550,0.4631366002499675,1.328822870184371,0.754219873030231,0.6409054235768714,0.5561938770359126,0.5101568803227252,0.7496299950666009,0.8544317143459619,0.5814791573285523
000688.SH,5,dense,persistence,111550,0.5424943589395955,1.4013257385808324,0.6592944203248353,0.6051904975347377,0.5535000893893008,0.5101568803227252,0.7431625544765108,0.7611056441976524,0.5224742268041237
000688.SH,5,dense,clock_only,111550,0.6171925184232726,1.4889692859438395,0.40851226444583205,0.4830658897355446,0.39961033076897284,0.5101568803227252,0.6308114399733954,0.6666373796302805,0.5391304347826087
000688.SH,5,nonoverlap,multiscale,22310,0.4582652799656177,1.3259572526032348,0.7538072481343616,0.6480053787539221,0.5595099616466755,0.5176602420439265,0.7549663814180929,0.8555719109879644,0.58664276109368
000688.SH,5,nonoverlap,persistence,22310,0.5953616454527255,1.4128279560942056,0.6094263754993673,0.591304347826087,0.541915537282205,0.5176602420439265,0.7394108419034339,0.7346090570612174,0.5142985208426715
000688.SH,5,nonoverlap,clock_only,22310,0.6149722299117465,1.4928720075865405,0.40627495057882995,0.4898700134468848,0.39890742726225586,0.5176602420439265,0.6404948453608248,0.6724391722227032,0.5434782608695652
000688.SH,15,dense,multiscale,101850,0.3229310582733512,1.2284911135612744,0.8311505305331142,0.7101030927835051,0.6356733661463582,0.540952380952381,0.8234776304888153,0.8659249310294759,0.5688365243004418
000688.SH,15,dense,persistence,101850,0.38334153531228277,1.262949363215474,0.7659915513887612,0.6831516936671576,0.6175593771146352,0.540952380952381,0.7862326212275348,0.8416581966022941,0.5790868924889544
000688.SH,15,dense,clock_only,101850,0.5157275311364414,1.3975416292562186,0.4130572082569933,0.48714776632302403,0.40875624106487224,0.540952380952381,0.6915130688326565,0.6026390300566284,0.4714285714285714
000688.SH,15,nonoverlap,multiscale,6790,0.3169982302692771,1.2207753716848453,0.8387033035551444,0.7234167893961708,0.6415997176533558,0.5698085419734904,0.8467782851344495,0.8627552339105712,0.580559646539028
000688.SH,15,nonoverlap,persistence,6790,0.5060812552926294,1.2828125723656358,0.6224043547813162,0.6478645066273933,0.5921448010401641,0.5698085419734904,0.7878626563747672,0.7650555699147067,0.5533136966126657
000688.SH,15,nonoverlap,clock_only,6790,0.5102536290470898,1.3963704884893502,0.43123197410066355,0.525920471281296,0.4044850070333001,0.5698085419734904,0.6904639175257732,0.6924269837167226,0.5714285714285714
000688.SH,30,dense,multiscale,87300,0.2826866425880584,1.1989452856670322,0.8472510023203652,0.7321305841924398,0.6594649249589247,0.558098510882016,0.8434454698819093,0.8722343089364147,0.577147766323024
