trade,first_interval_index,last_interval_index,first_booking,last_booking,direction,bars,pnl_log,mfe_log,mae_log,giveback_log,losing_never_favorable,losing_after_favorable,boundary_clipped,exit_day,year,outcome,trading_day,day_index,stage
370,5454,5471,2021-07-01 13:21:00,2021-07-01 14:46:00,1,18,-0.0062681457460445535,0.0042156456361913449,-0.0062681457460445535,0.010483791382235898,False,True,False,2021-07-01,2021,-1,2021-07-01,118,23
371,5472,5489,2021-07-01 14:51:00,2021-07-02 10:51:00,-1,18,0.015029321350939156,0.027447091111189301,-0.0044063532808581423,0.012417769760250144,False,False,False,2021-07-02,2021,1,2021-07-02,119,23
372,5490,5502,2021-07-02 10:56:00,2021-07-02 13:31:00,1,13,-0.0063970236240329667,0.0024445957685452417,-0.0063970236240329667,0.008841619392578208,False,True,False,2021-07-02,2021,-1,2021-07-02,119,23
373,5503,5522,2021-07-02 13:36:00,2021-07-05 09:46:00,-1,20,-0.020874183120403757,0.0035131160945210608,-0.020874183120403757,0.024387299214924819,False,True,False,2021-07-05,2021,-1,2021-07-05,120,24
374,5523,5545,2021-07-05 09:51:00,2021-07-05 13:16:00,1,23,-0.010299238520152009,0.0003300644290333912,-0.010299238520152009,0.010629302949185401,False,True,False,2021-07-05,2021,-1,2021-07-05,120,24
375,5546,5554,2021-07-05 13:21:00,2021-07-05 14:01:00,-1,9,-0.005749770404645348,0.0020417866942050106,-0.005749770404645348,0.0077915570988503586,False,True,False,2021-07-05,2021,-1,2021-07-05,120,24
376,5555,5570,2021-07-05 14:06:00,2021-07-06 09:56:00,1,16,0.0005801740047148402,0.0077756147210738813,-0.0024327416723582728,0.0071954407163590407,False,False,False,2021-07-06,2021,1,2021-07-06,121,24
377,5571,5573,2021-07-06 10:01:00,2021-07-06 10:11:00,-1,3,-0.0045849033135988235,0,-0.0060494176388124644,0.0045849033135988235,True,False,False,2021-07-06,2021,-1,2021-07-06,121,24
378,5574,5580,2021-07-06 10:16:00,2021-07-06 10:46:00,1,7,-0.0070992953771723509,0.0043681737717145338,-0.0070992953771723509,0.011467469148886885,False,True,False,2021-07-06,2021,-1,2021-07-06,121,24
379,5581,5592,2021-07-06 10:51:00,2021-07-06 13:21:00,-1,12,0.017272811023187805,0.026009285312366459,0,0.0087364742891786543,False,False,False,2021-07-06,2021,1,2021-07-06,121,24
380,5593,5596,2021-07-06 13:26:00,2021-07-06 13:41:00,1,4,-0.006378337957361346,9.7511189486191964e-05,-0.006378337957361346,0.0064758491468475381,False,True,False,2021-07-06,2021,-1,2021-07-06,121,24
381,5597,5608,2021-07-06 13:46:00,2021-07-06 14:41:00,-1,12,0.00035991113855363219,0.01074826497211709,0,0.010388353833563457,False,False,False,2021-07-06,2021,1,2021-07-06,121,24
382,5609,5658,2021-07-06 14:46:00,2021-07-08 09:36:00,1,50,0.031960161804274516,0.031960161804274516,-0.0037442052889234429,0,False,False,False,2021-07-08,2021,1,2021-07-08,123,24
383,5659,5660,2021-07-08 09:41:00,2021-07-08 09:46:00,-1,2,-0.011533862458812529,0,-0.011533862458812529,0.011533862458812529,True,False,False,2021-07-08,2021,-1,2021-07-08,123,24
