horizon,endpoint,c_decile,m3_decile,n,target_mean,sigma_mean,tail_rate
30,log_future_sigma,7,6,321,-6.531825853630083,0.0015458481692524405,0.028037383177570093
30,log_future_sigma,7,7,306,-6.475571273270169,0.0016526200411859128,0.03594771241830065
30,log_future_sigma,7,8,309,-6.440156124566873,0.0017169002965015914,0.038834951456310676
30,log_future_sigma,7,9,355,-6.396198422469361,0.0018034038668930837,0.04225352112676056
30,log_future_sigma,8,0,49,-6.589943707104551,0.001478726001625788,0.061224489795918366
30,log_future_sigma,8,1,110,-6.536204590820339,0.00154453363799364,0.01818181818181818
30,log_future_sigma,8,2,119,-6.546486506160009,0.0015199522042540672,0.008403361344537815
30,log_future_sigma,8,3,171,-6.4941544520352394,0.001618856285813676,0.03508771929824561
30,log_future_sigma,8,4,240,-6.487925639606954,0.0016287044668236081,0.05416666666666667
30,log_future_sigma,8,5,260,-6.455751901326463,0.0016759132533565276,0.046153846153846156
30,log_future_sigma,8,6,306,-6.431075013466432,0.001718006281625985,0.0196078431372549
30,log_future_sigma,8,7,350,-6.3585207992209,0.001841841618131007,0.04
30,log_future_sigma,8,8,395,-6.338790827718561,0.001889727798092522,0.03291139240506329
30,log_future_sigma,8,9,413,-6.269238628830848,0.0020691609941052218,0.03631961259079903
30,log_future_sigma,9,0,33,-6.4685199204731365,0.0018400106632728138,0.030303030303030304
30,log_future_sigma,9,1,55,-6.389840222326047,0.0020135588475894434,0.05454545454545454
30,log_future_sigma,9,2,68,-6.373709367174249,0.001853471148401507,0.07352941176470588
30,log_future_sigma,9,3,126,-6.332222668915408,0.0019096478445216006,0.03968253968253968
30,log_future_sigma,9,4,150,-6.231463604493673,0.002141867275223925,0.06666666666666667
30,log_future_sigma,9,5,219,-6.2506092835174725,0.0020773823962409693,0.0319634703196347
30,log_future_sigma,9,6,293,-6.238314820135488,0.002094530163060866,0.023890784982935155
30,log_future_sigma,9,7,349,-6.208931329924736,0.0021617679248353396,0.017191977077363897
30,log_future_sigma,9,8,450,-6.150414332523755,0.002323643343407468,0.035555555555555556
30,log_future_sigma,9,9,671,-6.073812637542848,0.002507610582291465,0.02384500745156483
30,future_tail,0,0,358,0.00558659217877095,0.0008167952344809851,0.00558659217877095
30,future_tail,0,1,424,0.01650943396226415,0.001030479388309917,0.01650943396226415
30,future_tail,0,2,534,0.00749063670411985,0.001081068317779881,0.00749063670411985
30,future_tail,0,3,567,0.007054673721340388,0.001253661551312227,0.007054673721340388
30,future_tail,0,4,650,0.02,0.0013422399479111843,0.02
30,future_tail,0,5,701,0.017118402282453638,0.001435274538113775,0.017118402282453638
30,future_tail,0,6,760,0.009210526315789473,0.001484226361802785,0.009210526315789473
30,future_tail,0,7,914,0.024070021881838075,0.0016324334442554065,0.024070021881838075
30,future_tail,0,8,1063,0.016933207902163686,0.0017368219377744203,0.016933207902163686
30,future_tail,0,9,1269,0.019700551615445233,0.0020870933112839937,0.019700551615445233
30,future_tail,1,0,202,0.019801980198019802,0.0008552086064498416,0.019801980198019802
30,future_tail,1,1,223,0.02242152466367713,0.0009541433276475215,0.02242152466367713
30,future_tail,1,2,232,0.01293103448275862,0.0010465957347960226,0.01293103448275862
30,future_tail,1,3,245,0.00816326530612245,0.00108843845476834,0.00816326530612245
30,future_tail,1,4,262,0.015267175572519083,0.0012156611381603439,0.015267175572519083
30,future_tail,1,5,243,0.03292181069958848,0.0012928062810337497,0.03292181069958848
30,future_tail,1,6,259,0.03088803088803089,0.0014221124766746205,0.03088803088803089
30,future_tail,1,7,247,0.024291497975708502,0.0015094957914560453,0.024291497975708502
30,future_tail,1,8,251,0.027888446215139442,0.001608165922540149,0.027888446215139442
30,future_tail,1,9,250,0.036,0.00181047237991667,0.036
30,future_tail,2,0,215,0.004651162790697674,0.0008442393243849504,0.004651162790697674
30,future_tail,2,1,242,0.02066115702479339,0.0009723461111193222,0.02066115702479339
30,future_tail,2,2,238,0.02100840336134454,0.0010547736033298459,0.02100840336134454
30,future_tail,2,3,245,0.004081632653061225,0.0010384647608531158,0.004081632653061225
30,future_tail,2,4,262,0.011450381679389313,0.0011926617581572636,0.011450381679389313
30,future_tail,2,5,260,0.019230769230769232,0.001246685191524764,0.019230769230769232
30,future_tail,2,6,276,0.021739130434782608,0.0013498072829418578,0.021739130434782608
