year,feature,high_a,low_a,year_cycles,high_feature,low_feature,high_bars,low_bars,high_amplitude,low_amplitude,delta_net_log,delta_capture
2021,time_mass_skew,8260,3193,639,0.8874583210854453,-1.140293408168576,16,17,0.006802452574061313,0.005585581417013152,-0.006011583804726153,-0.3884540559822559
2021,time_mass_skew,8593,5180,639,0.5485410062083435,-0.21935795824035428,16,19,0.019638730102178314,0.01954996624451777,-0.013938228446091737,-0.3849404795023614
2021,time_mass_skew,8684,6395,639,0.6950618576955985,-0.4761475625668464,35,34,0.018311444092745432,0.018392422204023262,-0.020007643864474248,-0.5238914735235335
2021,time_mass_skew,8941,1698,639,0.3786379792502659,-0.4295341372746312,12,11,0.005761947786996124,0.006863088457629729,-0.004948343995989559,-0.6152589059070961
2021,time_mass_skew,9115,3775,639,0.5310030277665074,-0.39645589305329165,17,18,0.00998849065962304,0.011494989521105836,0.016748447133808464,0.5930377881835661
2021,time_mass_skew,9171,1046,639,0.4006331489433425,-0.20837618091963844,20,20,0.013780119566219717,0.01211425113049902,-0.007827588154033449,-0.31795765785896335
2021,time_mass_skew,9542,9099,639,0.5285941416206861,-0.2279233042744626,7,8,0.0022521651965448086,0.00264848488903624,-0.0006998955218004745,-0.15089965325749202
2021,time_mass_skew,9698,10339,639,0.40648160121138005,-0.311240119786667,6,6,0.0033175049920437516,0.0035316756102137248,0.006172668022388429,0.9988063310137313
2021,time_mass_skew,9958,2800,639,0.4272621629956548,-0.3875594463414052,4,4,0.002386478226284794,0.002718466689702659,0.0026155400580298123,0.6484812232716666
2021,time_mass_skew,10589,10332,639,0.576839640740369,-0.24521652852488782,6,7,0.002446736615808298,0.002762927216060085,-0.00042630975519814354,0.010370168311642253
2021,time_mass_skew,10629,9373,639,0.5820890394482299,-0.9979510174229175,5,5,0.0019454105965053259,0.002049745601562236,-0.00012614277680179106,-0.03134691662232825
2021,time_mass_skew,10792,5378,639,0.6631398423839971,-0.5150038089911176,14,15,0.01921792074109252,0.021627467580498383,0.01385316427058438,0.49662202489252366
2021,time_mass_skew,11282,6315,639,0.40815553458846104,-1.0464602235374698,14,16,0.007382673821933139,0.00710309667967568,0.0004216343274050056,0.07975055620834937
2021,time_mass_skew,11328,4754,639,0.39374064428382605,-0.5622468460452943,10,10,0.008413725682141937,0.009507652035707359,-0.0012178956002933117,-0.24413809638411532
2021,time_mass_skew,11393,3342,639,0.4557324527242125,-0.23222406935645784,20,20,0.004560683680844946,0.003931337785155975,0.0026146006143543303,0.16014586203599532
2021,motion_concentration,86,6212,639,1.9380421989209218,1.3551192427121435,17,17,0.011007865817658669,0.009681296579912235,0.0024734076260052506,0.135604934563009
2021,motion_concentration,289,5262,639,2.3225242031520277,1.294863464602745,19,17,0.012644226036782946,0.013905720439437275,0.004615199396016186,0.10587382206385626
2021,motion_concentration,429,5959,639,1.9436468297586962,1.2676216522583126,16,15,0.011854464620165928,0.01263515076500532,0.0018118459696867088,0.08710167137000357
2021,motion_concentration,802,768,639,2.0273545071134778,1.1870640525261098,22,18,0.02677742921784887,0.024023044547687,0.015304873670665424,0.30249734230440983
2021,motion_concentration,1008,9549,639,1.9889433521416673,1.3023897972724112,18,15,0.012213335033946393,0.01220261031012182,0.0024544375046725853,0.10674404491770922
2021,motion_concentration,1368,2169,639,2.5595490108243917,1.4472809173161105,34,30,0.023635878992949166,0.025080602266519314,-0.00047081352462058704,-0.06994530859249193
2021,motion_concentration,1595,9751,639,1.9644392407397173,1.3839781571409144,10,10,0.0068572538132922745,0.0069253200973102835,-0.0033789414876318332,-0.37617653301662
2021,motion_concentration,1605,8837,639,4.655201179542208,1.39646389617824,29,34,0.026395736437943462,0.02672754851134318,0.000721934098478174,-0.07384237559486478
2021,motion_concentration,1675,1259,639,2.7400891968937438,1.382695420986107,23,22,0.01811360687933572,0.01450191498191078,-0.0183838771370291,-0.6581844682784042
