view,family,period_days,period_bars,positive_years,median_annual_logret,dev_pooled_logret,flip_rate,logret_2021,logret_2022,logret_2023,logret_2024,logret_2025,logret_2026
30m_offset_15,sma_lp,10,80,5,0.20417855835589688,1.2469417830162108,0.03761011971990061,0.1883087924812375,0.20417855835589688,0.07786496124158306,0.39482307286234586,0.3817663980751475,0.3538294610767045
5m_offset_0,sma_lp,5,240,5,0.1996843077937821,1.3310536935882475,0.022428930355983402,0.10582720165766166,0.1996843077937821,0.26892999371685544,0.5882245729454132,0.16838761747453512,0.4114638581526764
30m_offset_15,butter_bp_n1,3,24,5,0.1984857173414591,1.4251888801964852,0.1254800090354642,0.38027827800000524,0.11082714787864015,0.1984857173414591,0.5730568318489236,0.16254090512745709,0.04127633406296316
60m_offset_30,ema_lp,5,20,5,0.1947028394642925,0.9292550340310101,0.10983050847457627,0.03753637746176011,0.30328410983054566,0.1204002888232385,0.27333141845117326,0.1947028394642925,0.5530636397045401
5m_offset_0,butter_bp_n1,10,480,5,0.19469889692901268,1.3202436226823475,0.025068458346272197,0.25852478166613324,0.19469889692901268,0.13341943796879968,0.6369367222504239,0.096663783867978,0.0591710838924471
15m_offset_5,butter_bp_n1,8,128,5,0.18633594758959224,1.2808222842576833,0.05043074242570903,0.18633594758959224,0.21436357626121771,0.11170975706189075,0.6331601460352443,0.13525285730973824,-0.039469137505967755
60m_offset_30,ema_lp,6,24,5,0.1751574517141945,0.7886594519337127,0.1023728813559322,0.00618814857210237,0.29733810020936147,0.027146679269518192,0.2828290721685362,0.1751574517141945,0.5241361797872355
5m_offset_0,butter_bp_n1,8,384,5,0.16630617938942,1.6870648724323447,0.028300821500155265,0.36479757758710507,0.09322675197734671,0.09599448004053845,0.9667398834379344,0.16630617938942,0.088910462353647
30m_offset_15,butter_lp_n2,8,64,5,0.1390063831976729,0.8164279600846993,0.028009939010616672,0.06186029890270184,0.3690670138989437,0.1390063831976729,0.03383256075108451,0.21266170333429638,0.39474261022667123
60m_offset_30,ema_lp,4,16,5,0.13659755475937602,0.519890409990695,0.12338983050847457,0.04370263249183792,0.15306717305535678,0.1447657416015723,0.13659755475937602,0.041757308082552014,0.5179609100423006
30m_offset_15,ema_lp,10,80,5,0.13475837695711407,1.214780497485212,0.05263157894736842,0.2728742735649535,0.13475837695711407,0.11460316124352089,0.6340911171895453,0.05845356853007841,0.5297283740399202
15m_offset_5,butter_lp_n2,4,64,5,0.1224329554606127,1.5680511865687599,0.027102894201916562,0.025644677949494613,0.6102851498894064,0.1224329554606127,0.7110052471225405,0.09868315614670553,-0.08732325942506408
5m_offset_0,sma_lp,8,384,5,0.0740594018813178,0.570794442528395,0.01871665302204782,0.0740594018813178,0.1846848304342797,0.007820869240228599,0.2696388020375819,0.03459053893498701,0.710592995663693
5m_offset_0,butter_bp_n1,2,96,4,0.5024792259153589,1.8716736972379464,0.0577308528357282,0.6000445547255814,-0.02705009576818132,0.23791302994058988,0.5582869824245976,0.5024792259153589,0.17870700099112408
30m_offset_15,butter_lp_n2,5,40,4,0.42668404922013603,1.0228106391383924,0.04427377456516828,-0.38801135715813656,0.43106377055968614,0.12270399139975877,0.430370185116948,0.42668404922013603,0.22273091060377498
15m_offset_5,butter_bp_n1,4,64,4,0.3967184545349186,1.6608332007113018,0.07167747555899719,0.3969708802670334,-0.01955912777914845,0.029856719456287713,0.8568462742322105,0.3967184545349186,0.2688405265462423
30m_offset_15,sma_lp,2,16,4,0.3744043161687187,1.7296549176017226,0.10300429184549356,-0.10614049574395973,0.5799882070196098,0.15098494671692964,0.7304179434404241,0.3744043161687187,0.0012989392337132838
15m_offset_5,butter_bp_n1,5,80,4,0.3355891253084713,1.703958405659499,0.06524053818604202,0.5403009837762895,-0.09195679598487916,0.13691263098258843,0.7831124615770287,0.3355891253084713,0.12645312992943047
5m_offset_0,butter_lp_n2,6,288,4,0.31972154171527256,1.2864898917607654,0.006577647291307907,-0.24240731224453593,0.48961908731309667,0.17204516456406782,0.5475114104128643,0.31972154171527256,0.21801067486380837
5m_offset_0,butter_lp_n2,8,384,4,0.26961464855288947,0.930644474455799,0.0047426813087542,-0.21603784141424334,0.41894500080263575,0.13391305357684513,0.26961464855288947,0.324209612937672,0.16461117737760603
30m_offset_15,butter_bp_n1,2,16,4,0.2566220931454495,1.841492017031782,0.15394172125592953,0.49892428340532624,-0.02882283671220061,0.2566220931454495,0.9050432937749239,0.20972518341828283,-0.06241131054622373
30m_offset_15,butter_lp_n2,6,48,4,0.24263569309266025,1.0121683412492528,0.03478653715834651,-0.23973644968270463,0.39394558978506866,0.10667284677185943,0.24263569309266025,0.5086506612823691,0.17737062483991212
30m_offset_15,butter_bp_n1,10,80,4,0.23850807218637732,1.108046545721987,0.06370002258866049,-0.004500262071550243,0.37105426149956566,0.23850807218637732,0.4329861733520472,0.06999830075554705,0.10609037696368794
