view,family,period_days,period_bars,positive_years,median_annual_logret,dev_pooled_logret,flip_rate,logret_2021,logret_2022,logret_2023,logret_2024,logret_2025,logret_2026
5m_offset_0,butter_lp_n2,5,240,4,0.23543580603593472,1.6181487937768002,0.007481015159642041,-0.02292947334479243,0.4742833194409967,0.19194386574439548,0.7394152759002658,0.23543580603593472,0.03149848563621732
30m_offset_15,sma_lp,4,32,4,0.23032985249398363,1.0156791058585177,0.06957307431669302,-0.019806252677092684,0.23032985249398363,0.3657979229495914,0.3055278291931266,0.1338297538989087,0.28634104468908644
15m_offset_5,sma_lp,8,128,4,0.22654935192664535,1.165312133716584,0.03262026909302101,0.22654935192664535,0.4894362983827416,0.09069370686270548,0.4262326761347567,-0.06759989959026519,0.6053733548823292
60m_offset_30,sma_lp,5,20,4,0.2249906966793344,1.1590174468688677,0.08,0.2249906966793344,0.5444412310562767,0.08560714731618302,0.3152759499795251,-0.011297578162451583,0.6516375844847654
15m_offset_5,butter_lp_n2,10,160,4,0.2222285886798199,0.9931446561772631,0.010937953731487756,-0.044730717073148546,0.35374868657410996,0.179546358414637,0.2823517395818448,0.2222285886798199,0.3947873877049245
15m_offset_5,butter_lp_n2,6,96,4,0.20188954236415807,0.9998626167173907,0.01848804568773594,-0.2236219272103372,0.4248451313553341,0.16665087661707068,0.4300989935911651,0.20188954236415807,0.15942696362967987
60m_offset_30,sma_lp,6,24,4,0.19817798307956733,0.7938329517136464,0.07220338983050847,0.2018412037981588,0.28111858458906636,0.12978012641388673,0.19817798307956733,-0.01708494616703274,0.5004284878364166
30m_offset_15,butter_bp_n1,8,64,4,0.1959294812138654,0.9042595310975149,0.07454257962502824,-0.04197394679986018,0.1959294812138654,0.23705397510746973,0.4128151428198512,0.10043487875618874,-0.10185712345551859
60m_offset_30,sma_lp,8,32,4,0.18897438433803804,1.0955816344637397,0.06542372881355932,0.08840106965971843,0.3513740423644117,-0.06733771779627094,0.18897438433803804,0.5341698558978425,0.23467972516732677
15m_offset_5,butter_lp_n2,5,80,4,0.18211771643268215,1.1326759241709345,0.022843867970186817,-0.24857080852287708,0.46750616112359344,0.15425980468077632,0.5773630504567597,0.18211771643268215,-0.021309725268703908
60m_offset_30,sma_lp,2,8,4,0.17931878441189164,0.7356715487633753,0.13457627118644067,-0.042733720125827324,0.17931878441189164,0.10004341848975665,0.20632129995038687,0.29272176603716743,0.3525980303613637
15m_offset_5,sma_lp,5,80,4,0.1739656821923241,0.5052134706125195,0.04128351563256219,-0.16937760568443988,0.1739656821923241,0.24860372800775046,0.20875735663214012,0.04326430946474477,0.4379914657120022
15m_offset_5,butter_lp_n2,8,128,4,0.16993412604543565,0.6218659676118702,0.014035427354563933,-0.23243077863962225,0.3264257369902658,0.16993412604543565,0.03214952876393336,0.3257873544518577,0.2742082552324973
30m_offset_15,butter_lp_n2,4,32,4,0.16460531469270484,0.9745068087307136,0.05240569234244409,-0.33492197571991966,0.5153079176749731,0.08716585123001146,0.5423497008529439,0.16460531469270484,0.034041271619429644
60m_offset_30,ema_lp,8,32,4,0.1568124772464283,0.9234214871626698,0.08711864406779661,0.026394424361399965,0.3428185581162272,-0.01800699730268817,0.4154030247413025,0.1568124772464283,0.5372891002003896
15m_offset_5,sma_lp,10,160,4,0.15020998881844233,0.9511202646286806,0.02797405865840674,0.15020998881844233,0.3325977406025434,0.049497905157451144,0.43402354108316393,-0.015208911032920186,0.6275127986332432
30m_offset_15,butter_lp_n2,3,24,4,0.14430837167055627,1.3221749772752198,0.06641066184775243,-0.06472182137594745,0.6657232450572895,0.08829182222185367,0.48857335970146787,0.14430837167055627,-0.015115213381762777
5m_offset_0,butter_lp_n2,10,480,4,0.1420443963225244,0.4042766166968355,0.004065155407503599,-0.24736224877251278,0.3170094698918664,0.18211410246955317,0.01047089678540429,0.1420443963225244,0.3607651215710279
15m_offset_5,sma_lp,6,96,4,0.1288447152101087,0.6079886484157679,0.0397347788210241,-0.09059178319517579,0.25370162751969594,0.1288447152101087,0.061093636618829605,0.2549404522623095,0.28924030213247287
60m_offset_30,ema_lp,2,8,4,0.1283512156146559,0.6195875491969023,0.18372881355932202,-0.2844714700775451,0.37825087369406313,0.12704547346843703,0.27041145649729126,0.1283512156146559,0.24202287365340197
30m_offset_15,sma_lp,5,40,4,0.12812491459715664,0.5415637237403435,0.06166704314434154,-0.08075271054348448,0.17147912548350053,0.12812491459715664,0.12232768833068405,0.20038470587248666,0.41216340948776453
5m_offset_0,sma_lp,10,480,4,0.11673684946569562,1.0846263136513092,0.015724246958191006,0.29758485561339737,0.592719786233217,0.08699860055916231,0.11673684946569562,-0.009413778220163052,0.7879143180755793
15m_offset_5,sma_lp,2,32,4,0.11163316316678229,1.7085766171561132,0.06809602168231536,-0.010498977775519319,0.617623200449152,0.10208395037636837,0.8877352809393299,0.11163316316678229,-0.004752351179558217
60m_offset_30,ema_lp,3,12,4,0.10898225352342523,0.4113152064121139,0.14440677966101695,-0.2615829187141787,0.23563290860037228,0.10898225352342523,0.24862018657179003,0.07966277643070505,0.3771407601511016
5m_offset_0,sma_lp,2,96,4,0.100151728203908,1.452153216176627,0.03703808260169946,0.100151728203908,0.3883860486994316,0.09282759309914623,0.9073035663684919,-0.036515720194350676,-0.07547471550553696
5m_offset_0,sma_lp,6,288,4,0.09865288878123366,0.44654738752215933,0.020833921463455946,-0.1560882279657909,0.23701054539877892,0.18903156466200194,0.09865288878123366,0.07794061664593571,0.16816199656326572
60m_offset_30,butter_lp_n1,5,20,4,0.09042713576342999,0.28828045525010754,0.15254237288135594,-0.357411553502105,0.3895330837750459,0.0956910516300768,0.07004073758365986,0.09042713576342999,0.30394408180018684
60m_offset_30,butter_lp_n1,8,32,4,0.06917509942195993,0.23126576315413136,0.11898305084745762,-0.2619727311840261,0.2718096232240518,0.10687565557667408,0.04537811611547166,0.06917509942195993,0.37009098152067
60m_offset_30,sma_lp,10,40,4,0.055243389528137704,0.593220804552152,0.05864406779661017,-0.1965257259320491,0.28119236715898926,0.055243389528137704,0.024931915473213218,0.42837885832386086,0.0064959326159838016
15m_offset_5,butter_bp_n1,6,96,4,0.045510735726856044,1.336799463219733,0.058561610686284,0.455997733157689,0.045510735726856044,0.023403564589175176,0.8281368803216075,-0.01624945057559464,-0.205743655060226
