quarter,gross_log,net_log,turnover_sides,policy
2022Q1,0.013152768661746975,-0.004448991572954887,88,BC
2022Q2,0.22765985901803373,0.21485857884734147,64,BC
2022Q3,-0.01929024260793243,-0.04009232288530737,104,BC
2022Q4,0.1767645502742266,0.16556343012487088,56,BC
2023Q1,-0.07001800490332057,-0.09522052523937097,126,BC
2023Q2,0.19281473365911284,0.18041349349375468,62,BC
2023Q3,0.15847964576851145,0.1456783655978192,64,BC
2023Q4,0.014501280640433798,-0.0015003195729315403,80,BC
2024Q1,0.22431127983688348,0.21150999966619122,64,BC
2024Q2,0.0070808213992715014,-0.012121098856766904,96,BC
2024Q3,0.39465466774083724,0.3814533475648108,66,BC
2024Q4,0.04761122337832032,0.033209783186291524,72,BC
2025Q1,0.07530641429020317,0.0637052541355133,58,BC
2025Q2,0.06983860623452297,0.05743736606916484,62,BC
2025Q3,0.16959364842425062,0.14959164815754397,100,BC
2025Q4,-0.07380328751352899,-0.09220512775889914,92,BC
2021Q1,0.12483634698766119,0.11083494680096652,70,ABC
2021Q2,0.14662915252712821,0.1298274723030946,84,ABC
2021Q3,-0.03850460359976692,-0.05490624381846639,82,ABC
2021Q4,0.05598216482435459,0.042380804642994055,68,ABC
2022Q1,0.031532668239960954,0.020331548090605212,56,ABC
2022Q2,0.23013947627866196,0.2197384361399745,52,ABC
2022Q3,-0.022993458695358245,-0.03859501890338945,78,ABC
2022Q4,0.15242470771446395,0.14322378759177887,46,ABC
2023Q1,-0.052053940469871565,-0.0692556606992393,86,ABC
2023Q2,0.16589952236014047,0.155498482221453,52,ABC
2023Q3,0.18773265113987972,0.17733161100119224,52,ABC
2023Q4,-0.019279291665348423,-0.0320805718360407,64,ABC
2024Q1,0.22691383050064062,0.21651279036195314,52,ABC
2024Q2,0.005266491630986525,-0.008334868550374016,68,ABC
2024Q3,0.3351523580472954,0.32635147792994446,44,ABC
2024Q4,0.014756992275980579,0.0027557921159565846,60,ABC
2025Q1,0.12156379875952487,0.11356299865284221,40,ABC
2025Q2,0.06831379532739999,0.05951291521004907,44,ABC
2025Q3,0.14037497412069652,0.12637357393400186,70,ABC
2025Q4,-0.0847271354770759,-0.09772843565043524,65,ABC
2021Q1,0.05710141011746253,0.05030073002678225,34,channel_only
2021Q2,0.15943835495769634,0.15223763486168193,36,channel_only
2021Q3,-0.08957686426882101,-0.09877778439150608,46,channel_only
2021Q4,0.04933958205127261,0.042138861955258206,36,channel_only
2022Q1,0.009003763409436675,0.002003063316089336,35,channel_only
2022Q2,0.24552016141951344,0.23931954133683436,31,channel_only
2022Q3,-0.054363555420505215,-0.06276439553252201,42,channel_only
2022Q4,0.12339513474729086,0.11819461467794712,26,channel_only
2023Q1,-0.07744099863203209,-0.08624187874938304,44,channel_only
2023Q2,0.1636797938535484,0.15847927378420465,26,channel_only
2023Q3,0.09133154011686968,0.08533094003685769,30,channel_only
2023Q4,-5.253060892659216e-05,-0.006853210699606866,34,channel_only
2024Q1,0.22674114638131462,0.22114058630663677,28,channel_only
2024Q2,0.0012346052413804575,-0.007166234870636347,42,channel_only
2024Q3,0.3082104914772209,0.30260993140254305,28,channel_only
2024Q4,0.02907351942382405,0.021872799327809646,36,channel_only
2025Q1,0.06184496663472529,0.055444326549379155,32,channel_only
2025Q2,0.08879902784364833,0.08439858778497288,22,channel_only
2025Q3,0.17471001323479712,0.16710925313344857,38,channel_only
2025Q4,-0.06038990301301249,-0.06739060310635982,35,channel_only
