day,year,slot,q,high
2022-03-01,2022,0,1.884223764878716,True
2022-03-01,2022,1,1.6568315662567554,False
2022-03-01,2022,2,2.56115242560503,True
2022-03-01,2022,3,1.5295823255105117,False
2022-03-02,2022,0,2.160913224642511,True
2022-03-02,2022,1,1.65594425465212,False
2022-03-02,2022,2,1.3443038697286225,False
2022-03-02,2022,3,2.264873995734411,True
2022-03-03,2022,0,1.535370057684674,False
2022-03-03,2022,1,1.3236692871361275,False
2022-03-03,2022,2,1.504064217884224,False
2022-03-03,2022,3,1.7839459417355499,True
2022-03-04,2022,0,1.4667144340743008,False
2022-03-04,2022,1,1.503461310807619,False
2022-03-04,2022,2,1.6771149951184992,False
2022-03-04,2022,3,1.7049412093165937,False
2022-03-07,2022,0,2.6927345814819126,True
2022-03-07,2022,1,1.3007461528423403,False
2022-03-07,2022,2,1.5331773956959975,False
2022-03-07,2022,3,1.496743768700628,False
2022-03-08,2022,0,1.5363814692114637,False
2022-03-08,2022,1,1.4148974733960313,False
2022-03-08,2022,2,2.0910982884781157,True
2022-03-08,2022,3,1.493403922042935,False
2022-03-09,2022,0,1.8774063208010139,True
2022-03-09,2022,1,1.3631214960951288,False
2022-03-09,2022,2,1.4215215636343934,False
2022-03-09,2022,3,1.4532321039987182,False
2022-03-10,2022,0,3.960129388064569,True
2022-03-10,2022,1,1.4766244212510955,False
2022-03-10,2022,2,1.2879846613369084,False
2022-03-10,2022,3,1.6040604169223418,False
2022-03-11,2022,0,2.4154388661209047,True
2022-03-11,2022,1,1.5076153630743443,False
2022-03-11,2022,2,1.454415514205442,False
2022-03-11,2022,3,1.5125105203709857,False
2022-03-14,2022,0,2.216354340410372,True
2022-03-14,2022,1,1.8583455555288808,True
2022-03-14,2022,2,1.310725396436262,False
2022-03-14,2022,3,1.711073854678149,False
2022-03-15,2022,0,2.2916943170972024,True
2022-03-15,2022,1,1.7220537293651677,False
2022-03-15,2022,2,1.2667169640126388,False
2022-03-15,2022,3,1.3096415104220525,False
2022-03-16,2022,0,1.491217942246611,False
2022-03-16,2022,1,1.1805792686294372,False
2022-03-16,2022,2,1.3544648848690317,False
2022-03-16,2022,3,1.5532215693157736,False
2022-03-17,2022,0,1.8409043296705119,True
2022-03-17,2022,1,1.7008463371124616,False
2022-03-17,2022,2,1.4904227181044096,False
2022-03-17,2022,3,1.5941693314298557,False
2022-03-18,2022,0,2.1020052855962423,True
2022-03-18,2022,1,1.4583257906736697,False
2022-03-18,2022,2,1.7582391536016595,False
2022-03-18,2022,3,1.4111463161864006,False
2022-03-21,2022,0,1.5583943538323848,False
2022-03-21,2022,1,1.647311754557982,False
2022-03-21,2022,2,1.5496687326708563,False
2022-03-21,2022,3,1.5298858216239968,False
2022-03-22,2022,0,1.8021724883086716,True
2022-03-22,2022,1,1.211631863070493,False
2022-03-22,2022,2,2.0631580642197784,True
2022-03-22,2022,3,1.735845569951625,False
2022-03-23,2022,0,1.353960296383997,False
2022-03-23,2022,1,1.5370109715012166,False
2022-03-23,2022,2,1.6849776898418831,False
2022-03-23,2022,3,1.544641716662408,False
2022-03-24,2022,0,3.0951615528968626,True
2022-03-24,2022,1,1.6087926543008682,False
2022-03-24,2022,2,2.0772147149904003,True
2022-03-24,2022,3,1.2606973846985776,False
2022-03-25,2022,0,1.4662545452993045,False
2022-03-25,2022,1,1.493066543417574,False
2022-03-25,2022,2,1.500400438781493,False
2022-03-25,2022,3,1.322282795169971,False
2022-03-28,2022,0,1.576194109962711,False
2022-03-28,2022,1,1.4210581905446047,False
2022-03-28,2022,2,1.2803822232156843,False
2022-03-28,2022,3,1.6178107432543314,False
2022-03-29,2022,0,1.6368250320619622,False
2022-03-29,2022,1,1.5279483798685345,False
2022-03-29,2022,2,1.3725576306528544,False
2022-03-29,2022,3,2.2753443878950312,True
2022-03-30,2022,0,2.3193557171473036,True
2022-03-30,2022,1,1.2383743228228732,False
2022-03-30,2022,2,1.497857574603611,False
2022-03-30,2022,3,1.2203657379967883,False
2022-03-31,2022,0,1.8873974477518705,True
2022-03-31,2022,1,1.1982119275233045,False
2022-03-31,2022,2,1.683171966637455,False
2022-03-31,2022,3,1.354067561850868,False
2022-04-01,2022,0,1.4249342039449244,False
2022-04-01,2022,1,1.4156307434805833,False
2022-04-01,2022,2,1.7302618290000682,False
2022-04-01,2022,3,1.403453888163993,False
2022-04-06,2022,0,4.052217400433793,True
2022-04-06,2022,1,1.4946247179879635,False
2022-04-06,2022,2,1.5730526736058401,False
2022-04-06,2022,3,1.4527374821739303,False
2022-04-07,2022,0,1.784013569998641,True
2022-04-07,2022,1,1.5295069951165723,False
2022-04-07,2022,2,1.573606900695407,False
2022-04-07,2022,3,1.4371466841179343,False
2022-04-08,2022,0,1.7759891392001108,True
2022-04-08,2022,1,1.8285107808454109,True
2022-04-08,2022,2,1.6448773490042394,False
2022-04-08,2022,3,1.7305358279953418,False
2022-04-11,2022,0,2.1097476825647155,True
2022-04-11,2022,1,1.7833486396271936,True
2022-04-11,2022,2,1.1553483256285608,False
2022-04-11,2022,3,1.4080557372296643,False
2022-04-12,2022,0,1.328471694731407,False
2022-04-12,2022,1,1.3194892439905221,False
2022-04-12,2022,2,2.3367064269548643,True
2022-04-12,2022,3,1.4556958081252391,False
2022-04-13,2022,0,1.9759465173432162,True
2022-04-13,2022,1,1.4160680593606574,False
2022-04-13,2022,2,2.267737252352741,True
2022-04-13,2022,3,1.5058356554709917,False
2022-04-14,2022,0,1.4365109945512076,False
2022-04-14,2022,1,1.358017044136895,False
2022-04-14,2022,2,1.6582298627389744,False
2022-04-14,2022,3,1.3306129592931795,False
2022-04-15,2022,0,3.1997152314426103,True
2022-04-15,2022,1,1.454632262388648,False
2022-04-15,2022,2,1.501270342819683,False
2022-04-15,2022,3,1.2841833417018995,False
2022-04-18,2022,0,1.605505262019071,False
2022-04-18,2022,1,1.4723631819556653,False
2022-04-18,2022,2,2.092509816179753,True
2022-04-18,2022,3,1.2767022866524564,False
2022-04-19,2022,0,1.347339748694993,False
2022-04-19,2022,1,1.236191106998673,False
2022-04-19,2022,2,1.6648633747087216,False
2022-04-19,2022,3,1.400981042539934,False
2022-04-20,2022,0,1.4179042303569167,False
2022-04-20,2022,1,1.6834921009152235,False
2022-04-20,2022,2,1.7719276673878124,True
2022-04-20,2022,3,1.2287124737251318,False
2022-04-21,2022,0,1.5270228557384389,False
2022-04-21,2022,1,1.520740489765468,False
2022-04-21,2022,2,1.4839279847549047,False
2022-04-21,2022,3,1.5580680334890618,False
2022-04-22,2022,0,1.6721671707355632,False
2022-04-22,2022,1,1.6291008111600096,False
2022-04-22,2022,2,1.6644810561252765,False
2022-04-22,2022,3,1.8169146469057131,True
2022-04-25,2022,0,3.6262756584723785,True
2022-04-25,2022,1,1.8111521713758894,True
2022-04-25,2022,2,1.520734139880886,False
2022-04-25,2022,3,1.3294467789996498,False
2022-04-26,2022,0,1.4001688545259874,False
2022-04-26,2022,1,1.5819772886722987,False
2022-04-26,2022,2,1.4139745782411128,False
2022-04-26,2022,3,1.6546895745044237,False
2022-04-27,2022,0,2.0073960583641774,True
