year,feature,high_a,low_a,year_cycles,high_feature,low_feature,high_bars,low_bars,high_amplitude,low_amplitude,delta_net_log,delta_capture
2022,motion_concentration,1446,5678,626,2.0529130985954738,1.353979149628606,22,27,0.0126836517975625,0.013841146630102,-0.0164268623066672,-0.5236592896595271
2022,motion_concentration,1763,6987,626,2.5131543778869583,1.3567451416888312,17,16,0.0104355589499522,0.0093634288735282,-0.005785073194087,-0.2066832745820714
2022,motion_concentration,2116,4966,626,1.9825873607408668,1.4544469331602312,16,16,0.0102536360353386,0.0087525695772798,-0.0002055853872573,-0.1224573812422345
2022,motion_concentration,2683,4186,626,2.900597562443078,1.3923840096072666,23,23,0.0231095027405254,0.0227438352681961,-0.0053096278468086,-0.1585432581618048
2022,motion_concentration,2873,9364,626,2.208695620088505,1.3195994170313556,19,21,0.0168577026130414,0.017302623038538,0.000710407239968,-0.0315524440450707
2022,motion_concentration,2989,5546,626,2.101411512171469,1.1727854443433374,5,5,0.0045502793104788,0.004505675970865,0.0003486403065372,0.0395736075707989
2022,motion_concentration,3046,6625,626,2.364154500516819,1.3960939415414753,12,13,0.020514010209097,0.0216107467158499,0.0035428222884672,-0.0616785911846465
2022,motion_concentration,3159,4999,626,4.287829358538635,1.31201086976105,13,15,0.0229850077516777,0.0217420562100931,-0.0067194027584632,-0.1353625968625587
2022,motion_concentration,3588,2210,626,2.224673364530113,1.4005227145117631,16,17,0.025317526217913,0.0274407041934772,-0.0097184293867027,-0.1567355244186378
2022,motion_concentration,4026,4800,626,1.9669779366170523,1.385265640233147,21,26,0.025897172488956,0.0299207670929915,-0.0206907265678941,-0.307404907567384
2022,motion_concentration,4142,2315,626,2.0087646703888,1.4458693911482507,13,13,0.0048390926781785,0.0057549784320549,-0.0096272676247201,-0.6064597006303323
2022,motion_concentration,4786,8701,626,2.018041615000149,1.473340852895874,14,14,0.0073054249521549,0.0082801813071942,0.0030926393683504,0.1445213724659733
2022,motion_concentration,4922,6771,626,2.852049247233063,1.440472297987676,24,23,0.0160136500620629,0.0158883153886391,-0.0235400737460393,-0.5436072325953647
2022,motion_concentration,5048,3118,626,1.971130349732273,1.3474350249535734,6,7,0.0075487626432808,0.0089869928059194,0.0170801445683644,0.8473095700994877
2022,motion_concentration,5085,8950,626,2.007842732960576,1.2860176492806832,14,15,0.0230960155678197,0.0228146777661715,-0.0331594261528647,-0.868382362300007
2022,motion_concentration,5172,5530,626,2.278116174542375,1.399886300851349,18,16,0.0189575681612428,0.0176968671761956,0.0064793898841412,0.1764843851773363
2022,motion_concentration,5212,9422,626,3.0761065701838985,1.3499878555324427,22,19,0.0139068510617823,0.0120709393283124,0.0112402606260875,0.3610644003007515
2022,motion_concentration,5270,984,626,2.1115830553234307,1.388920338842594,13,13,0.011469002848905,0.0106138725323408,-0.005572151565629,-0.2417434302107493
2022,motion_concentration,5565,3651,626,2.011855388497347,1.4591902744578145,11,10,0.0131319255652737,0.0113419438658972,-0.0158058169785845,-0.4818182287250072
2022,motion_concentration,5666,5406,626,1.989834264673426,1.4341017981288724,12,12,0.0074515924278086,0.0084659386848242,-0.0031355416429895,-0.2173603962280353
2022,motion_concentration,5800,4370,626,1.9976421087930056,1.1511315116115686,11,11,0.0108505771150495,0.0134638385658663,-0.0066448437854253,-0.2915480568900758
2022,motion_concentration,5846,9838,626,2.693628177572684,1.4235640341932123,17,17,0.0120089321178475,0.0099973357085865,0.0053595916576128,0.1776517718192428
2022,motion_concentration,5934,890,626,2.011703041036084,1.4389985343002627,22,18,0.0191536563242662,0.0169621802988633,-0.0144880436458395,-0.4711507359038169
2022,motion_concentration,6018,832,626,2.0659350539424097,1.4605183649174256,13,14,0.0058647865707293,0.0067628319400956,-0.0060396218394601,-0.5081266006141465
2022,motion_concentration,6418,9416,626,2.224507410970622,1.4030238455854536,7,6,0.0039014356284736,0.0048373813593327,0.0004309841135818,-0.0548516744560908
2022,motion_concentration,6661,2196,626,3.7448959082739526,1.284218521238006,12,11,0.0176788026270724,0.0197231835316085,-0.0102307520065002,-0.4471827526249777
2022,motion_concentration,7016,4237,626,1.9269347231376044,1.3928497698161173,23,23,0.0179365829649604,0.0153618174514846,0.0039877097770086,0.1561085751594301
2022,motion_concentration,7048,1069,626,1.945944699567792,1.470569402218603,19,20,0.0126470546493084,0.0107503966675075,-0.0038906897605383,-0.2337439304577911
2022,motion_concentration,7091,5784,626,2.171450083109725,1.3722293033924429,13,16,0.0126922415460191,0.0125609467907086,-0.0009633659884834,0.0506177311788239
2022,motion_concentration,7131,1226,626,1.9942348751596128,1.2196224619293343,10,11,0.0043282177920582,0.0041090113519022,0.006564195045048,0.7092257122128444
2022,motion_concentration,7141,3815,626,3.5034684229246347,1.29639911519795,11,9,0.0076551542245919,0.0077164954840212,0.0065001937933017,0.6257785306941122
2022,motion_concentration,7196,7567,626,2.091981693319717,1.3837167162102042,15,13,0.0083049552194278,0.008727438990868,-0.0001445604248763,-0.0685612481348257
2022,motion_concentration,7624,3986,626,2.0907357731282143,1.3906976284480197,16,14,0.011997625104243,0.0129880305786107,0.0001880344517837,-0.0524284030810017
2022,motion_concentration,7815,6031,626,2.134768855921528,1.4107376986257552,10,10,0.006426819920339,0.0054468122857329,-0.0109736137297163,-0.9193738624973008
2022,motion_concentration,7860,8383,626,2.374473763480776,1.335022450287667,19,16,0.0074245644406731,0.0066145823076979,-0.0047194312750039,-0.101580375304652
2022,motion_concentration,7957,10640,626,2.465504377148034,1.449491244603066,18,22,0.0079525177629307,0.0080559481684368,-0.0117845783112125,-0.6626934860370103
2022,motion_concentration,7975,1780,626,2.0857405949145926,1.3718042175172742,16,13,0.0080116683146469,0.0083455642584793,-0.0019122881625485,-0.10433748711708
2022,motion_concentration,8099,61,626,2.964231071919704,1.2725510247067549,17,17,0.010821877849831,0.0109370066398151,0.0006254659854377,-0.2641342140842805
