case,bar,raw_log,filtered_log,sigma,signal,exec_pos,pnl_log
0,36,-0.0027499999999999994,-0.0018387440350873107,0.0006121638634897127,-1.0,-1.0,0.00046227285820052796
0,37,-0.0030264304469558487,-0.0022823027503538467,0.0006121638634897127,-1.0,-1.0,0.0004306763342306943
0,38,-0.002857050807568877,-0.002561013991515395,0.0006121638634897127,-1.0,-1.0,0.00027643044695584363
0,39,-0.0020177669529663697,-0.0025087723245197377,0.0006121638634897127,-1.0,-1.0,-0.00016937963938704566
0,40,-0.0006250000000000034,-0.002006922747529849,0.0006121638634897127,-1.0,-1.0,-0.0008392838546024754
0,41,0.0008269407041726721,-0.0011160222964000236,0.0006121638634897127,1.0,-1.0,-0.0013927669529663106
0,42,0.0017499999999999996,-9.976412578173986e-05,0.0006121638634897127,1.0,-1.0,-0.0014519407041726983
0,43,0.0018622168845827552,0.0007057524020732399,0.0006121638634897127,1.0,1.0,0.0009230592958273156
0,44,0.0013749999999999997,0.00109157076174006,0.0006121638634897127,1.0,1.0,0.00011221688458290292
0,45,0.0008106601717798219,0.0010921030147529975,0.0006121638634897127,1.0,1.0,-0.00048721688458277997
0,46,0.0006070508075688773,0.0009301235514447648,0.0006121638634897127,1.0,1.0,-0.0005643398282201832
0,47,0.0008372728582004243,0.0008422285870764698,0.0006121638634897127,1.0,1.0,-0.0002036093642109711
1,0,0.0017499999999999998,0.0010078718565448897,0.0006121638634897124,1.0,1.0,0.0004622728582005851
1,1,0.002203298261984863,0.0014173253108053512,0.0006121638634897124,1.0,1.0,0.0005467017380151382
1,2,0.002473076211353316,0.0018065273558851831,0.0006121638634897124,1.0,1.0,0.00045329826198491026
1,3,0.0025177669529663684,0.002097688315176989,0.0006121638634897124,1.0,1.0,0.00026977794936838844
1,4,0.0022410254037844393,0.0022167520677249647,0.0006121638634897124,1.0,1.0,4.4690741612936704e-05
1,5,0.001496191480798315,0.0020696092581521113,0.0006121638634897124,1.0,1.0,-0.0002767415491819325
1,6,0.00025000000000000055,0.0015639031419628514,0.0006121638634897124,-1.0,1.0,-0.0007448339229859905
1,7,-0.0012461914807983157,0.0006923998694012559,0.0006121638634897124,-1.0,1.0,-0.0012461914807982896
1,8,-0.0024910254037844386,-0.00039000960413876655,0.0006121638634897124,-1.0,-1.0,0.0014961914807983029
1,9,-0.0030177669529663684,-0.001389316953271544,0.0006121638634897124,-1.0,-1.0,0.0012448339229861444
1,10,-0.0027230762113533164,-0.0020153054259731823,0.0006121638634897124,-1.0,-1.0,0.0005267415491819244
1,11,-0.0019532982619848644,-0.002151771336347374,0.0006121638634897124,-1.0,-1.0,-0.0002946907416130792
1,12,-0.0012500000000000005,-0.0019192623343412983,0.0006121638634897124,-1.0,-1.0,-0.0007697779493685373
1,13,-0.000953298261984863,-0.0015736983340388921,0.0006121638634897124,-1.0,-1.0,-0.0007032982619849844
1,14,-0.0009910254037844384,-0.0013194590937534376,0.0006121638634897124,1.0,-1.0,-0.0002967017380149669
1,15,-0.0010177669529663686,-0.00118629783738058,0.0006121638634897124,1.0,-1.0,3.772714179954839e-05
1,16,-0.0007589745962155621,-0.0010603790444914237,0.0006121638634897124,1.0,1.0,-2.6741549181859067e-05
1,17,-0.0002461914807983149,-0.0008246267127149788,0.0006121638634897124,1.0,1.0,0.0002587923567507465
1,18,0.000249999999999999,-0.0004752936197592603,0.0006121638634897124,1.0,1.0,0.0005127831154171812
1,19,0.0004961914807983152,-0.00011672208506591946,0.0006121638634897124,1.0,1.0,0.0004961914807983376
1,20,0.0005089745962155615,0.00014502705870163453,0.0006121638634897124,1.0,1.0,0.0002461914807983357
1,21,0.0005177669529663685,0.00030070743106795314,0.0006121638634897124,1.0,1.0,1.2783115417356012e-05
1,22,0.0007410254037844384,0.0004396276416378461,0.0006121638634897124,1.0,1.0,8.792356750641047e-06
1,23,0.0012032982619848652,0.0006647030742156289,0.0006121638634897124,1.0,1.0,0.00022325845081805885
1,24,0.0017499999999999998,0.0010078718565448897,0.0006121638634897124,1.0,1.0,0.0004622728582005851
