symbol,year,trading_day,start_timestamp,start_shock_intensity,start_vol_ratio,same_session_normal_recovered,right_censored,bars_to_leave_unsafe,bars_to_normal,available_bars_after_start,recurrent_shock_before_normal,recurrent_shock_count_before_normal,peak_vol_ratio_before_normal,peak_shock_intensity_before_normal
000852.SH,2021,2021-05-10,2021-05-10 09:45:00,4.3813319869135725,1.551779978798269,True,False,1.0,14.0,14,False,0,1.602871889088524,4.3813319869135725
000852.SH,2021,2021-05-13,2021-05-13 10:05:00,3.3763384517333663,1.4208558504667421,True,False,1.0,12.0,12,False,0,1.5823193676013732,3.3763384517333663
000852.SH,2021,2021-05-17,2021-05-17 09:45:00,4.650964960704907,1.3770715541907643,True,False,1.0,12.0,12,False,0,1.6393944785877466,4.650964960704907
000852.SH,2021,2021-05-19,2021-05-19 09:50:00,3.723626569944132,0.9986072823145536,True,False,1.0,1.0,1,False,0,0.9986072823145536,3.723626569944132
000852.SH,2021,2021-05-19,2021-05-19 10:55:00,3.0741875767295754,1.3992930327641373,True,False,1.0,12.0,12,False,0,1.3992930327641373,3.0741875767295754
000852.SH,2021,2021-05-20,2021-05-20 09:45:00,3.7271425438995465,1.2494883695722054,True,False,2.0,14.0,14,True,1,1.6135691345976284,3.7271425438995465
000852.SH,2021,2021-05-24,2021-05-24 09:50:00,4.728093615180081,1.5026376412846216,True,False,1.0,16.0,16,False,0,1.6117649424944802,4.728093615180081
000852.SH,2021,2021-05-27,2021-05-27 09:45:00,3.54779155445573,1.1260683857228069,True,False,1.0,1.0,1,False,0,1.1260683857228069,3.54779155445573
000852.SH,2021,2021-05-28,2021-05-28 14:15:00,3.774264343014775,1.2012185347054132,False,True,1.0,,9,False,0,1.5094671043668353,3.774264343014775
000852.SH,2021,2021-05-31,2021-05-31 09:45:00,3.1473809113451887,1.5522019724773812,True,False,1.0,1.0,1,False,0,1.5522019724773812,3.1473809113451887
000852.SH,2021,2021-06-01,2021-06-01 09:40:00,3.068961775023095,0.9356007543188436,True,False,1.0,1.0,1,False,0,0.9356007543188436,3.068961775023095
000852.SH,2021,2021-06-01,2021-06-01 10:20:00,6.465531916069132,2.359025793670336,True,False,12.0,12.0,12,False,0,2.359025793670336,6.465531916069132
000852.SH,2021,2021-06-08,2021-06-08 10:35:00,3.431982818275249,1.5910451795693923,True,False,1.0,18.0,18,True,1,1.5910451795693923,3.435593396538591
000852.SH,2021,2021-06-10,2021-06-10 10:25:00,3.0151785675410148,1.2224160700954871,True,False,1.0,6.0,6,False,0,1.2224160700954871,3.0151785675410148
000852.SH,2021,2021-06-15,2021-06-15 09:45:00,4.235852165237806,1.2427350462032762,True,False,1.0,14.0,14,True,1,1.7838466491513623,4.235852165237806
000852.SH,2021,2021-06-16,2021-06-16 10:35:00,3.2822947202874335,1.6630077303351827,True,False,3.0,12.0,12,False,0,1.6630077303351827,3.2822947202874335
000852.SH,2021,2021-06-21,2021-06-21 09:40:00,5.564972667169546,1.6117694531311917,True,False,1.0,12.0,12,True,1,1.6117694531311917,5.564972667169546
000852.SH,2021,2021-06-22,2021-06-22 13:55:00,3.156840578461987,1.1256213810433913,True,False,1.0,1.0,1,False,0,1.1256213810433913,3.156840578461987
000852.SH,2021,2021-06-23,2021-06-23 10:05:00,3.1415528295067627,1.3371853723042235,True,False,1.0,12.0,12,False,0,1.4611172927023632,3.1415528295067627
000852.SH,2021,2021-06-23,2021-06-23 14:35:00,3.0963754419087426,1.0967908769172943,False,True,1.0,,5,False,0,1.1885404703132207,3.0963754419087426
000852.SH,2021,2021-06-29,2021-06-29 10:10:00,3.695190530739063,1.5463403109673435,True,False,2.0,13.0,13,False,0,1.6883553724605853,3.695190530739063
000852.SH,2021,2021-07-01,2021-07-01 09:45:00,3.3589975512767998,1.2212860911527956,True,False,1.0,1.0,1,False,0,1.2212860911527956,3.3589975512767998
000852.SH,2021,2021-07-01,2021-07-01 10:00:00,3.0903640691826686,1.5798681308698703,True,False,2.0,12.0,12,False,0,1.5798681308698703,3.0903640691826686
000852.SH,2021,2021-07-01,2021-07-01 14:40:00,3.758374939823455,1.2203218771459519,True,False,1.0,1.0,1,False,0,1.2203218771459519,3.758374939823455
000852.SH,2021,2021-07-02,2021-07-02 09:45:00,3.212306792000275,1.2713914565889568,True,False,1.0,15.0,15,False,0,1.6866831567713294,3.212306792000275
000852.SH,2021,2021-07-06,2021-07-06 10:00:00,3.430201253419065,1.1680775944083368,True,False,1.0,1.0,1,False,0,1.1680775944083368,3.430201253419065
000852.SH,2021,2021-07-08,2021-07-08 11:20:00,3.462155084490949,1.3466214338857412,True,False,1.0,12.0,12,False,0,1.3646385356330062,3.462155084490949
000852.SH,2021,2021-07-12,2021-07-12 09:40:00,5.110309290563637,1.5601069110614785,True,False,1.0,12.0,12,False,0,1.5601069110614785,5.110309290563637
000852.SH,2021,2021-07-15,2021-07-15 09:55:00,3.4886709349532334,1.1894528045703192,True,False,1.0,1.0,1,False,0,1.1894528045703192,3.4886709349532334
000852.SH,2021,2021-07-16,2021-07-16 09:40:00,3.6738619928539054,1.119041086685306,True,False,1.0,1.0,1,False,0,1.119041086685306,3.6738619928539054
000852.SH,2021,2021-07-19,2021-07-19 09:50:00,3.508948432283712,1.485795165506484,True,False,1.0,12.0,12,False,0,1.485795165506484,3.508948432283712
000852.SH,2021,2021-07-22,2021-07-22 09:45:00,3.634584137654999,1.5070261129655995,True,False,1.0,21.0,21,True,1,1.8876936211735156,4.043386159407914
000852.SH,2021,2021-07-23,2021-07-23 11:10:00,3.1832765634350753,1.531486839301015,True,False,1.0,18.0,18,False,0,1.531486839301015,3.1832765634350753
000852.SH,2021,2021-07-26,2021-07-26 09:40:00,3.694460131676728,1.1757065003743825,True,False,1.0,40.0,40,True,4,1.585346939371056,3.694460131676728
000852.SH,2021,2021-07-28,2021-07-28 09:40:00,4.384554577723412,1.3783886913181196,True,False,13.0,13.0,13,True,2,1.9537856033875527,6.621112697951488
000852.SH,2021,2021-08-09,2021-08-09 09:50:00,3.0939011194195523,1.1656834080156178,True,False,1.0,1.0,1,False,0,1.1656834080156178,3.0939011194195523
000852.SH,2021,2021-08-09,2021-08-09 10:05:00,3.4208837656781834,1.500042041538603,True,False,1.0,12.0,12,False,0,1.530509250262005,3.4208837656781834
000852.SH,2021,2021-08-11,2021-08-11 09:40:00,4.421581231943001,1.4617371242186605,True,False,1.0,3.0,3,False,0,1.4617371242186605,4.421581231943001
000852.SH,2021,2021-08-12,2021-08-12 10:55:00,3.2734145783068143,1.290883958933773,True,False,1.0,2.0,2,False,0,1.290883958933773,3.2734145783068143
000852.SH,2021,2021-08-16,2021-08-16 09:55:00,3.335545303366649,1.2630305373073638,True,False,1.0,12.0,12,False,0,1.4832253735903833,3.335545303366649
000852.SH,2021,2021-08-17,2021-08-17 10:10:00,3.516281347173612,1.4031868232469318,True,False,1.0,12.0,12,False,0,1.6722633518059775,3.516281347173612
000852.SH,2021,2021-08-17,2021-08-17 13:25:00,3.0592672638845855,1.0542107682781192,True,False,1.0,1.0,1,False,0,1.0542107682781192,3.0592672638845855
000852.SH,2021,2021-08-18,2021-08-18 09:40:00,4.065834690643718,1.5834804965279845,True,False,1.0,12.0,12,False,0,1.5834804965279845,4.065834690643718
000852.SH,2021,2021-08-20,2021-08-20 09:55:00,3.6009483333037773,1.3930015925125951,True,False,1.0,13.0,13,False,0,1.6183733726265166,3.6009483333037773
000852.SH,2021,2021-08-24,2021-08-24 09:45:00,4.149578372174522,1.2167305319814457,True,False,1.0,1.0,1,False,0,1.2167305319814457,4.149578372174522
000852.SH,2021,2021-08-26,2021-08-26 10:00:00,4.1259937604952555,1.5934044964884857,True,False,1.0,14.0,14,False,0,1.6803061001113573,4.1259937604952555
000852.SH,2021,2021-08-26,2021-08-26 14:35:00,3.890766264481193,1.2716335865387414,True,False,1.0,4.0,4,False,0,1.2716335865387414,3.890766264481193
000852.SH,2021,2021-08-30,2021-08-30 11:20:00,3.2090185269167124,1.1611511847122389,True,False,1.0,1.0,1,False,0,1.1611511847122389,3.2090185269167124
000852.SH,2021,2021-08-31,2021-08-31 09:45:00,3.1173577308732594,1.0862359324952355,True,False,1.0,1.0,1,False,0,1.0862359324952355,3.1173577308732594
000852.SH,2021,2021-09-01,2021-09-01 10:20:00,4.439941308628905,1.7646391540754591,True,False,1.0,16.0,16,True,1,2.020787291963305,5.418083618636061
000852.SH,2021,2021-09-03,2021-09-03 09:40:00,3.0606872015450612,0.9145219069867433,True,False,1.0,1.0,1,False,0,0.9145219069867433,3.0606872015450612
000852.SH,2021,2021-09-03,2021-09-03 10:15:00,3.9796826492645385,1.8079215221345961,True,False,5.0,23.0,23,True,1,1.904688512832873,3.9796826492645385
000852.SH,2021,2021-09-10,2021-09-10 10:40:00,3.7354761268598797,1.455166874971448,True,False,1.0,15.0,15,True,1,1.701173919661501,3.9402244653346754
000852.SH,2021,2021-09-14,2021-09-14 14:15:00,3.6345621293123442,1.2287483956301652,False,True,1.0,,9,False,0,1.550657437192619,3.6345621293123442
000852.SH,2021,2021-09-16,2021-09-16 10:50:00,4.085299716359358,1.650880173290207,True,False,1.0,17.0,17,True,1,1.6612329761346858,4.3073498568711
000852.SH,2021,2021-09-24,2021-09-24 09:40:00,4.037045052878418,1.2419991648995925,True,False,1.0,2.0,2,False,0,1.2419991648995925,4.037045052878418
000852.SH,2021,2021-09-27,2021-09-27 09:40:00,5.151921570080038,1.5719055855673811,True,False,13.0,15.0,15,True,1,1.834574799363001,5.151921570080038
000852.SH,2021,2021-09-29,2021-09-29 10:15:00,4.891147083080811,1.6304168471045302,True,False,1.0,22.0,22,True,4,1.8240806269574799,4.891147083080811
000852.SH,2021,2021-10-08,2021-10-08 09:40:00,3.913865227001867,1.2191782713631083,True,False,2.0,15.0,15,True,1,1.6721376817629485,3.913865227001867
000852.SH,2021,2021-10-11,2021-10-11 09:45:00,5.801053492636943,1.7724359750296634,True,False,1.0,12.0,12,False,0,1.8165689181758458,5.801053492636943
000852.SH,2021,2021-10-12,2021-10-12 13:50:00,3.2391487670791674,1.4594378844362887,True,False,1.0,11.0,11,False,0,1.4594378844362887,3.2391487670791674
000852.SH,2021,2021-10-15,2021-10-15 10:25:00,3.01579370215178,1.5650882931178152,True,False,1.0,10.0,10,False,0,1.5650882931178152,3.01579370215178
000852.SH,2021,2021-10-20,2021-10-20 09:55:00,4.032174678116332,1.2713473498582275,True,False,1.0,12.0,12,False,0,1.5250820795042828,4.032174678116332
000852.SH,2021,2021-10-20,2021-10-20 13:55:00,3.1365835625515786,1.0932749401471946,True,False,1.0,1.0,1,False,0,1.0932749401471946,3.1365835625515786
000852.SH,2021,2021-10-21,2021-10-21 13:50:00,3.357928526944734,1.1365432991251028,True,False,1.0,1.0,1,False,0,1.1365432991251028,3.357928526944734
