symbol,horizon,year,sampling,model,rows,log_sigma_rmse,median_absolute_factor_error,spearman,bucket_accuracy,balanced_accuracy,actual_high_share,high_precision,high_recall,predicted_high_time_share
000688.SH,5,2024,dense,clock_only,55660,0.6039747695942822,1.459606080751006,0.4110020246718398,0.5013833992094862,0.4043397603211352,0.5188645346748113,0.6433617701946148,0.6684903047091413,0.5391304347826087
000688.SH,5,2024,nonoverlap,multiscale,11132,0.4668539317850772,1.3286075384473202,0.7243512078796813,0.6309737693136903,0.5167631705411936,0.5275781530722242,0.7506489540387845,0.837050910948408,0.5883039885016169
000688.SH,5,2024,nonoverlap,persistence,11132,0.5989635262961697,1.413920699146975,0.5716539120964009,0.5706072583542939,0.5095611861791746,0.5275781530722242,0.7285176309483054,0.7246722288438617,0.5247933884297521
000688.SH,5,2024,nonoverlap,clock_only,11132,0.6014000132629875,1.4617431720058667,0.40809445196520827,0.5103305785123967,0.404980431367519,0.5275781530722242,0.6555371900826447,0.6752937170100459,0.5434782608695652
000688.SH,15,2024,dense,multiscale,50820,0.33561895039479106,1.2294507631528002,0.8011279441891889,0.6869342778433688,0.5857658493121539,0.5501574183392365,0.8194787570896691,0.8423405701205336,0.5655057064147974
000688.SH,15,2024,dense,persistence,50820,0.3969680715391071,1.269633776165867,0.7260866063070093,0.6592089728453365,0.5823322980539155,0.5501574183392365,0.7710408449762685,0.825065274151436,0.5887052341597796
000688.SH,15,2024,dense,clock_only,50820,0.5011077554782863,1.3641268841984067,0.4247942769904207,0.5106454151908697,0.4120791773951657,0.5501574183392365,0.7081559395608983,0.6068171250760042,0.4714285714285714
000688.SH,15,2024,nonoverlap,multiscale,3388,0.32518984671563717,1.2171495227338378,0.8156806114543751,0.7015938606847698,0.5887584536297173,0.5791027154663518,0.8417559979581419,0.8404689092762487,0.5782172373081464
000688.SH,15,2024,nonoverlap,persistence,3388,0.5020718519069328,1.2808049407465107,0.5855690371069591,0.628099173553719,0.560791051483564,0.5791027154663518,0.7728937728937729,0.7528032619775739,0.5640495867768595
000688.SH,15,2024,nonoverlap,clock_only,3388,0.49367550741133354,1.3625515194954378,0.44428515511130523,0.5448642266824085,0.4048732366577883,0.5791027154663518,0.7035123966942148,0.6941896024464832,0.5714285714285714
000688.SH,30,2024,dense,multiscale,43560,0.29171766451816167,1.1979743623935175,0.8153615605490429,0.7108585858585859,0.6114150513825104,0.5712121212121212,0.840561784303555,0.8466763121935535,0.5753673094582186
000688.SH,30,2024,dense,persistence,43560,0.37613306633683635,1.260964895996458,0.7071715791395544,0.6722681359044995,0.576878784908966,0.5712121212121212,0.7610663803900519,0.8547544409613375,0.6415289256198347
000688.SH,30,2024,dense,clock_only,43560,0.4675882777208207,1.3281100918687851,0.4080272901065281,0.5319559228650138,0.4112615814344969,0.5712121212121212,0.7221303948576676,0.6321035286552528,0.5
000688.SH,30,2024,nonoverlap,multiscale,1452,0.30280451752433424,1.1934983159399404,0.8336473136126091,0.7458677685950413,0.6326060667930549,0.621900826446281,0.8908246225319396,0.8493909191583611,0.5929752066115702
000688.SH,30,2024,nonoverlap,persistence,1452,0.5399690627383595,1.3546653081289821,0.43939395964706457,0.5991735537190083,0.5304291530164801,0.621900826446281,0.7601431980906921,0.7054263565891473,0.5771349862258953
000688.SH,30,2024,nonoverlap,clock_only,1452,0.4656990786284536,1.3315801498252635,0.4836216122776737,0.5950413223140496,0.40479784733150703,0.621900826446281,0.7179752066115702,0.769656699889258,0.6666666666666666
