day,slot,first_index,last_index,first_booking,last_booking,first_body_label,gross_log,net_proxy_log,price_abs_log,body_abs_log,gap_abs_log,top1_price_share,top2_price_share,top2_body_share,up_top2_share,down_top2_share,other10_body_median_over_top2_mean,body_dominated,large_body_pattern,body_pnl_log,gap_pnl_log,overnight_gap_abs_log
2025-04-09,1,2988,2999,2025-04-09 10:35:00,2025-04-09 11:30:00,2025-04-09 10:30:00,-0.013319673250198137,-0.01371971325553227,0.03497937943068564,0.034942364645075205,0.0013508024397855317,0.25153359230400274,0.4801090463506555,0.4660486432594596,0.6758149510978673,0.6402615419389608,0.19423140270320874,True,False,-0.012563167709930613,-0.0007565055402675498,0.0
2025-04-09,2,3000,3011,2025-04-09 13:05:00,2025-04-09 14:00:00,2025-04-09 11:30:00,-0.009811854062763975,-0.010211894068098108,0.02622842875813017,0.026803283827514585,0.0016405510890025426,0.21967580642972676,0.3727916419730259,0.37090677850254594,0.4383674259119739,0.8070181313720194,0.3443541319996314,True,False,-0.010282804946869645,0.00047095088410544774,0.0
2025-04-09,3,3012,3023,2025-04-09 14:05:00,2025-04-09 15:00:00,2025-04-09 14:00:00,-0.004983568656636692,-0.005383608661970825,0.022004605531559064,0.021432970616628497,0.001427794820783201,0.17419721191075685,0.3225122377056414,0.31492959621962163,0.49359947481187144,0.5259158711756847,0.41635426809754345,True,False,-0.004800004788212324,-0.00018356386842387082,0.0
2025-04-10,0,3024,3035,2025-04-10 09:35:00,2025-04-10 10:30:00,2025-04-09 15:00:00,-0.01626026550065768,-0.016660305505991815,0.06625118483694589,0.042293075322068406,0.025677118367621495,0.41006174982216026,0.650022137370632,0.5738936721428816,0.7969354606536955,0.9358417934932692,0.08152111327403938,True,True,0.006689688699991173,-0.022949954200649027,0.023294489113466217
2025-04-10,1,3036,3047,2025-04-10 10:35:00,2025-04-10 11:30:00,2025-04-10 10:30:00,8.26442386943787e-05,-0.00031739576663975455,0.020300520841551085,0.019584202050413665,0.0013822315708173717,0.2401259778478555,0.3799507040070886,0.37931870136526635,0.9162253575555488,0.48699704011480555,0.3107094644185855,True,False,-0.000392869128917736,0.0004755133676122704,0.0
2025-04-10,2,3048,3059,2025-04-10 13:05:00,2025-04-10 14:00:00,2025-04-10 11:30:00,-0.0023744082305346787,-0.002774448235868812,0.014031325116751281,0.013111687668722264,0.0011420567712946627,0.2504283700007337,0.4167020324354583,0.426686279133089,0.5046924258109255,0.766770255103225,0.26183029304035493,True,False,-0.0015960463040675438,-0.0007783619264675625,0.0
2025-04-10,3,3060,3071,2025-04-10 14:05:00,2025-04-10 15:00:00,2025-04-10 14:00:00,-0.004774166309257699,-0.005174206314591832,0.014843206127615144,0.014349023049730571,0.0008379678086543973,0.1767159794578877,0.33920873008367297,0.350179079339448,0.6196940054873692,0.45917944958132245,0.45221654008285517,True,False,-0.0051876685063258435,0.00041350219706762063,0.0
2025-04-11,0,3072,3083,2025-04-11 09:35:00,2025-04-11 10:30:00,2025-04-10 15:00:00,-0.003211873212785955,-0.0040119532234542225,0.026579156934907047,0.02728601789592648,0.0015704569156710984,0.20709733282165177,0.39243125076318436,0.3804246337926529,0.5699028655797107,0.7051416970154883,0.2721862637146194,True,False,-0.0030516975636276354,-0.0001601756491589566,0.0003935319543232038
2025-04-11,1,3084,3095,2025-04-11 10:35:00,2025-04-11 11:30:00,2025-04-11 10:30:00,-0.0034657585249889848,-0.003865798530323118,0.02302354436484915,0.023230146908424253,0.0019147568675107615,0.2549569449477469,0.47921344778762215,0.4624240948811484,0.5856994161902978,0.8434096514912204,0.18492436604143872,True,False,-0.002518941454493561,-0.0009468170704959232,0.0
2025-04-11,2,3096,3107,2025-04-11 13:05:00,2025-04-11 14:00:00,2025-04-11 11:30:00,0.011957845816104882,0.011957845816104882,0.03529969486013988,0.03531123407943647,0.002240698105486739,0.3548755395408172,0.5118769768342454,0.5098058871459153,0.7647076352097457,0.5424745040705539,0.19655862293706705,True,True,0.011654307604291923,0.0003035382118133582,0.0
