symbol,market,timestamp,trading_day,open,high,low,close,volume,amount,available_at,ingested_at,source_kind,dataset_version,instrument_type,trading_month,causal_flat_fill,source_minute_count,high_frequency_analysis_eligible,export_view_id,export_frequency,signal_price_view,fill_price_view,data_contract,day,year,session,clock,return_all,r,boundary,body,gap,sigma_prior,robust_sigma_prior,z,robust_z,prediction_time,frequency_minutes,vol_bin,event,prior5,prior30,predicted_tail_probability,first_event,basis,abs_r
000688.SH,cn_index,2024-10-09 09:34:00+08:00,2024-10-09,969.34,996.42,969.34,996.42,,4254727200.0,2024-10-09T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-09,2024,0,09:34,0.02983593262794404,0.02983593262794404,False,0.02755342790597456,0.0022825047219699785,0.0023052058905424716,0.0013334030536320447,12.942849378596248,22.375779436438375,2024-10-09 09:33:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.02983593262794404
000688.SH,cn_index,2024-10-10 09:34:00+08:00,2024-10-10,979.26,979.26,957.38,957.38,,3604992600.0,2024-10-10T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-10,2024,0,09:34,-0.023892854972666022,-0.023892854972666022,False,-0.022596797560621416,-0.0012960574120442294,0.003649841462101991,0.0020849237971858107,-6.546272001333948,-11.45982169943867,2024-10-10 09:33:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.023892854972666022
000688.SH,cn_index,2024-10-10 09:36:00+08:00,2024-10-10,966.76,989.22,966.76,989.22,,3133516600.0,2024-10-10T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-10,2024,0,09:36,0.02385644461589198,0.02385644461589198,False,0.0229664794313663,0.0008899651845257833,0.003830202359164277,0.00211379719229467,6.228507629319431,11.286061265884356,2024-10-10 09:35:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.02385644461589198
000688.SH,cn_index,2024-10-10 09:33:00+08:00,2024-10-10,998.76,998.76,980.53,980.53,,3948473700.0,2024-10-10T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-10,2024,0,09:33,-0.019301972363876985,-0.019301972363876985,False,-0.018421267743300405,-0.0008807046205767757,0.0035441936017941125,0.0020849237971858107,-5.446082954979124,-9.257879060103017,2024-10-10 09:32:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.019301972363876985
000688.SH,cn_index,2024-10-09 09:37:00+08:00,2024-10-09,1027.5,1045.19,1027.5,1044.51,,4612511600.0,2024-10-09T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-09,2024,0,09:37,0.017626749976086487,0.017626749976086487,False,0.01641920853923268,0.0012075414368534995,0.002808739450347268,0.0013358284560432117,6.275679993709329,13.195369432612456,2024-10-09 09:36:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.017626749976086487
000688.SH,cn_index,2024-10-09 09:32:00+08:00,2024-10-09,977.81,977.81,962.1,962.1,,4282328500.0,2024-10-09T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-09,2024,0,09:32,-0.016513966527146984,-0.016513966527146984,False,-0.016196981765324903,-0.000316984761822586,0.0022021675996783258,0.0013334030536320447,-7.498959901852705,-12.384827289966628,2024-10-09 09:31:00+08:00,1,2,True,False,False,0.010673005219985085,True,raw,0.016513966527146984
000688.SH,cn_index,2024-10-09 09:36:00+08:00,2024-10-09,1011.94,1026.26,1011.03,1026.26,,4123161900.0,2024-10-09T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-09,2024,0,09:36,0.016347103517125205,0.016347103517125205,False,0.014051845381309502,0.0022952581358164506,0.002712174233288483,0.0013358284560432117,6.027305811140501,12.23742722590752,2024-10-09 09:35:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.016347103517125205
000688.SH,cn_index,2025-04-07 14:34:00+08:00,2025-04-07,913.12,926.54,913.12,926.29,,696321000.0,2025-04-07T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2025-04,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2025-04-07,2025,1,14:34,0.014714384184923546,0.014714384184923546,False,0.014320053774748471,0.0003943304101746441,0.001957375565872877,0.0009582599969002653,7.517404652163304,15.355315084132645,2025-04-07 14:33:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.014714384184923546
000688.SH,cn_index,2024-10-21 09:36:00+08:00,2024-10-21,1018.69,1018.69,1004.46,1004.46,,3750040000.0,2024-10-21T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-21,2024,0,09:36,-0.013969234350138748,-0.013969234350138748,False,-0.014067404459382435,9.817010924397406e-05,0.0023664024563196787,0.0017012719773343214,-5.903152404542483,-8.211052986381858,2024-10-21 09:35:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.013969234350138748
000688.SH,cn_index,2024-10-10 09:57:00+08:00,2024-10-10,956.74,970.22,956.74,970.22,,1515439000.0,2024-10-10T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-10,2024,0,09:57,0.01394936993711049,0.01394936993711049,False,0.013991177704999382,-4.180776788937942e-05,0.004082443525289985,0.0022010866404957898,3.416916817268069,6.337492436903086,2024-10-10 09:56:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.01394936993711049
