policy,year,basis,cagr,mdd,terminal_nav,calmar,completed_trades,mean_trade_log_bp,win_rate,exposure_fraction,turnover_sides,terminal_filled_position,year_return,year_mdd,year_completed_trades,year_mean_trade_log_bp
A,2022,original_zero_cost,0.7615929056228066,0.1094052366892625,3.1032095651405944,6.961210712298131,901,12.588634177025376,0.3951165371809101,0.6665807560137457,1803,1,0.8617478640297608,0.109405236689261,425,15.053665286986364
A,2022,uniform_fee_proxy,0.470938198291668,0.1189728587615227,2.163659183193541,3.9583666660952335,901,8.588234123684042,0.3784683684794672,0.6665807560137457,1803,1,0.5706644651717396,0.1189728587615222,425,11.053265233645032
B,2022,original_zero_cost,0.7846648741972516,0.1524713784794491,3.1850287131934967,5.146309307507263,1319,8.651300595000375,0.3881728582259287,0.9634450171821306,2640,1,0.722211104269922,0.1524713784794484,648,8.670895175363462
B,2022,uniform_fee_proxy,0.3705392130002714,0.1679248426084905,1.8783777343714012,2.2065777001451035,1319,4.650900541659044,0.3722517058377558,0.9634450171821306,2640,1,0.3289419077496474,0.1679248426084898,648,4.670495122022128
AB,2022,original_zero_cost,0.7553051851027359,0.1094052366892621,3.081096292848546,6.90373886990427,867,12.999821139035191,0.3967704728950403,0.6482817869415808,1735,1,0.8185583151586645,0.1094052366892605,411,14.995354477780475
AB,2022,uniform_fee_proxy,0.4756895677888073,0.1189728587615227,2.1776597004807203,3.998303249502575,867,8.999421085693857,0.3829296424452134,0.6482817869415808,1735,1,0.5428442220828033,0.1189728587615223,411,10.994954424439143
C,2022,original_zero_cost,0.4302763933123331,0.2366849611467852,2.0456905612665315,1.817928740497745,361,18.89668577960304,0.3102493074792243,1.0,724,1,0.4925624758247535,0.2366849611467852,164,23.956709329195288
C,2022,uniform_fee_proxy,0.330374480205689,0.2503030630609656,1.769896257582556,1.3198978716661594,361,14.896285726261704,0.299168975069252,1.0,724,1,0.3977836351033672,0.2503030630609659,164,19.95630927585395
AC,2022,original_zero_cost,0.4145415305203154,0.2440082028044927,2.0009277415667515,1.6988835856983853,272,24.800681903668192,0.3308823529411764,0.9349226804123713,546,1,0.493075061468801,0.2440082028044931,119,34.266055734823944
AC,2022,uniform_fee_proxy,0.3393708799822924,0.2536241858445054,1.79391435414454,1.3380856358484574,272,20.800281850326854,0.3272058823529412,0.9349226804123713,546,1,0.4236628641519792,0.2536241858445056,119,30.265655681482617
