year,symbol,field,horizon_minutes,grid_seconds,common_er_rows,common_var_rows,days,mean_er,variance_er,n_times_variance_er,relative_variance_cv2,median_trailing_60m_variance,median_scaled_trailing_variance,unchanged_price_share,nonoverlap_variance
2025,588000.SSE,last,15,3,9975,4117,243,0.03008103910099452,0.0022672552340933265,0.680176570227998,2.5056173336592478,0.00031100068186853453,0.09330020456056036,0.6325065998329157,0.002721296407676538
2025,588000.SSE,last,15,15,9975,4117,243,0.09896273203502919,0.010727688757824441,0.6436613254694665,1.0953749689684273,0.004554677081634607,0.2732806248980764,0.5300401002506265,0.010790310095211782
2025,588000.SSE,last,15,30,9975,4117,243,0.15142883553519615,0.0193006887745007,0.579020663235021,0.8416967346475903,0.011257806457402295,0.33773419372206887,0.4581386800334169,0.01932961378004159
2025,588000.SSE,last,15,60,9975,4117,243,0.22366065735211668,0.03516135636678457,0.5274203455017686,0.702888480625575,0.024019007461373972,0.3602851119206096,0.37293233082706767,0.036519630669328146
2025,588000.SSE,last,15,300,9975,4117,243,0.5923184341638776,0.14701116989367483,0.4410335096810245,0.41902490441198437,0.1371349337630822,0.4114048012892466,0.2213533834586466,0.14850911197511033
2025,588000.SSE,last,30,3,8797,3431,243,0.0200462232969598,0.0009890862033175643,0.5934517219905385,2.461325304122043,0.00010256102889433931,0.06153661733660359,0.6355778485089614,0.001101472802430156
2025,588000.SSE,last,30,15,8797,3431,243,0.06647425210510575,0.004940594447901541,0.5928713337481849,1.1180784742796233,0.0014684169853475379,0.17621003824170456,0.5355140009851844,0.005342733425277952
2025,588000.SSE,last,30,30,8797,3431,243,0.10137470172138623,0.008940447804257021,0.5364268682554213,0.8699616199300484,0.0037152786182816145,0.22291671709689684,0.464823235193816,0.00940667803087894
2025,588000.SSE,last,30,60,8797,3431,243,0.14854659653394228,0.016147293505131978,0.48441880515395935,0.7317695397431334,0.008442235823690162,0.25326707471070486,0.38023568640824523,0.01745258252334112
2025,588000.SSE,last,30,300,8797,3431,243,0.39684466778592903,0.08642941689515408,0.5185765013709246,0.5488080644216182,0.060968840860620405,0.36581304516372243,0.2429995074078284,0.08595321775131047
2025,588000.SSE,last,60,3,5954,642,243,0.014358244775959088,0.0008977105982826097,1.0772527179391316,4.354453396025627,3.568697366802348e-05,0.042824368401628184,0.6377663475534655,0.0017420044809710892
2025,588000.SSE,last,60,15,5954,642,243,0.04701052905797016,0.002557221455541389,0.6137331493299334,1.1571190991847036,0.0005071087770807883,0.12170610649938919,0.5389654014108163,0.003347053007940557
2025,588000.SSE,last,60,30,5954,642,243,0.07150050750505924,0.004461372009984034,0.5353646411980841,0.8726702874983574,0.0012969367229086763,0.15563240674904116,0.46893404993841664,0.00540323770914262
2025,588000.SSE,last,60,60,5954,642,243,0.10439279929919881,0.00786374551698372,0.47182473101902317,0.7215864407954978,0.0029213311049504473,0.17527986629702683,0.38419269958571267,0.00873301146916849
2025,588000.SSE,last,60,300,5954,642,243,0.2756209247999013,0.043519567332013086,0.522234807984157,0.5728754320871493,0.020410534659550172,0.2449264159146021,0.24872634643376998,0.04500665317777378
2025,588000.SSE,mid,15,3,9751,3796,243,0.17000918705480622,0.03999985352597279,11.999956057791836,1.3839283935061186,0.007478732707248817,2.243619812174645,0.9038888319146754,0.04272949788458595
2025,588000.SSE,mid,15,15,9751,3796,243,0.21841680882863992,0.047223752546003056,2.8334251527601833,0.9898932876470026,0.01532533515400759,0.9195201092404555,0.7168529723447168,0.05034033846195786
2025,588000.SSE,mid,15,30,9751,3796,243,0.26076316587839166,0.056211402188970604,1.6863420656691182,0.8266695267904369,0.02332893795868119,0.6998681387604357,0.6002495470550029,0.05902466195175846
