year,symbol,field,horizon,delta,count,median,mean
2025,588000.SSE,mid,15,30,9751,0.5789186652560442,0.6209630422521432
2025,588000.SSE,mid,15,60,9751,0.4482666077946903,0.506390940044028
2025,588000.SSE,mid,15,300,9751,0.20444189106137273,0.2709311503479947
2025,588000.SSE,mid,30,3,8751,1.0,1.0
2025,588000.SSE,mid,30,15,8751,0.722162224004777,0.7377726844606143
2025,588000.SSE,mid,30,30,8751,0.5776731959956265,0.6105920338042631
2025,588000.SSE,mid,30,60,8751,0.4486975507674337,0.4931135362968838
2025,588000.SSE,mid,30,300,8751,0.20434959835107827,0.24614633304622113
2025,588000.SSE,mid,60,3,5960,1.0,1.0
2025,588000.SSE,mid,60,15,5960,0.7200275986763975,0.7296037138533945
2025,588000.SSE,mid,60,30,5960,0.5769369902494479,0.599286714176206
2025,588000.SSE,mid,60,60,5960,0.45459158864159294,0.48154869227114083
2025,588000.SSE,mid,60,300,5960,0.20647318261130826,0.2331704197056248
2025,588080.SSE,last,15,3,8773,1.0,1.0
2025,588080.SSE,last,15,15,8773,0.3137612897047922,0.3261703383662936
2025,588080.SSE,last,15,30,8773,0.2,0.2137326405838191
2025,588080.SSE,last,15,60,8773,0.13635859369300574,0.14755677079809246
2025,588080.SSE,last,15,300,8773,0.05046648692877266,0.061707508942683995
2025,588080.SSE,last,30,3,7157,1.0,1.0
2025,588080.SSE,last,30,15,7157,0.313939843554942,0.3231086569302429
2025,588080.SSE,last,30,30,7157,0.20009634683128968,0.21170845918401496
2025,588080.SSE,last,30,60,7157,0.1360610821507668,0.1464182870755658
2025,588080.SSE,last,30,300,7157,0.05206813876708982,0.060056914218089626
2025,588080.SSE,last,60,3,4340,1.0,1.0
2025,588080.SSE,last,60,15,4340,0.3166227408465514,0.3222014494829314
2025,588080.SSE,last,60,30,4340,0.20330455561865673,0.21160740662784264
2025,588080.SSE,last,60,60,4340,0.1384414413117844,0.1470677674664518
2025,588080.SSE,last,60,300,4340,0.05451710422106397,0.06034122768883385
2025,588080.SSE,mid,15,3,8684,1.0,1.0
2025,588080.SSE,mid,15,15,8684,0.6666160844757006,0.6862699338478794
2025,588080.SSE,mid,15,30,8684,0.5331959325855333,0.5694225502361848
2025,588080.SSE,mid,15,60,8684,0.42431466825789893,0.4689597497882313
2025,588080.SSE,mid,15,300,8684,0.19992428635868387,0.2443513759016175
2025,588080.SSE,mid,30,3,7153,1.0,1.0
2025,588080.SSE,mid,30,15,7153,0.6562615485462767,0.6733770723353378
2025,588080.SSE,mid,30,30,7153,0.5276369175007176,0.55325023809961
2025,588080.SSE,mid,30,60,7153,0.4207990437436134,0.45098480839059396
2025,588080.SSE,mid,30,300,7153,0.1935235001694281,0.2216301104401763
2025,588080.SSE,mid,60,3,4342,1.0,1.0
2025,588080.SSE,mid,60,15,4342,0.6537878684675795,0.6631467645213831
2025,588080.SSE,mid,60,30,4342,0.5229685827883324,0.539439337587807
2025,588080.SSE,mid,60,60,4342,0.4175540773727219,0.43660316427283336
2025,588080.SSE,mid,60,300,4342,0.1892760047958516,0.20845289883944304
