view,scenario,cost_bps,year,mdd_improvement_vs_baseline,mdd_improvement_vs_matched
1,legacy_on_minute,0,2023,0.061059589617526056,0.03415984557713225
1,legacy_on_minute,0,2024,0.036427228259462124,0.015061583794167763
1,legacy_on_minute,0,2025,0.016555745939586752,-0.010820849255067044
1,legacy_on_minute,1,2021,0.02955356697892339,0.00015687340897382884
1,legacy_on_minute,1,2022,0.05258137279143166,0.021209933020283983
1,legacy_on_minute,1,2023,0.07620867954171853,0.04365932240887535
1,legacy_on_minute,1,2024,0.03568507493264518,0.012946708916676958
1,legacy_on_minute,1,2025,0.018149197984860393,-0.011198349656014267
1,legacy_on_minute,3,2021,0.035975932152627205,0.0006089623330793881
1,legacy_on_minute,3,2022,0.05111591141558655,0.011534033078004713
1,legacy_on_minute,3,2023,0.08751003003396818,0.03800220373341756
1,legacy_on_minute,3,2024,0.03726774925295462,0.011379296911466164
1,legacy_on_minute,3,2025,0.06145072922145309,0.019654041127429633
1,legacy_on_minute,5,2021,0.04170398478044779,0.0010209540157255503
1,legacy_on_minute,5,2022,0.06038310749568887,0.009267012861338464
1,legacy_on_minute,5,2023,0.08922125308185347,0.028066313840757473
1,legacy_on_minute,5,2024,0.03928794013848305,0.010320588693807003
1,legacy_on_minute,5,2025,0.06843105311462133,0.009082086639411846
1,literal_publication,0,2021,0.05553719325212794,0.01791707371174983
1,literal_publication,0,2022,0.034446251588750004,0.0011519015337004557
1,literal_publication,0,2023,0.07407906369881301,0.02264858266865888
1,literal_publication,0,2024,0.06722895596542511,0.00021002316867080317
1,literal_publication,0,2025,0.07232855338655778,0.03161627075506859
1,literal_publication,1,2021,0.05331127311188161,0.015410128534387557
1,literal_publication,1,2022,0.043814175515126536,0.009045332013063373
1,literal_publication,1,2023,0.07826149255219411,0.025866000596424854
1,literal_publication,1,2024,0.06371111744235358,-0.003537953004813299
1,literal_publication,1,2025,0.06991890739089385,0.028560170497038406
1,literal_publication,3,2021,0.053477353018831386,0.014411948180755085
1,literal_publication,3,2022,0.05176084381665014,0.013871449313457074
1,literal_publication,3,2023,0.08342985032999772,0.02925185356177107
1,literal_publication,3,2024,0.06575983803927232,-0.0022024089194778718
1,literal_publication,3,2025,0.06948766707481796,0.026290922609669254
1,literal_publication,5,2021,0.05409493662374773,0.013824002265234725
1,literal_publication,5,2022,0.06663296232947669,0.025004214867804186
1,literal_publication,5,2023,0.08522414287173768,0.02945096246318879
1,literal_publication,5,2024,0.06809787872393469,-0.000408377683947303
1,literal_publication,5,2025,0.06995230385903739,0.024768371943620276
2,delay_1m,0,2021,0.020216676588630494,-0.006937342577267525
2,delay_1m,0,2022,0.04499687355099888,0.019387655717801516
2,delay_1m,0,2023,0.04675309384647289,0.025486668914887725
2,delay_1m,0,2024,0.039066040300226035,0.018343324132517685
2,delay_1m,0,2025,0.003906480569762949,-0.01932771945927185
2,delay_1m,1,2021,0.04569174493116629,0.012024117798727973
2,delay_1m,1,2022,0.03507281713616886,0.00838179320625565
2,delay_1m,1,2023,0.07048122728733111,0.04230878042100425
2,delay_1m,1,2024,0.036592353499166064,0.015816266923520936
2,delay_1m,1,2025,0.03852831316007846,0.00809321952476455
2,delay_1m,3,2021,0.0666006770709312,0.020370035168584544
2,delay_1m,3,2022,0.041797649042378426,0.0024317247666988118
2,delay_1m,3,2023,0.08317844428820481,0.03553383030883572
2,delay_1m,3,2024,0.003487411104549698,-0.017409460981599623
2,delay_1m,3,2025,0.07005070291570309,0.022460327439705163
2,delay_1m,5,2021,0.07619390897498768,0.019194178293250153
2,delay_1m,5,2022,0.05063092146682063,0.0008044175906926632
2,delay_1m,5,2023,0.09173166608330235,0.030622866282687455
2,delay_1m,5,2024,0.03202475083060183,-0.0014094730988230275
2,delay_1m,5,2025,0.07127254294255214,0.010594556972762181
2,delay_1m_observed,0,2021,0.020216676588630494,-0.006937342577267525
2,delay_1m_observed,0,2022,0.04499687355099888,0.019387655717801516
2,delay_1m_observed,0,2023,0.04675309384647289,0.025486668914887725
2,delay_1m_observed,0,2024,0.039066040300226035,0.018343324132517685
2,delay_1m_observed,0,2025,0.003906480569762949,-0.01932771945927185
2,delay_1m_observed,1,2021,0.04569174493116629,0.012024117798727973
2,delay_1m_observed,1,2022,0.03507281713616886,0.00838179320625565
2,delay_1m_observed,1,2023,0.07048122728733111,0.04230878042100425
2,delay_1m_observed,1,2024,0.036592353499166064,0.015816266923520936
2,delay_1m_observed,1,2025,0.03852831316007846,0.00809321952476455
2,delay_1m_observed,3,2021,0.0666006770709312,0.020370035168584544
