view,scenario,cost_bps,policy,alpha,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
2,delay_1m,5,constant_050,0.5,-0.1233889126285911,-0.6584592146192876,0.4891140327425624,0.48446048169621353,1211,0.4999965620616629,3416.0,1.7084270798554662,-1.0232181763591641
2,delay_1m,5,matched_constant,0.8308282050400523,-0.1966144611934972,-1.0946027860543148,0.6725607667550638,0.667589799935566,1211,0.8308224923677767,5676.218296833637,2.839288619702134,-1.0236481086251277
2,delay_1m_observed,0,baseline,1.0,0.5219419925943105,2.0999357304723567,0.17277773494609538,0.14923001080914514,156,0.9999931241233257,6832.0,0.0,1.7244946007557929
2,delay_1m_observed,0,slow_conflict_half,1.0,0.4694953372376747,1.924595169226901,0.15019508697166628,0.13667166780934256,150,0.8308224923677769,5661.0,0.0,1.8209248461705956
2,delay_1m_observed,0,constant_075,0.75,0.3702461011328713,1.5749517978542675,0.13260550535820553,0.11415217874506518,156,0.7499948430924943,5124.0,0.0,1.7244946007557924
2,delay_1m_observed,0,constant_050,0.5,0.23367013119160446,1.0499678652361784,0.09048239981080926,0.0776280635281368,156,0.4999965620616629,3416.0,0.0,1.7244946007557929
2,delay_1m_observed,0,matched_constant,0.8308282050400523,0.4175601176054207,1.744685833647819,0.14580266357758365,0.12564869135611653,156,0.8308224923677767,5676.218296833637,0.0,1.7244946007557926
2,delay_1m_observed,1,baseline,1.0,0.32754780166484265,1.4166674113636573,0.2165654250694002,0.193067009206415,409,0.9999931241233257,6832.0,0.6832683191086997,1.150648024032568
2,delay_1m_observed,1,slow_conflict_half,1.0,0.3121800211222169,1.3584494616525027,0.17087368013823392,0.149083594297513,406,0.8308224923677769,5661.0,0.5661457075743991,1.2727621233720559
2,delay_1m_observed,1,constant_075,0.75,0.23676942059242545,1.0625133696366804,0.1672732457201186,0.14860996110736033,409,0.7499948430924943,5124.0,0.5124384282175886,1.1506622153588104
2,delay_1m_observed,1,constant_050,0.5,0.1521965422568936,0.7083507865976755,0.11488033360407834,0.10170423864186834,409,0.4999965620616629,3416.0,0.3416170786385021,1.1506764057466432
2,delay_1m_observed,1,matched_constant,0.8308282050400523,0.2654190968947114,1.177016846020911,0.1835401509908555,0.16324505166616807,409,0.8308224923677767,5676.218296833637,0.5676689876269083,1.1506576272237594
2,delay_1m_observed,3,baseline,1.0,0.009993746139320381,0.04972069446365493,0.49698530795954193,0.4881628336135456,569,0.9999931241233257,6832.0,2.050215036008703,0.03950017306674605
2,delay_1m_observed,3,slow_conflict_half,1.0,0.046212753237148727,0.2258837096830612,0.38759768826990304,0.38018669576451797,564,0.8308224923677769,5661.0,1.6987114595438402,0.2074977990642793
2,delay_1m_observed,3,constant_075,0.75,0.007509228845541479,0.037405874706025855,0.4026865458452608,0.3948463686989089,569,0.7499948430924943,5124.0,1.5375459231482416,0.039622461186326084
2,delay_1m_observed,3,constant_050,0.5,0.005015362434213959,0.02501413699201148,0.2907281469730063,0.28453518640449543,569,0.4999965620616629,3416.0,1.0249537282441672,0.039744725452801936
