view,scenario,policy,cost_bps,quarter,net_log_pnl
0,delay_1m,constant_075,1,2023Q3,0.045978343600375365
0,delay_1m,constant_075,1,2023Q4,0.02180623295825583
0,delay_1m,constant_075,1,2024Q1,0.29376187400795123
0,delay_1m,constant_075,1,2024Q2,0.024595497667222282
0,delay_1m,constant_075,1,2024Q3,0.15032480355858763
0,delay_1m,constant_075,1,2024Q4,0.32580957665420013
0,delay_1m,constant_075,1,2025Q1,0.0076162773259837255
0,delay_1m,constant_075,1,2025Q2,-0.00797312814021074
0,delay_1m,constant_075,1,2025Q3,0.030324308130947504
0,delay_1m,constant_075,1,2025Q4,0.11525265756268768
0,delay_1m,constant_075,3,2021Q1,-0.05769541588079826
0,delay_1m,constant_075,3,2021Q2,0.011599496555015139
0,delay_1m,constant_075,3,2021Q3,0.009718308605057312
0,delay_1m,constant_075,3,2021Q4,0.07122940080178108
0,delay_1m,constant_075,3,2022Q1,0.0708259102830635
0,delay_1m,constant_075,3,2022Q2,0.0823430988604092
0,delay_1m,constant_075,3,2022Q3,-0.07632930256340877
0,delay_1m,constant_075,3,2022Q4,0.00858846802418813
0,delay_1m,constant_075,3,2023Q1,0.005457457403068104
0,delay_1m,constant_075,3,2023Q2,-0.02764279390450039
0,delay_1m,constant_075,3,2023Q3,-0.0113388519883092
0,delay_1m,constant_075,3,2023Q4,-0.030109342103746432
0,delay_1m,constant_075,3,2024Q1,0.24814818956041165
0,delay_1m,constant_075,3,2024Q2,-0.028520437511820495
0,delay_1m,constant_075,3,2024Q3,0.09960958861362587
0,delay_1m,constant_075,3,2024Q4,0.27119319132885666
0,delay_1m,constant_075,3,2025Q1,-0.045799747882319185
0,delay_1m,constant_075,3,2025Q2,-0.05898843311443262
0,delay_1m,constant_075,3,2025Q3,-0.025192347282176335
0,delay_1m,constant_075,3,2025Q4,0.06528769020184942
0,delay_1m,constant_075,5,2021Q1,-0.11247824097262245
0,delay_1m,constant_075,5,2021Q2,-0.043933823853980196
0,delay_1m,constant_075,5,2021Q3,-0.04461429136266244
0,delay_1m,constant_075,5,2021Q4,0.023200583150758094
0,delay_1m,constant_075,5,2022Q1,0.021596372190764927
0,delay_1m,constant_075,5,2022Q2,0.03161266021651618
0,delay_1m,constant_075,5,2022Q3,-0.13396388374463636
0,delay_1m,constant_075,5,2022Q4,-0.039140169516515985
0,delay_1m,constant_075,5,2023Q1,-0.04497280113050604
0,delay_1m,constant_075,5,2023Q2,-0.08167521376190125
0,delay_1m,constant_075,5,2023Q3,-0.06867325305921791
0,delay_1m,constant_075,5,2023Q4,-0.08204050118891505
0,delay_1m,constant_075,5,2024Q1,0.2025208127919398
0,delay_1m,constant_075,5,2024Q2,-0.08165231703826469
0,delay_1m,constant_075,5,2024Q3,0.04887914996973283
0,delay_1m,constant_075,5,2024Q4,0.21656041125081804
0,delay_1m,constant_075,5,2025Q1,-0.09923180751908225
0,delay_1m,constant_075,5,2025Q2,-0.11001905186864455
0,delay_1m,constant_075,5,2025Q3,-0.08072566769117165
0,delay_1m,constant_075,5,2025Q4,0.015307746875127527
0,delay_1m,matched_constant,0,2021Q1,0.027090863579203876
0,delay_1m,matched_constant,0,2021Q2,0.10512344182018722
0,delay_1m,matched_constant,0,2021Q3,0.1010438703864256
0,delay_1m,matched_constant,0,2021Q4,0.15873038370274548
0,delay_1m,matched_constant,0,2022Q1,0.16027830407265284
0,delay_1m,matched_constant,0,2022Q2,0.17553427996553317
0,delay_1m,matched_constant,0,2022Q3,0.011180882691193638
0,delay_1m,matched_constant,0,2022Q4,0.08881924054519252
0,delay_1m,matched_constant,0,2023Q1,0.08983858227314175
0,delay_1m,matched_constant,0,2023Q2,0.059145294454243116
0,delay_1m,matched_constant,0,2023Q3,0.0826980113347788
0,delay_1m,matched_constant,0,2023Q4,0.052920814613882754
0,delay_1m,matched_constant,0,2024Q1,0.3507839486616471
0,delay_1m,matched_constant,0,2024Q2,0.05667650700538365
0,delay_1m,matched_constant,0,2024Q3,0.19466726859045022
0,delay_1m,matched_constant,0,2024Q4,0.391282813631971
0,delay_1m,matched_constant,0,2025Q1,0.038028068863664374
0,delay_1m,matched_constant,0,2025Q2,0.019423637358692902
0,delay_1m,matched_constant,0,2025Q3,0.06435441813976206
0,delay_1m,matched_constant,0,2025Q4,0.1553882696272877
0,delay_1m,matched_constant,1,2021Q1,-0.0032458779997820036
0,delay_1m,matched_constant,1,2021Q2,0.07437112493743521
0,delay_1m,matched_constant,1,2021Q3,0.07095646846330064
0,delay_1m,matched_constant,1,2021Q4,0.13213378531766265
0,delay_1m,matched_constant,1,2022Q1,0.13301679072794295
0,delay_1m,matched_constant,1,2022Q2,0.14744162292128946
0,delay_1m,matched_constant,1,2022Q3,-0.020735035370905777
0,delay_1m,matched_constant,1,2022Q4,0.06238887090001646
0,delay_1m,matched_constant,1,2023Q1,0.06191215396880479
0,delay_1m,matched_constant,1,2023Q2,0.029224121271024944
0,delay_1m,matched_constant,1,2023Q3,0.05094832201258618
0,delay_1m,matched_constant,1,2023Q4,0.024163242610011938
0,delay_1m,matched_constant,1,2024Q1,0.32551718019581843
0,delay_1m,matched_constant,1,2024Q2,0.027254020041885783
0,delay_1m,matched_constant,1,2024Q3,0.16657461154620648
0,delay_1m,matched_constant,1,2024Q4,0.36102918296893927
0,delay_1m,matched_constant,1,2025Q1,0.00843935316025973
0,delay_1m,matched_constant,1,2025Q2,-0.008835248425457598
0,delay_1m,matched_constant,1,2025Q3,0.03360210125701006
0,delay_1m,matched_constant,1,2025Q4,0.12771118788681013
0,delay_1m,matched_constant,3,2021Q1,-0.06393447313273229
0,delay_1m,matched_constant,3,2021Q2,0.012851151165231084
0,delay_1m,matched_constant,3,2021Q3,0.010766656286171218
0,delay_1m,matched_constant,3,2021Q4,0.07892732151467528
0,delay_1m,matched_constant,3,2022Q1,0.07848016532988092
0,delay_1m,matched_constant,3,2022Q2,0.09124229552938405
0,delay_1m,matched_constant,3,2022Q3,-0.08458279193449059
0,delay_1m,matched_constant,3,2022Q4,0.009514947495797788
0,delay_1m,matched_constant,3,2023Q1,0.006045366975668071
0,delay_1m,matched_constant,3,2023Q2,-0.03063315050733583
0,delay_1m,matched_constant,3,2023Q3,-0.01256689415222996
0,delay_1m,matched_constant,3,2023Q4,-0.03336624637696812
0,delay_1m,matched_constant,3,2024Q1,0.27497103958298047
0,delay_1m,matched_constant,3,2024Q2,-0.03160563054016896
0,delay_1m,matched_constant,3,2024Q3,0.11037528415430109
0,delay_1m,matched_constant,3,2024Q4,0.3005068303930412
0,delay_1m,matched_constant,3,2025Q1,-0.050752837820563695
0,delay_1m,matched_constant,3,2025Q2,-0.06536711621613166
0,delay_1m,matched_constant,3,2025Q3,-0.027917872515194044
0,delay_1m,matched_constant,3,2025Q4,0.07234323913415858
0,delay_1m,matched_constant,5,2021Q1,-0.12464322872928797
0,delay_1m,matched_constant,5,2021Q2,-0.04868928728910571
0,delay_1m,matched_constant,5,2021Q3,-0.049443178093477216
0,delay_1m,matched_constant,5,2021Q4,0.02570315852714075
0,delay_1m,matched_constant,5,2022Q1,0.02392539826765802
0,delay_1m,matched_constant,5,2022Q2,0.03502427337380071
