view,scenario,cost_bps,rank,phase,mdd,peak,start,end,days,minutes,baseline_net_log,slow_conflict_half_net_log,constant_075_net_log,constant_050_net_log,matched_constant_net_log,wins_removed_log,losses_avoided_log,gross_delta_log,slow_vs_matched_log
0,legacy_on_minute,3,9,recovery,0.10438927508384072,2024-11-06 10:12:00,2024-11-21 09:34:00,2024-11-27 10:59:00,5,1045,0.11075409192511487,0.08604836931250082,0.0830658391329486,0.05537740617867089,0.09204518186301887,0.08181648027166277,0.05666025112201911,-0.02515622914964366,-0.005996812550518052
0,legacy_on_minute,3,10,decline,0.09557430335457903,2024-04-09 09:51:00,2024-04-09 09:51:00,2024-05-17 14:17:00,26,6176,-0.10045512606132595,-0.0887561888133234,-0.07533854133395279,-0.05022382578848585,-0.0834836654449197,0.23836764478747474,0.2427123835421563,0.004344738754681554,-0.005272523368403698
0,legacy_on_minute,3,10,recovery,0.09557430335457903,2024-04-09 09:51:00,2024-05-17 14:17:00,2024-07-05 13:59:00,35,8142,0.10071035381028681,0.07478988763284629,0.0755360751743426,0.050359589552533265,0.08370035613104697,0.38523569168834415,0.3500097325640814,-0.03522595912426274,-0.00891046849820068
0,delay_1m,0,1,decline,0.15810171257689326,2022-10-24 09:39:00,2022-10-24 09:39:00,2022-11-11 10:34:00,15,3415,-0.17209607082148004,-0.12399181079017696,-0.12907205311611003,-0.08604803541074002,-0.1430246772425275,0.21825051690544184,0.2663547769367449,0.04810426003130308,0.019032866452350528
0,delay_1m,0,1,recovery,0.15810171257689326,2022-10-24 09:39:00,2022-11-11 10:34:00,2023-01-10 10:11:00,42,9817,0.17292901725119236,0.14428044780293936,0.12969676293839427,0.08646450862559618,0.14371691788289342,0.39895204628646086,0.37030347683820786,-0.028648569448253003,0.0005635299200459354
0,delay_1m,0,2,decline,0.13091438793494958,2024-09-27 13:24:00,2024-09-27 13:24:00,2024-09-30 09:53:00,2,119,-0.14031364065786534,-0.09413355723868655,-0.105235230493399,-0.07015682032893267,-0.11661110606431324,0.005789782075829919,0.051969865495008705,0.046180083419178786,0.022477548825626692
0,delay_1m,0,2,recovery,0.13091438793494958,2024-09-27 13:24:00,2024-09-30 09:53:00,2024-10-08 09:30:00,2,217,0.29694610074026606,0.29694610074026606,0.22270957555519955,0.14847305037013303,0.24678436883582044,-0.0,0.0,0.0,0.05016173190444562
0,delay_1m,0,3,decline,0.12843613651847158,2025-01-08 14:12:00,2025-01-08 14:12:00,2025-02-05 09:30:00,15,3168,-0.13746613675105035,-0.15259866033693292,-0.10309960256328776,-0.06873306837552517,-0.11424461782739401,0.1677894281850909,0.15265690459920833,-0.015132523585882574,-0.038354042509538916
0,delay_1m,0,3,recovery,0.12843613651847158,2025-01-08 14:12:00,2025-02-05 09:30:00,2025-03-21 09:33:00,33,7683,0.1380285260551979,0.11199577752169265,0.10352139454139841,0.06901426302759894,0.11471200530652936,0.4490977194877446,0.42306497095423934,-0.026032748533505234,-0.002716227784836711
0,delay_1m,0,4,decline,0.12407504565009625,2025-09-12 09:44:00,2025-09-12 09:44:00,2025-09-26 13:50:00,11,2556,-0.13247486026584365,-0.07863100897502262,-0.09935614519938274,-0.06623743013292183,-0.11009649460228316,0.3119140373303817,0.36575788862120273,0.05384385129082103,0.03146548562726054
0,delay_1m,0,4,recovery,0.12407504565009625,2025-09-12 09:44:00,2025-09-26 13:50:00,2025-10-10 14:31:00,5,1001,0.1327714428452671,0.09920421157101122,0.09957858213395032,0.06638572142263355,0.11034297685777752,0.13134942844381792,0.09778219716956205,-0.03356723127425587,-0.0111387652867663
0,delay_1m,0,5,decline,0.11777389151441009,2021-06-29 09:48:00,2021-06-29 09:48:00,2021-07-13 10:17:00,11,2429,-0.12530689700245556,-0.12067908555709117,-0.09398017275184167,-0.06265344850122778,-0.10413938223278672,0.1300138703294862,0.13464168177485059,0.004627811445364394,-0.016539703324304447
0,delay_1m,0,5,recovery,0.11777389151441009,2021-06-29 09:48:00,2021-07-13 10:17:00,2021-07-27 11:02:00,11,2445,0.12541674387772428,0.11006227660823331,0.09406255790829321,0.06270837193886214,0.10423067318327975,0.16524813970604635,0.14989367243655538,-0.015354467269490968,0.005831603424953563
0,delay_1m,0,6,decline,0.11647874757356727,2021-03-09 10:00:00,2021-03-09 10:00:00,2021-05-06 10:33:00,39,9153,-0.12383993269966354,-0.09553550889121931,-0.09287994952474765,-0.06191996634983177,-0.10292022542733714,0.4142015474431142,0.44250597125155844,0.028304423808444223,0.00738471653611783
