year,view,scenario,cost_bps,policy,alpha,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
2021,0,delay_1m,0,slow_conflict_half,1.0,0.5187260256639233,0.4178718424110488,0.11536197683523604,0.09656529750777795,50,0.8281121399176955,1179.0,0.0,2.087346841164612
2021,0,delay_1m,0,constant_075,0.75,0.4243969368148953,0.3537485219101135,0.08969918917808561,0.07236569424199715,53,0.749974279835391,1062.75,0.0,2.0960652234608528
2021,0,delay_1m,0,constant_050,0.5,0.2659620512288784,0.23583234794007568,0.06073107765369458,0.04884520662305042,53,0.499982853223594,708.5,0.0,2.096065223460853
2021,0,delay_1m,0,matched_constant,0.8281405397990329,0.4778741290134356,0.3906046558503353,0.09856894857753042,0.0795973179518357,53,0.8281121399176957,1173.4751448952297,0.0,2.0960652234608528
2021,0,delay_1m,1,baseline,1.0,0.39089931756980845,0.3299505289915348,0.13898427669572985,0.1119323342885321,54,0.999965706447188,1417.0,0.1417141668886166,1.447369965437042
2021,0,delay_1m,1,slow_conflict_half,1.0,0.3498078565496136,0.29996225383891084,0.1212697301083722,0.10259857799194627,64,0.8281121399176955,1179.0,0.11790958857213812,1.4825804297396312
2021,0,delay_1m,1,constant_075,0.75,0.2807752431444087,0.2474655533008835,0.10616260122867661,0.08518189673480055,54,0.749974279835391,1062.75,0.10628296860923026,1.4473859739190122
2021,0,delay_1m,1,constant_050,0.5,0.17936812345396613,0.16497880645401614,0.07209007213121656,0.057625979887110594,54,0.499982853223594,708.5,0.07085354148605937,1.4474019813440537
2021,0,delay_1m,1,matched_constant,0.8281405397990329,0.31422537772596165,0.27324742569387955,0.11655360652225052,0.09362848656785949,54,0.8281121399176957,1173.4751448952297,0.11735723015645572,1.4473809703868765
2021,0,delay_1m,3,baseline,1.0,0.047532249939738536,0.046437159872199374,0.18772690505411274,0.15944563030311576,137,0.999965706447188,1417.0,0.42522753600795216,0.19846925056955453
2021,0,delay_1m,3,slow_conflict_half,1.0,0.0661835812321194,0.06408552595585681,0.14575341865483135,0.12366434597102419,102,0.8281121399176955,1179.0,0.35378631645519204,0.3100474137373981
2021,0,delay_1m,3,constant_075,0.75,0.03546623106026707,0.03485179008105524,0.144380819798373,0.12213423530238328,137,0.749974279835391,1062.75,0.3188967318290582,0.19860614375835778
