table,cell,start,end,days,pnl_log
short_long_eff,01,2023-02-02,2023-02-03,2,0.0227975190143741
short_long_eff,11,2023-02-06,2023-02-06,1,-0.017433142260821
short_long_eff,01,2023-02-07,2023-02-07,1,-0.008215963537063
short_long_eff,11,2023-02-08,2023-02-09,2,0.0234590091796214
short_long_eff,10,2023-02-10,2023-02-10,1,0.0063168409566072
short_long_eff,00,2023-02-13,2023-02-14,2,-0.0032283872415208997
short_long_eff,01,2023-02-15,2023-02-15,1,-0.0043304011871226
short_long_eff,10,2023-02-16,2023-02-20,3,0.030372355362964495
short_long_eff,00,2023-02-21,2023-02-24,4,-0.0428759023871294
short_long_eff,01,2023-02-27,2023-02-27,1,-0.0234804478901394
short_long_eff,00,2023-02-28,2023-03-01,2,-0.0106768546019686
short_long_eff,11,2023-03-02,2023-03-02,1,-0.0095120433848492
short_long_eff,10,2023-03-03,2023-03-07,3,-0.0011069784526839994
short_long_eff,00,2023-03-08,2023-03-13,4,-0.0176773260973594
short_long_eff,10,2023-03-14,2023-03-14,1,-0.002440319937919
short_long_eff,00,2023-03-15,2023-03-15,1,0.0163252708629317
short_long_eff,10,2023-03-16,2023-03-17,2,0.0195261314187915
short_long_eff,00,2023-03-20,2023-03-21,2,0.0034759332132398993
short_long_eff,01,2023-03-22,2023-03-22,1,0.0007146535401096
short_long_eff,11,2023-03-23,2023-03-23,1,0.0132846399779206
short_long_eff,01,2023-03-24,2023-03-27,2,0.00016842846454989983
short_long_eff,11,2023-03-28,2023-03-29,2,0.0110192942903139
short_long_eff,01,2023-03-30,2023-03-30,1,-0.0113820854002416
short_long_eff,11,2023-03-31,2023-04-03,2,0.034420394799030404
short_long_eff,01,2023-04-04,2023-04-07,3,-0.028528580983000918
short_long_eff,11,2023-04-10,2023-04-10,1,-0.0024395553969262
short_long_eff,01,2023-04-11,2023-04-12,2,-0.0109310982004029
short_long_eff,11,2023-04-13,2023-04-14,2,0.0213526576759258
short_long_eff,01,2023-04-17,2023-04-19,3,-0.014884454761423999
short_long_eff,11,2023-04-20,2023-04-20,1,-0.0168172969905151
short_long_eff,10,2023-04-21,2023-04-25,3,-0.0116913586125388
short_long_eff,00,2023-04-26,2023-04-27,2,-0.0143045710199607
short_long_eff,10,2023-04-28,2023-05-04,2,0.0101859689173266
short_long_eff,11,2023-05-05,2023-05-05,1,-0.0070053376815056
short_long_eff,00,2023-05-08,2023-05-08,1,0.0036357934395682
short_long_eff,11,2023-05-09,2023-05-09,1,0.0120728379832451
short_long_eff,01,2023-05-10,2023-05-11,2,0.0244803363932729
short_long_eff,11,2023-05-12,2023-05-15,2,-0.0024565845557234
short_long_eff,01,2023-05-16,2023-05-19,4,0.0067199512668729
short_long_eff,11,2023-05-22,2023-05-23,2,-0.003945294894168
short_long_eff,01,2023-05-24,2023-05-25,2,0.0131401697181803
short_long_eff,10,2023-05-26,2023-05-31,4,0.004989967099739599
short_long_eff,00,2023-06-01,2023-06-05,3,0.011200142737000202
short_long_eff,10,2023-06-06,2023-06-06,1,0.0275398702078766
short_long_eff,00,2023-06-07,2023-06-07,1,-0.0060271958909044
short_long_eff,10,2023-06-08,2023-06-09,2,-0.008979513797882999
short_long_eff,00,2023-06-12,2023-06-12,1,-0.0087406342657886
short_long_eff,10,2023-06-13,2023-06-13,1,0.0080864640147892
short_long_eff,00,2023-06-14,2023-06-15,2,-0.0086246396250183
short_long_eff,10,2023-06-16,2023-06-16,1,0.0098410931926225
short_long_eff,00,2023-06-19,2023-06-20,2,-0.0035592029238552
short_long_eff,10,2023-06-21,2023-06-21,1,0.0052360977608596
short_long_eff,00,2023-06-26,2023-06-28,3,-0.0206918661818202
short_long_eff,10,2023-06-29,2023-06-29,1,-0.0094343194987453
short_long_eff,01,2023-06-30,2023-06-30,1,-0.009087117742904
short_long_eff,00,2023-07-03,2023-07-03,1,0.0012504531883294
short_long_eff,10,2023-07-04,2023-07-05,2,0.012882554351557898
short_long_eff,00,2023-07-06,2023-07-06,1,0.0086987135046059
short_long_eff,10,2023-07-07,2023-07-07,1,0.0049717149701207
short_long_eff,00,2023-07-10,2023-07-10,1,-0.0009872650143964
short_long_eff,10,2023-07-11,2023-07-12,2,-0.0045806960812413994
short_long_eff,11,2023-07-13,2023-07-13,1,-0.004413984113743
short_long_eff,01,2023-07-14,2023-07-14,1,-0.0012531802548366
short_long_eff,11,2023-07-17,2023-07-18,2,0.00038167666636680034
short_long_eff,01,2023-07-19,2023-07-19,1,-0.011907201394621
short_long_eff,11,2023-07-20,2023-07-20,1,0.0029610241246226
short_long_eff,01,2023-07-21,2023-07-21,1,-0.0048081673436304
short_long_eff,11,2023-07-24,2023-07-25,2,-0.0017447622796611998
short_long_eff,01,2023-07-26,2023-07-26,1,-0.0094301009107574
short_long_eff,11,2023-07-27,2023-07-31,3,0.026754337016781503
short_long_eff,01,2023-08-01,2023-08-03,3,-0.0071654759532522
short_long_eff,00,2023-08-04,2023-08-04,1,-0.0026241152493599
short_long_eff,10,2023-08-07,2023-08-07,1,-0.0040780835359
short_long_eff,01,2023-08-08,2023-08-08,1,-0.0032115994984018
short_long_eff,11,2023-08-09,2023-08-09,1,0.0076111769133361
short_long_eff,01,2023-08-10,2023-08-10,1,0.0009089634062608
short_long_eff,11,2023-08-11,2023-08-17,5,0.0490763850050296
short_long_eff,01,2023-08-18,2023-08-18,1,0.0114300702628096
short_long_eff,11,2023-08-21,2023-08-21,1,-0.0065013655820399
short_long_eff,01,2023-08-22,2023-08-22,1,0.0201894842234227
short_long_eff,11,2023-08-23,2023-08-23,1,0.0050400795146268
short_long_eff,01,2023-08-24,2023-08-24,1,-0.0042925169138003
short_long_eff,11,2023-08-25,2023-08-25,1,0.0029219728220181
short_long_eff,01,2023-08-28,2023-08-28,1,0.0366628395670115
short_long_eff,11,2023-08-29,2023-08-29,1,0.021527370452196
short_long_eff,10,2023-08-30,2023-08-30,1,0.0213913126260431
short_long_eff,00,2023-08-31,2023-08-31,1,-0.0046121009127667
short_long_eff,10,2023-09-01,2023-09-01,1,-0.0066560216330935
short_long_eff,00,2023-09-04,2023-09-04,1,-0.0189025056132046
short_long_eff,10,2023-09-05,2023-09-05,1,0.0055434089845509
short_long_eff,00,2023-09-06,2023-09-06,1,0.0047239580001245
short_long_eff,11,2023-09-07,2023-09-07,1,0.0190035863836381
