rank,leg,view,days,eff_1d,eff_5d,eff_20d,wick_1d
2,decline,5m_offset_2,2,0.552827773986539,0.35998840381048247,0.119138525727704,0.3201860101357129
2,decline,5m_offset_3,2,0.5634868392763044,0.3546466434778064,0.1197182077863359,0.3150050214260112
2,decline,5m_offset_4,2,0.6105147213096995,0.37318813396927797,0.12071381304310011,0.3455131686449012
2,decline,60m_offset_30,2,1.0,0.790789947824315,0.3312921308616838,0.5346546485985765
2,decline,60m_offset_45,2,1.0,0.8345310005658131,0.3539809644651391,0.6162859834003429
2,decline,daily_noon_close_1130,2,1.0,0.8959107837407982,0.3638342314448158,0.058036187465780896
2,decline,daily_proxy_close_1400,2,1.0,1.0,0.44075531492261605,0.42959979628014294
2,decline,daily_proxy_close_1430,2,1.0,0.968437799929183,0.426077723689297,0.7925340911185671
2,recovery,15m_offset_10,2,0.6613386549406202,0.6265754645279215,0.30685463912679756,0.37343730224093385
2,recovery,15m_offset_5,2,0.7558226149085152,0.6816090124017528,0.31878780487856784,0.39253649480167235
2,recovery,1m_official,2,0.35185492860513945,0.27681954559839134,0.10074680662387435,0.35222523271899153
2,recovery,30m_offset_15,2,0.9283128712132924,0.8281188103286754,0.40993154609197757,0.551541446226718
2,recovery,5m_offset_0,2,0.4486405800867062,0.4094705324808846,0.1770096520053786,0.27960483553131216
2,recovery,5m_offset_1,2,0.4507356642014788,0.40693040761237065,0.17926811943097615,0.27597046233589856
2,recovery,5m_offset_2,2,0.4566878259184117,0.4211224677295451,0.18672464100439873,0.32433792141829554
2,recovery,5m_offset_3,2,0.47467977687035834,0.4243096811462989,0.1886361420454821,0.3172883450814945
2,recovery,5m_offset_4,2,0.5047573083148205,0.4509192350269883,0.19139332927665326,0.29354195089128854
2,recovery,60m_offset_30,2,1.0,0.8877248857295447,0.49309911774742843,0.5232342134276006
2,recovery,60m_offset_45,2,1.0,0.9318869189175116,0.5196877829956934,0.5591010099640012
2,recovery,daily_noon_close_1130,2,1.0,0.9414541124495617,0.5290579555958423,0.339031423935021
2,recovery,daily_proxy_close_1400,2,1.0,1.0,0.6055270510652464,0.2439636200894124
2,recovery,daily_proxy_close_1430,2,1.0,1.0,0.5945408360518223,0.32411661605887054
3,decline,15m_offset_10,33,0.3256896174203759,0.18028395613905546,0.10187770275211631,0.46833884576077434
3,decline,15m_offset_5,33,0.3035834244149342,0.18089968683556323,0.09961663596365468,0.4777229411327999
3,decline,1m_official,33,0.08504069449717776,0.04818634231656665,0.026523366412697553,0.4054369949271604
3,decline,30m_offset_15,33,0.45582707849934356,0.27404423121071764,0.15231970418728327,0.5098576241132594
3,decline,5m_offset_0,33,0.17252438367787762,0.09939191447778888,0.055659631644292426,0.4605831557355926
3,decline,5m_offset_1,33,0.17472944497052234,0.10006046030746128,0.05584454205518189,0.45177353512176993
3,decline,5m_offset_2,33,0.17831155342618832,0.10107534138931171,0.05710350116621053,0.45439731716258347
3,decline,5m_offset_3,33,0.1817772556396312,0.10425354215409315,0.057546939810420125,0.463504740989047
3,decline,5m_offset_4,33,0.18467249602268276,0.10617464242122442,0.05886086347648995,0.466735169672647
3,decline,60m_offset_30,33,0.6819242400255542,0.4058234980919647,0.2373827487986591,0.5271494162408185
3,decline,60m_offset_45,33,0.7316418854016077,0.4112334375946243,0.23490228073521857,0.5668908099952006
3,decline,daily_noon_close_1130,33,1.0,0.5611531769747267,0.3150658121650272,0.5520841827842297
3,decline,daily_proxy_close_1400,33,1.0,0.5239290303015001,0.2839838575164875,0.47934741730582286
3,decline,daily_proxy_close_1430,33,1.0,0.5335113032352322,0.3018605442050825,0.5657731105618141
3,recovery,15m_offset_10,25,0.3356245251735686,0.21242217086251536,0.0709706257426924,0.48596605085046285
3,recovery,15m_offset_5,25,0.3402488212267605,0.2142390411005824,0.07159934920417173,0.4784276614821593
3,recovery,1m_official,25,0.09482328459728098,0.06021410525705053,0.019388569947101236,0.4089111519421036
