view,feature,outcome,rho,n_days
5m_offset_3,threshold_work_amplitude_5d,capture,-0.16041928663006946,1192
5m_offset_4,eff_1d,pnl_log,0.3438551006908378,1192
5m_offset_4,eff_1d,capture,0.3584345660008585,1192
5m_offset_4,eff_5d,pnl_log,0.11185484885409962,1192
5m_offset_4,eff_5d,capture,0.10356140395949079,1192
5m_offset_4,eff_20d,pnl_log,0.021043615014066482,1192
5m_offset_4,eff_20d,capture,0.010240772614480679,1192
5m_offset_4,rv_1d,pnl_log,0.07997062018084321,1192
5m_offset_4,rv_1d,capture,0.04474837858135626,1192
5m_offset_4,rv_5d,pnl_log,0.017805191813027404,1192
5m_offset_4,rv_5d,capture,-0.013814935621860251,1192
5m_offset_4,rv_20d,pnl_log,0.012779460381547963,1192
5m_offset_4,rv_20d,capture,-0.012746004015415775,1192
5m_offset_4,rv_ratio_1_20,pnl_log,0.11652515776320399,1192
5m_offset_4,rv_ratio_1_20,capture,0.09389211737547518,1192
5m_offset_4,drift_disagree_1_20,pnl_log,-0.06858384101922084,1192
5m_offset_4,drift_disagree_1_20,capture,-0.08189624435385842,1192
5m_offset_4,acf1_5d,pnl_log,0.015058758575531942,1192
5m_offset_4,acf1_5d,capture,0.01904350955778662,1192
5m_offset_4,acf3_5d,pnl_log,0.04240634084436074,1192
5m_offset_4,acf3_5d,capture,0.03923113898067819,1192
5m_offset_4,acf12_5d,pnl_log,0.022419747197122426,1192
5m_offset_4,acf12_5d,capture,0.03514367369520066,1192
5m_offset_4,fast_share_1d,pnl_log,-0.2493693772562943,1192
5m_offset_4,fast_share_1d,capture,-0.2536523518528797,1192
5m_offset_4,fast_share_5d,pnl_log,-0.12184884357099789,1192
5m_offset_4,fast_share_5d,capture,-0.1142822350422659,1192
5m_offset_4,fast_share_20d,pnl_log,-0.06865914465717916,1192
5m_offset_4,fast_share_20d,capture,-0.061062608197370846,1192
5m_offset_4,work_turns_5d,pnl_log,-0.027942644746992193,1192
5m_offset_4,work_turns_5d,capture,-0.022380837659694536,1192
5m_offset_4,slow_work_velocity_5d,pnl_log,0.17761354904324214,1192
5m_offset_4,slow_work_velocity_5d,capture,0.16796267692250005,1192
5m_offset_4,slow_work_opposition_5d,pnl_log,0.013160592537969038,1192
5m_offset_4,slow_work_opposition_5d,capture,0.004624442679132673,1192
5m_offset_4,wick_1d,pnl_log,-0.07836953254994801,1192
5m_offset_4,wick_1d,capture,-0.04664260973032709,1192
5m_offset_4,gap_share_1d,pnl_log,0.02074841678481374,1192
5m_offset_4,gap_share_1d,capture,0.01679961616294761,1192
5m_offset_4,threshold_work_amplitude_5d,pnl_log,-0.1681770966616484,1192
5m_offset_4,threshold_work_amplitude_5d,capture,-0.14893590971820145,1192
