table,cell,year,vol_tercile,target_days,control_days,pnl_bp_difference,capture_difference
fast_slow,01,2025,2,16,59,135.44356955743916,0.12415448253957201
fast_slow,10,2021,0,17,64,-14.793188894403732,-0.017277791121962132
fast_slow,10,2021,1,25,56,-19.239344302374292,-0.03216137676531154
fast_slow,10,2021,2,15,66,-64.21048097786264,-0.0649458867923206
fast_slow,10,2022,0,28,53,1.1700178050973609,0.01074337655047445
fast_slow,10,2022,1,21,59,-19.33975427063062,-0.03687830061217412
fast_slow,10,2022,2,23,58,-97.94620628752705,-0.1019089702520658
fast_slow,10,2023,0,27,54,21.043632161772756,0.053294236699004065
fast_slow,10,2023,1,24,56,-66.8040171826995,-0.12525789773079712
fast_slow,10,2023,2,17,64,34.48514537077684,0.04621509316357833
fast_slow,10,2024,0,24,57,-35.47067283747859,-0.06887347572879644
fast_slow,10,2024,1,26,54,0.030496531008557086,-0.002312646056344944
fast_slow,10,2024,2,21,60,-118.47636876668247,-0.07299972282071983
fast_slow,10,2025,0,20,54,-12.83468137296711,-0.028155146297398438
fast_slow,10,2025,1,21,53,-11.543459209439478,-0.00615174961655556
fast_slow,10,2025,2,14,61,-160.34906524238932,-0.13881421510511785
fast_slow,11,2021,0,22,59,-2.435227363486673,0.009148247962643095
fast_slow,11,2021,1,14,67,-6.501371608901179,-0.004582743137996004
fast_slow,11,2021,2,12,69,-103.69631866670544,-0.10021572270089996
fast_slow,11,2022,0,21,60,2.553783313227066,0.003495341947200966
fast_slow,11,2022,1,15,65,59.957296443698205,0.09019196646139183
fast_slow,11,2022,2,8,73,91.12888072011157,0.07956824092988088
fast_slow,11,2023,0,20,61,-20.04347362085969,-0.055101177780211244
fast_slow,11,2023,1,29,51,-1.7006452756867532,-0.003455925206333728
fast_slow,11,2023,2,21,60,-1.3961372503803593,0.005451177882636646
fast_slow,11,2024,0,17,64,20.368880042104287,0.03180753566888102
fast_slow,11,2024,1,18,62,-39.83534783561216,-0.05213372607169872
fast_slow,11,2024,2,22,59,47.98667912860221,-0.009222339900171087
fast_slow,11,2025,0,11,63,20.379799627208193,0.040729236161532206
fast_slow,11,2025,1,12,62,68.6426779899095,0.06861075933161899
fast_slow,11,2025,2,31,44,32.64988297620117,0.01851070065728492
short_long_eff,00,2021,0,12,69,-52.63913410321154,-0.11382355607350689
short_long_eff,00,2021,1,18,63,-68.60222523526848,-0.09695586376534622
short_long_eff,00,2021,2,26,55,0.9601839243251293,-0.0335954730399803
short_long_eff,00,2022,0,16,65,-15.453242075522057,-0.02637757179655849
short_long_eff,00,2022,1,21,59,-55.33809703903693,-0.07217077578001978
short_long_eff,00,2022,2,23,58,-114.22256926435588,-0.1004516403117719
short_long_eff,00,2023,0,21,60,-38.64308376424679,-0.09270169487285004
short_long_eff,00,2023,1,27,53,-94.79750653088294,-0.17185592771678992
short_long_eff,00,2023,2,20,61,-45.53030009960133,-0.06424779235364289
short_long_eff,00,2024,0,20,61,-93.33664457288103,-0.18104633623652938
short_long_eff,00,2024,1,25,55,-65.31210701546146,-0.09314144777083896
short_long_eff,00,2024,2,18,63,-64.76189108133272,-0.007237488358909069
short_long_eff,00,2025,0,23,51,-9.528545037531776,-0.02870889571699296
short_long_eff,00,2025,1,22,52,-54.590772974319,-0.07230295846362364
short_long_eff,00,2025,2,18,57,-15.085218035997757,0.006689745499642033
short_long_eff,01,2021,0,24,57,-54.34067863858156,-0.0975897966865499
short_long_eff,01,2021,1,20,61,-44.21494109762552,-0.06926121727130158
short_long_eff,01,2021,2,15,66,-150.87447930737244,-0.16987563707757214
short_long_eff,01,2022,0,19,62,-83.43946321575838,-0.15266676963047354
short_long_eff,01,2022,1,23,57,-66.24973552127658,-0.10224740396154425
short_long_eff,01,2022,2,21,60,-100.92163203998798,-0.10613447321391885
short_long_eff,01,2023,0,16,65,-43.965453883150616,-0.10912628485614458
short_long_eff,01,2023,1,12,68,-48.6707510008292,-0.09397833281799535
short_long_eff,01,2023,2,22,59,5.799292758110253,0.012950022878554408
