rank,leg,start_return_index,end_return_index_exclusive,peak,trough,recovery,mdd_pct,first_booking,last_booking,trading_days,bars,pnl_log,mean_daily_pnl_bp,long_log,short_log,positive_bar_log,negative_bar_log,cancellation,fragment_count,fragment_win_rate,mfe_sum,giveback_sum,loss_never_favorable_log,loss_after_favorable_log,price_path_abs,capture,attribute_edge_days,eff_1d,eff_5d,eff_20d,rv_1d,rv_5d,rv_20d,rv_ratio_1_20,drift_disagree_1_20,acf1_5d,acf3_5d,acf12_5d,fast_share_1d,fast_share_5d,fast_share_20d,work_turns_5d,slow_work_velocity_5d,slow_work_opposition_5d,wick_1d,gap_share_1d,threshold_work_amplitude_5d
6,decline,11925,12585,2022-01-11 11:15:00,2022-02-07 10:15:00,2022-03-10 09:35:00,10.37580067412074,2022-01-11 11:20:00,2022-02-07 10:15:00,15,660,-0.10954482071067573,-73.02988047378382,-0.07565598261459908,-0.03388883809607665,0.38733960499429576,-0.49688442570497143,1.2828133743573393,50,0.28,0.21965757156217589,0.32920239227285164,-0.09347753826011405,-0.09432048626503692,0.8842240306992561,-0.12388808368400282,0,0.23734065884561278,0.09811392882302533,0.06889129647926252,19.162814106198176,18.143170060140854,16.160006594701272,1.1727491102693068,0.4,0.07629632594052328,0.012235135924154362,-0.05438189991774703,0.8872154255934778,0.8882726974861442,0.8820266994804878,6.96,0.3654667640448343,0.47305555555555556,0.4697938420397139,0.10884643298453858,1.0883403786595243
6,recovery,12585,13681,2022-01-11 11:15:00,2022-02-07 10:15:00,2022-03-10 09:35:00,10.37580067412074,2022-02-07 10:20:00,2022-03-10 09:35:00,24,1096,0.11579280852395411,48.247003551647545,0.024444958591128284,0.09134784993282583,0.8778137443568512,-0.7620209358328972,0.8680895471637984,64,0.40625,0.5520453667014825,0.4362525581775285,-0.05509149270340516,-0.10629923349886472,1.6398346801897477,0.07061248912637678,0,0.20031245691984523,0.10578260842718538,0.05951369936038403,23.29588251710617,22.35733190654082,20.71943809515375,1.1108851612120534,0.3333333333333333,0.020368595787115685,-0.008844629307949312,-0.03970221082799614,0.8976561341542656,0.897129287376222,0.8951350554512505,7.233333333333333,0.380302103586833,0.5211805555555555,0.4526613829021595,0.18059512508403328,0.9927855541317095
7,decline,30966,32473,2023-08-30 10:00:00,2023-10-20 13:05:00,2023-12-28 13:15:00,10.284273540258292,2023-08-30 10:05:00,2023-10-20 13:05:00,32,1507,-0.1085241094395188,-33.91378419984962,-0.09950474125418723,-0.009019368185331576,0.793301206344159,-0.9018253157836779,1.136800635838738,112,0.2767857142857143,0.425759135373124,0.5342832448126429,-0.08835832085727069,-0.16159496964595366,1.6951265221278353,-0.06402124444569018,0,0.18743663163436733,0.0930105629177668,0.02883613670301212,15.339790916926983,17.115044125891796,19.420584301713497,0.8209282089014238,0.4375,-0.012754483388520855,0.03511051520478303,-0.0037904838881145223,0.8912235740585588,0.8904526038996313,0.8906472492161277,7.574999999999999,0.31112071219758974,0.504296875,0.467924705518701,0.11887559461725432,1.0011436923665986
7,recovery,32473,34827,2023-08-30 10:00:00,2023-10-20 13:05:00,2023-12-28 13:15:00,10.284273540258292,2023-10-20 13:10:00,2023-12-28 13:15:00,50,2354,0.10916962738210537,21.833925476421072,0.04527043337023631,0.06389919401186905,1.3256377975112255,-1.21646817012912,0.9176474693260389,136,0.36764705882352944,0.7084784116830495,0.5993087843009441,-0.10624760620137678,-0.12280519881373969,2.5421059676403193,0.042944562017389394,0,0.1875845528965727,0.07443005345252429,0.02768876464145501,14.281363565273434,14.530469849314258,14.465921963417268,0.9921306781820209,0.38,-0.01911929272552861,-0.011544608265750194,-0.01073050359241569,0.900552566282095,0.9058525177122242,0.9032563688813714,7.884000000000001,0.35544399919026476,0.4781666666666667,0.4686707704106478,0.11732968458497352,1.12866027737713
8,decline,54676,55187,2025-09-12 09:50:00,2025-09-26 13:55:00,2025-10-10 09:45:00,9.279838897474901,2025-09-12 09:55:00,2025-09-26 13:55:00,11,511,-0.09739057018873964,-88.53688198976332,-0.004309637663273439,-0.0930809325254662,0.6785114253013472,-0.7759019954900869,1.1435356378051933,34,0.23529411764705882,0.30539969698046276,0.40279026716920235,-0.05729959082754851,-0.1451478760686483,1.4544134207914423,-0.0669620953688278,0,0.10494829628690282,0.08606100941308564,0.04927032801886774,36.07602560802321,36.37890694652762,41.22186718825463,0.8768697190470983,0.2727272727272727,-0.05586995111605752,0.03580340773521334,-0.011758182942029204,0.917380903598822,0.9125103600909411,0.9227544583013138,7.054545454545456,0.3481315498422928,0.4996212121212121,0.424142414672763,0.08002810963738495,1.102401187624086
8,recovery,55187,55347,2025-09-12 09:50:00,2025-09-26 13:55:00,2025-10-10 09:45:00,9.279838897474901,2025-09-26 14:00:00,2025-10-10 09:45:00,5,160,0.10861659055320444,217.23318110640886,0.055844353217295285,0.05277223733590916,0.2763347345794241,-0.16771814402621962,0.606938336150478,5,0.8,0.16864677128373426,0.06003018073052981,0.0,-0.02630497035736344,0.44405287860564346,0.2446028294969464,0,0.20727405070795552,0.07718755233884192,0.04804020496673832,38.980445980750346,35.96689266111055,35.97522400590376,1.0816347821024994,0.4,-0.013407225967509562,-0.04508515870302958,-0.00607895032898594,0.8946907171722975,0.9046828349799361,0.9110517886025372,8.76,0.3978345060720962,0.5349999999999999,0.42644429068742645,0.2493057443358694,1.088890829042931
9,decline,45435,45662,2024-11-29 13:15:00,2024-12-06 10:40:00,2025-01-08 13:10:00,9.223750676610983,2024-11-29 13:20:00,2024-12-06 10:40:00,6,227,-0.09677250592490738,-161.28750987484563,-0.0579158226631931,-0.038856683261714285,0.15948878198131616,-0.25626128790622354,1.6067668504499841,22,0.13636363636363635,0.058526763643789205,0.15529926956869664,-0.042533487607699566,-0.07374144869888576,0.41575006988754026,-0.23276606051102816,0,0.11317184561781753,0.0657011970821821,0.01315980648794605,24.610921017058374,26.408480350971047,31.610889133809494,0.7772727894405368,0.6666666666666666,0.0060423161301421,0.017568316252276405,0.04859575004543812,0.9039425935569012,0.8968087799410895,0.8975780604908565,6.733333333333333,0.27871349235404846,0.5118055555555555,0.45496641707776847,0.11822280469006384,1.0129597889081223
9,recovery,45662,46730,2024-11-29 13:15:00,2024-12-06 10:40:00,2025-01-08 13:10:00,9.223750676610983,2024-12-06 10:45:00,2025-01-08 13:10:00,23,1068,0.09745676036173911,42.37250450510396,0.017611905087382616,0.07984485527435649,0.9637557833848552,-0.8662990230231162,0.8988781576807184,60,0.45,0.514771792243247,0.41731503188150776,-0.08677709564556177,-0.08229874964970417,1.8300548064079498,0.05325346542655093,0,0.16352201799717175,0.07974321342061592,0.020954597915099637,22.126964367702072,22.53377335168318,24.42832065566799,0.9120894217312269,0.43478260869565216,-0.02161809187120962,0.0010539506987918058,0.02906571995863039,0.8958008207474976,0.909536870354943,0.9034400394653469,8.121739130434781,0.3812692316012178,0.49999999999999994,0.470541003774709,0.10043715790016325,1.0973142099417912
10,decline,54002,54385,2025-08-25 09:40:00,2025-09-04 09:35:00,2025-09-11 11:00:00,9.189218225160028,2025-08-25 09:45:00,2025-09-04 09:35:00,9,383,-0.09639216541646185,-107.10240601829095,-0.05487185116050011,-0.041520314255961754,0.5825306685993705,-0.6789228340158323,1.1654714002409965,28,0.32142857142857145,0.2895336794586721,0.38592584487513387,-0.08727007762485677,-0.06696562081673205,1.261453502615205,-0.07641356991488367,0,0.1534152190110849,0.11990920420297006,0.10899095382903158,50.25159186289572,52.34025783601824,35.85674951391516,1.442772436958336,0.5555555555555556,-0.10451425072753288,-0.10457902144819532,-0.008818365869891355,0.928051606169978,0.9319950898203133,0.9218582890002833,7.7555555555555555,0.39981109899739065,0.513425925925926,0.3950231204565238,0.1717107255510282,1.2062981319456247
10,recovery,54385,54642,2025-08-25 09:40:00,2025-09-04 09:35:00,2025-09-11 11:00:00,9.189218225160028,2025-09-04 09:40:00,2025-09-11 11:00:00,6,257,0.10124182830043713,168.73638050072856,0.053340123015336596,0.04790170528510055,0.3778037908254952,-0.27656196252505805,0.7320253773017328,10,0.5,0.20709072966887743,0.10584890136844029,0.0,-0.023667710795165255,0.6543657533505458,0.15471749213960095,0,0.2417803635843178,0.10323793788776157,0.06821827558029735,33.34569022215586,36.044309174734444,41.50840436298474,0.8035631298849099,0.3333333333333333,-0.04367678361666636,0.01950687087090035,0.0235224385509141,0.9042545958143199,0.9164229114200796,0.9232321704029678,8.366666666666665,0.44465325319454535,0.45416666666666666,0.43078602851081244,0.13272740000303804,1.24643006780401
