view,year,feature,outcome,rho,n_days
5m_offset_0,2025,fast_share_20d,pnl_log,-0.040899804352719143,223
5m_offset_0,2025,fast_share_20d,capture,-0.07853918139792579,223
5m_offset_0,2025,work_turns_5d,pnl_log,0.039901473511367906,223
5m_offset_0,2025,work_turns_5d,capture,0.05919371911192085,223
5m_offset_0,2025,slow_work_velocity_5d,pnl_log,0.20400341084197585,223
5m_offset_0,2025,slow_work_velocity_5d,capture,0.17348005436570457,223
5m_offset_0,2025,slow_work_opposition_5d,pnl_log,0.04570490967475549,223
5m_offset_0,2025,slow_work_opposition_5d,capture,0.012483331759228009,223
5m_offset_0,2025,wick_1d,pnl_log,-0.08458173900999014,223
5m_offset_0,2025,wick_1d,capture,-0.043941643437159124,223
5m_offset_0,2025,gap_share_1d,pnl_log,-0.03614929792059836,223
5m_offset_0,2025,gap_share_1d,capture,-0.04332267084509237,223
5m_offset_0,2025,threshold_work_amplitude_5d,pnl_log,-0.05149484045223955,223
5m_offset_0,2025,threshold_work_amplitude_5d,capture,-0.042227565489897326,223
5m_offset_1,2021,eff_1d,pnl_log,0.44956938151175607,243
5m_offset_1,2021,eff_1d,capture,0.46170096393643334,243
5m_offset_1,2021,eff_5d,pnl_log,0.12304866850321396,243
5m_offset_1,2021,eff_5d,capture,0.1067672920628708,243
5m_offset_1,2021,eff_20d,pnl_log,-0.001956140306860625,243
5m_offset_1,2021,eff_20d,capture,-0.0013849373014797753,243
5m_offset_1,2021,rv_1d,pnl_log,0.06244762578592682,243
5m_offset_1,2021,rv_1d,capture,0.007039261634393279,243
5m_offset_1,2021,rv_5d,pnl_log,-0.022678348311731322,243
5m_offset_1,2021,rv_5d,capture,-0.07768277241699993,243
5m_offset_1,2021,rv_20d,pnl_log,0.0141136484902009,243
5m_offset_1,2021,rv_20d,capture,-0.03635209521945736,243
5m_offset_1,2021,rv_ratio_1_20,pnl_log,0.05275808256434187,243
5m_offset_1,2021,rv_ratio_1_20,capture,0.0156081430299016,243
5m_offset_1,2021,drift_disagree_1_20,pnl_log,-0.1162994689112263,243
5m_offset_1,2021,drift_disagree_1_20,capture,-0.11010952788422142,243
5m_offset_1,2021,acf1_5d,pnl_log,0.05470920498242902,243
5m_offset_1,2021,acf1_5d,capture,0.03767263628167751,243
5m_offset_1,2021,acf3_5d,pnl_log,0.1032497520326631,243
5m_offset_1,2021,acf3_5d,capture,0.10688437613425195,243
5m_offset_1,2021,acf12_5d,pnl_log,0.057134517889609784,243
5m_offset_1,2021,acf12_5d,capture,0.08002779910380506,243
5m_offset_1,2021,fast_share_1d,pnl_log,-0.2092518160575786,243
5m_offset_1,2021,fast_share_1d,capture,-0.23820921585452134,243
5m_offset_1,2021,fast_share_5d,pnl_log,-0.19470579281806305,243
5m_offset_1,2021,fast_share_5d,capture,-0.17199733717369087,243
5m_offset_1,2021,fast_share_20d,pnl_log,-0.13124706244428053,243
5m_offset_1,2021,fast_share_20d,capture,-0.11408170126500974,243
5m_offset_1,2021,work_turns_5d,pnl_log,0.00422633100239534,243
5m_offset_1,2021,work_turns_5d,capture,0.015018756257296957,243
5m_offset_1,2021,slow_work_velocity_5d,pnl_log,0.08806980217809825,243
5m_offset_1,2021,slow_work_velocity_5d,capture,0.08923646131793175,243
5m_offset_1,2021,slow_work_opposition_5d,pnl_log,-0.07280010888752082,243
5m_offset_1,2021,slow_work_opposition_5d,capture,-0.05984777797563445,243
5m_offset_1,2021,wick_1d,pnl_log,0.022265208802715014,243
5m_offset_1,2021,wick_1d,capture,0.06534211129342773,243
5m_offset_1,2021,gap_share_1d,pnl_log,-0.02266329464541089,243
5m_offset_1,2021,gap_share_1d,capture,-0.03090935852982549,243
5m_offset_1,2021,threshold_work_amplitude_5d,pnl_log,-0.21523815736433718,243
5m_offset_1,2021,threshold_work_amplitude_5d,capture,-0.20069966095798186,243
5m_offset_1,2022,eff_1d,pnl_log,0.4124572774138976,242
5m_offset_1,2022,eff_1d,capture,0.40550481553876505,242
5m_offset_1,2022,eff_5d,pnl_log,0.11472747509463217,242
5m_offset_1,2022,eff_5d,capture,0.10991130128562546,242
5m_offset_1,2022,eff_20d,pnl_log,0.04877942423522708,242
5m_offset_1,2022,eff_20d,capture,0.03049777713426651,242
5m_offset_1,2022,rv_1d,pnl_log,0.1324096406455265,242
5m_offset_1,2022,rv_1d,capture,0.11983830932655276,242
5m_offset_1,2022,rv_5d,pnl_log,0.036667864783041446,242
5m_offset_1,2022,rv_5d,capture,0.02200173494024871,242
5m_offset_1,2022,rv_20d,pnl_log,0.030100662943615294,242
